,Adj Close,Close,High,Low,Open,Volume
2007-01-03,,,,,,
2007-01-04,,,,,,
2007-01-05,,,,,,
2007-01-08,,,,,,
2007-01-09,,,,,,
2007-01-10,,,,,,
2007-01-11,,,,,,
2007-01-12,,,,,,
2007-01-16,,,,,,
2007-01-17,353683.88,382000.0,382000.0,382000.0,382000.0,0.0
2007-01-18,,,,,,
2007-01-19,,,,,,
2007-01-22,,,,,,
2007-01-23,,,,,,
2007-01-24,,,,,,
2007-01-25,,,,,,
2007-01-26,,,,,,
2007-01-29,,,,,,
2007-01-30,1306.41,1411.0,1411.0,1411.0,1411.0,0.0
2007-01-31,10184.61,11000.0,11000.0,11000.0,11000.0,0.0
2007-02-01,,,,,,
2007-02-02,55.6,60.05,60.05,60.05,60.05,0.0
2007-02-05,,,,,,
2007-02-06,,,,,,
2007-02-07,,,,,,
2007-02-08,,,,,,
2007-02-09,,,,,,
2007-02-12,,,,,,
2007-02-13,21.98,23.74,23.74,23.74,23.74,0.0
2007-02-14,126576.23,136710.0,136710.0,136710.0,136710.0,0.0
2007-02-15,,,,,,
2007-02-16,314.8,340.0,340.0,340.0,340.0,0.0
2007-02-20,206.47,223.0,223.0,223.0,223.0,0.0
2007-02-21,199988.77,216000.0,216000.0,216000.0,216000.0,0.0
2007-02-22,8.46,9.14,9.14,9.14,9.14,0.0
2007-02-23,,,,,,
2007-02-26,,,,,,
2007-02-27,0.01,0.01,0.01,0.01,0.01,0.0
2007-02-28,,,,,,
2007-03-01,,,,,,
2007-03-02,,,,,,
2007-03-05,,,,,,
2007-03-06,,,,,,
2007-03-07,,,,,,
2007-03-08,32.41,35.01,35.01,35.01,35.01,0.0
2007-03-09,7.41,8.0,8.0,8.0,8.0,0.0
2007-03-12,,,,,,
2007-03-13,,,,,,
2007-03-14,270464.41,292118.0,292118.0,292118.0,292118.0,0.0
2007-03-15,,,,,,
2007-03-16,1.4,1.51,1.51,1.51,1.51,0.0
2007-03-19,,,,,,
2007-03-20,,,,,,
2007-03-21,,,,,,
2007-03-22,74764.32,80750.0,80750.0,80750.0,80750.0,0.0
2007-03-23,,,,,,
2007-03-26,11.42,12.33,12.33,12.33,12.33,0.0
2007-03-27,,,,,,
2007-03-28,462.94,500.0,500.0,500.0,500.0,0.0
2007-03-29,,,,,,
2007-03-30,,,,,,
2007-04-02,,,,,,
2007-04-03,,,,,,
2007-04-04,,,,,,
2007-04-05,,,,,,
2007-04-09,,,,,,
2007-04-10,,,,,,
2007-04-11,,,,,,
2007-04-12,,,,,,
2007-04-13,5.38,5.81,5.81,5.81,5.81,0.0
2007-04-16,,,,,,
2007-04-17,,,,,,
2007-04-18,,,,,,
2007-04-19,,,,,,
2007-04-20,,,,,,
2007-04-23,,,,,,
2007-04-24,,,,,,
2007-04-25,,,,,,
2007-04-26,15.28,16.5,16.5,16.5,16.5,0.0
2007-04-27,,,,,,
2007-04-30,,,,,,
2007-05-01,19.22,20.76,21.38,20.76,20.76,0.0
2007-05-02,,,,,,
2007-05-03,,,,,,
2007-05-04,167.58,181.0,181.0,181.0,181.0,0.0
2007-05-07,0.21,0.22,0.22,0.22,0.22,0.0
2007-05-08,,,,,,
2007-05-09,7.59,8.2,8.2,8.2,8.2,0.0
2007-05-10,,,,,,
2007-05-11,,,,,,
2007-05-14,35.18,38.0,38.0,38.0,38.0,0.0
2007-05-15,,,,,,
2007-05-16,,,,,,
2007-05-17,,,,,,
2007-05-18,,,,,,
2007-05-21,,,,,,
2007-05-22,,,,,,
2007-05-23,,,,,,
2007-05-24,,,,,,
2007-05-25,,,,,,
2007-05-29,,,,,,
2007-05-30,,,,,,
2007-05-31,,,,,,
2007-06-01,,,,,,
2007-06-04,,,,,,
2007-06-05,,,,,,
2007-06-06,,,,,,
2007-06-07,1.19,1.28,1.28,1.28,1.28,0.0
2007-06-08,,,,,,
2007-06-11,,,,,,
2007-06-12,,,,,,
2007-06-13,,,,,,
2007-06-14,,,,,,
2007-06-15,,,,,,
2007-06-18,3805.34,4110.0,4110.0,4110.0,4110.0,0.0
2007-06-19,,,,,,
2007-06-20,,,,,,
2007-06-21,,,,,,
2007-06-22,138.88,150.0,150.0,150.0,150.0,0.0
2007-06-25,,,,,,
2007-06-26,,,,,,
2007-06-27,,,,,,
2007-06-28,666.63,720.0,720.0,720.0,720.0,0.0
2007-06-29,,,,,,
2007-07-02,0.42,0.45,0.45,0.45,0.45,0.0
2007-07-03,86.11,93.0,93.0,93.0,93.0,0.0
2007-07-05,,,,,,
2007-07-06,,,,,,
2007-07-09,,,,,,
2007-07-10,64209.36,69350.0,69350.0,67890.0,67890.0,0.0
2007-07-11,14.43,15.59,15.59,15.59,15.59,0.0
2007-07-12,,,,,,
2007-07-13,296213.94,319929.0,319929.0,319929.0,319929.0,0.0
2007-07-16,,,,,,
2007-07-17,,,,,,
2007-07-18,,,,,,
2007-07-19,272.21,294.0,294.0,294.0,294.0,0.0
2007-07-20,,,,,,
2007-07-23,18.34,19.81,19.81,19.81,19.81,0.0
2007-07-24,0.19,0.2,0.2,0.2,0.2,0.0
2007-07-25,,,,,,
2007-07-26,,,,,,
2007-07-27,,,,,,
2007-07-30,5.67,6.12,6.12,6.12,6.12,0.0
2007-07-31,490.71,530.0,530.0,530.0,530.0,0.0
2007-08-01,,,,,,
2007-08-02,30.55,33.0,33.0,33.0,33.0,0.0
2007-08-03,,,,,,
2007-08-06,,,,,,
2007-08-07,,,,,,
2007-08-08,,,,,,
2007-08-09,,,,,,
2007-08-10,,,,,,
2007-08-13,,,,,,
2007-08-14,,,,,,
2007-08-15,0.59,0.64,0.64,0.64,0.64,0.0
2007-08-16,146.29,158.0,158.0,158.0,158.0,0.0
2007-08-17,,,,,,
2007-08-20,,,,,,
2007-08-21,,,,,,
2007-08-22,,,,,,
2007-08-23,,,,,,
2007-08-24,,,,,,
2007-08-27,,,,,,
2007-08-28,,,,,,
2007-08-29,4449.75,4806.0,4806.0,4806.0,4806.0,0.0
2007-08-30,,,,,,
2007-08-31,0.21,0.23,0.23,0.23,0.23,0.0
2007-09-04,,,,,,
2007-09-05,,,,,,
2007-09-06,,,,,,
2007-09-07,,,,,,
2007-09-10,,,,,,
2007-09-11,,,,,,
2007-09-12,,,,,,
2007-09-13,,,,,,
2007-09-14,,,,,,
2007-09-17,19.44,21.0,21.0,21.0,21.0,0.0
2007-09-18,,,,,,
2007-09-19,1430.48,1545.0,1545.0,1545.0,1545.0,0.0
2007-09-20,,,,,,
2007-09-21,5638.57,6090.0,6090.0,6090.0,6090.0,0.0
2007-09-24,,,,,,
2007-09-25,,,,,,
2007-09-26,,,,,,
2007-09-27,,,,,,
2007-09-28,,,,,,
2007-10-01,,,,,,
2007-10-02,6.97,7.53,7.53,7.53,7.53,0.0
2007-10-03,,,,,,
2007-10-04,,,,,,
2007-10-05,,,,,,
2007-10-08,16.97,18.33,18.33,18.33,18.33,0.0
2007-10-09,,,,,,
2007-10-10,,,,,,
2007-10-11,302.76,327.0,327.0,327.0,327.0,0.0
2007-10-12,,,,,,
2007-10-15,,,,,,
2007-10-16,,,,,,
2007-10-17,45.37,49.0,49.0,49.0,49.0,0.0
2007-10-18,0.28,0.3,0.3,0.3,0.3,0.0
2007-10-19,,,,,,
2007-10-22,8.05,8.69,8.69,8.69,8.69,0.0
2007-10-23,,,,,,
2007-10-24,162953.81,176000.0,176000.0,176000.0,176000.0,0.0
2007-10-25,,,,,,
2007-10-26,,,,,,
2007-10-29,,,,,,
2007-10-30,,,,,,
2007-10-31,,,,,,
2007-11-01,,,,,,
2007-11-02,,,,,,
2007-11-05,796.25,860.0,860.0,860.0,860.0,0.0
2007-11-06,,,,,,
2007-11-07,,,,,,
2007-11-08,,,,,,
2007-11-09,,,,,,
2007-11-12,4.49,4.85,4.85,4.85,4.85,0.0
2007-11-13,0.85,0.92,0.92,0.92,0.92,0.0
2007-11-14,16.22,17.52,17.52,17.5,17.5,0.0
2007-11-15,,,,,,
2007-11-16,,,,,,
2007-11-19,,,,,,
2007-11-20,,,,,,
2007-11-21,,,,,,
2007-11-23,,,,,,
2007-11-26,249.06,269.0,269.0,269.0,269.0,0.0
2007-11-27,305.54,330.0,330.0,330.0,330.0,0.0
2007-11-28,,,,,,
2007-11-29,171.29,185.0,185.0,185.0,185.0,0.0
2007-11-30,,,,,,
2007-12-03,,,,,,
2007-12-04,,,,,,
2007-12-05,,,,,,
2007-12-06,,,,,,
2007-12-07,,,,,,
2007-12-10,,,,,,
2007-12-11,,,,,,
2007-12-12,,,,,,
2007-12-13,664.78,718.0,718.0,718.0,718.0,0.0
2007-12-14,,,,,,
2007-12-17,63977.89,69100.0,69100.0,69100.0,69100.0,0.0
2007-12-18,,,,,,
2007-12-19,,,,,,
2007-12-20,,,,,,
2007-12-21,,,,,,
2007-12-24,,,,,,
2007-12-26,,,,,,
2007-12-27,,,,,,
