,Adj Close,Close,High,Low,Open,Volume
2007-01-03,25.38,32.6,33.03,32.23,32.72,798800.0
2007-01-04,25.2,32.37,32.69,32.17,32.6,446400.0
2007-01-05,24.87,31.94,32.42,31.8,32.37,462600.0
2007-01-08,24.92,32.01,32.08,31.51,31.88,851600.0
2007-01-09,24.94,32.04,32.12,31.84,32.03,476400.0
2007-01-10,25.03,32.15,32.22,31.85,31.95,333400.0
2007-01-11,25.34,32.56,32.65,32.2,32.2,398200.0
2007-01-12,25.43,32.67,32.77,32.45,32.47,636000.0
2007-01-16,25.36,32.58,32.83,32.51,32.74,278400.0
2007-01-17,25.33,32.54,32.74,32.46,32.53,711400.0
2007-01-18,25.34,32.56,32.65,32.44,32.65,673800.0
2007-01-19,25.57,32.85,32.88,32.42,32.71,551800.0
2007-01-22,25.4,32.63,32.9,32.55,32.85,614400.0
2007-01-23,25.51,32.77,32.92,32.65,32.7,580600.0
2007-01-24,25.45,32.69,33.06,32.67,32.88,770200.0
2007-01-25,24.91,32.01,32.69,31.75,32.69,1347400.0
2007-01-26,24.96,32.07,32.15,31.6,32.05,776200.0
2007-01-29,25.39,32.62,32.65,32.07,32.12,703200.0
2007-01-30,25.31,32.52,32.72,32.49,32.62,602600.0
2007-01-31,25.65,32.95,33.16,32.34,32.61,871200.0
2007-02-01,25.48,32.73,33.24,32.59,32.96,857600.0
2007-02-02,25.61,32.9,33.0,32.59,32.85,427200.0
2007-02-05,25.29,32.49,32.82,32.45,32.77,448000.0
2007-02-06,25.2,32.38,32.56,32.33,32.49,635400.0
2007-02-07,25.25,32.44,32.51,32.16,32.4,521400.0
2007-02-08,25.2,32.37,32.46,32.19,32.44,285000.0
2007-02-09,24.94,32.04,32.58,31.97,32.4,784400.0
2007-02-12,24.99,32.1,32.31,32.04,32.04,253200.0
2007-02-13,25.32,32.53,32.6,32.22,32.22,571800.0
2007-02-14,25.59,32.87,33.0,32.53,32.53,483400.0
2007-02-15,25.72,33.04,33.08,32.74,32.87,391000.0
2007-02-16,25.78,33.12,33.15,32.78,32.92,608200.0
2007-02-20,26.08,33.5,33.56,33.15,33.15,755600.0
2007-02-21,26.25,33.72,33.83,33.33,33.42,617200.0
2007-02-22,26.13,33.57,33.82,33.32,33.82,347400.0
