,Adj Close,Close,High,Low,Open,Volume
2007-01-03,36.87,47.74,48.12,47.72,47.96,4700.0
2007-01-04,36.84,47.7,47.9,47.46,47.74,8700.0
2007-01-05,37.06,47.98,48.14,47.6,47.98,2700.0
2007-01-08,37.23,48.2,48.2,47.5,47.8,19000.0
2007-01-09,37.29,48.28,49.0,47.5,47.7,14700.0
2007-01-10,36.64,47.44,47.66,47.12,47.66,4100.0
2007-01-11,36.68,47.5,47.5,46.76,46.86,14300.0
2007-01-12,37.1,48.04,48.06,47.22,47.48,3500.0
2007-01-16,36.7,47.52,47.56,47.2,47.44,5900.0
2007-01-17,36.92,47.8,47.98,47.04,47.3,6300.0
2007-01-18,36.93,47.82,47.82,47.26,47.64,2400.0
2007-01-19,37.1,48.04,48.04,47.7,47.94,2400.0
2007-01-22,36.98,47.88,48.04,47.76,48.0,2400.0
2007-01-23,37.27,48.26,48.28,47.52,47.9,8700.0
2007-01-24,36.53,47.3,47.98,46.66,46.92,6500.0
2007-01-25,36.99,47.9,48.2,47.28,47.38,6800.0
2007-01-26,36.72,47.54,47.72,47.32,47.72,4200.0
2007-01-29,36.39,47.12,47.38,46.9,47.1,5100.0
2007-01-30,36.98,47.88,47.94,47.54,47.58,3200.0
2007-01-31,36.95,47.84,48.02,47.1,47.1,3900.0
2007-02-01,37.53,48.6,48.92,48.36,48.36,11200.0
2007-02-02,37.55,48.62,48.74,48.16,48.2,4500.0
2007-02-05,37.74,48.86,48.86,48.3,48.3,3000.0
2007-02-06,38.12,49.36,49.46,48.94,49.2,5300.0
2007-02-07,38.04,49.26,49.6,49.14,49.26,3600.0
2007-02-08,37.95,49.14,49.22,48.66,49.22,2900.0
2007-02-09,37.67,48.78,49.22,48.5,48.74,13300.0
2007-02-12,37.58,48.66,48.72,48.3,48.66,4700.0
2007-02-13,36.92,47.8,47.9,47.26,47.88,5200.0
2007-02-14,37.75,48.88,48.9,48.3,48.3,2700.0
2007-02-15,37.32,48.32,48.54,48.26,48.5,4700.0
2007-02-16,36.99,47.9,48.08,47.56,48.08,2400.0
2007-02-20,36.81,47.66,48.02,47.36,48.02,2700.0
2007-02-21,36.98,47.88,48.34,47.58,47.88,5800.0
2007-02-22,36.61,47.4,47.46,46.66,46.98,4600.0
2007-02-23,36.38,47.1,47.14,46.68,47.12,6300.0
2007-02-26,36.53,47.3,47.34,46.8,47.18,4600.0
2007-02-27,35.43,45.88,46.5,45.58,46.02,4600.0
2007-02-28,35.88,46.46,46.76,42.9,45.84,4500.0
2007-03-01,35.14,45.5,45.98,45.06,45.7,2500.0
2007-03-02,34.43,44.58,44.98,44.38,44.48,4300.0
2007-03-05,34.03,44.06,44.56,44.04,44.18,5900.0
2007-03-06,34.95,45.26,45.44,44.62,44.62,3200.0
2007-03-07,35.12,45.48,45.96,44.94,45.0,2300.0
2007-03-08,35.2,45.58,46.06,45.34,45.56,2000.0
2007-03-09,35.76,46.3,46.32,45.8,45.8,1300.0
2007-03-12,36.08,46.72,46.8,46.3,46.8,4200.0
2007-03-13,34.69,44.92,45.92,44.9,45.9,2900.0
2007-03-14,35.08,45.42,45.84,44.8,44.84,6300.0
2007-03-15,35.65,46.16,46.5,45.54,45.62,8600.0
2007-03-16,35.45,45.9,46.0,45.3,45.8,13600.0
2007-03-19,35.87,46.44,46.76,46.1,46.48,5300.0
2007-03-20,36.59,47.38,47.38,46.24,46.46,3700.0
2007-03-21,37.46,48.5,48.54,47.42,47.76,9000.0
2007-03-22,37.27,48.26,48.3,47.86,48.3,4500.0
2007-03-23,37.19,48.16,48.16,47.56,48.04,5400.0
2007-03-26,36.68,47.5,47.86,47.02,47.82,9000.0
2007-03-27,37.97,49.16,49.3,48.84,48.94,12300.0
2007-03-28,37.38,48.4,48.54,47.82,48.34,9100.0
2007-03-29,37.61,48.7,48.7,48.26,48.64,5800.0
2007-03-30,38.69,50.1,50.1,49.0,49.0,2400.0
2007-04-02,39.17,50.72,50.74,50.22,50.42,4000.0
2007-04-03,38.99,50.48,50.5,49.96,50.34,15300.0
2007-04-04,38.85,50.3,50.38,49.86,50.06,12900.0
2007-04-05,38.58,49.96,50.74,49.4,50.2,17200.0
2007-04-09,38.45,49.78,49.78,49.02,49.52,2200.0
2007-04-10,38.55,49.92,50.52,49.86,49.88,2700.0
2007-04-11,38.58,49.96,50.12,49.7,49.92,1900.0
2007-04-12,38.86,50.32,50.38,49.84,49.96,6600.0
2007-04-13,38.4,49.72,49.9,49.46,49.9,6400.0
2007-04-16,38.68,50.08,50.28,49.94,50.0,4000.0
2007-04-17,39.28,50.86,51.08,50.48,50.48,2200.0
2007-04-18,38.28,49.56,50.2,48.1,48.24,16100.0
2007-04-19,38.96,50.44,50.46,49.84,49.96,7900.0
2007-04-20,38.91,50.38,50.6,49.88,49.94,7400.0
2007-04-23,38.68,50.08,50.48,49.56,49.7,9000.0
2007-04-24,37.69,48.8,49.06,48.44,49.06,3400.0
2007-04-25,38.62,50.0,50.0,49.18,49.22,3600.0
2007-04-26,38.14,49.38,49.46,48.94,49.18,8100.0
2007-04-27,38.63,50.02,50.06,49.56,49.6,6300.0
2007-04-30,38.45,49.78,50.44,49.58,49.62,3300.0
2007-05-01,39.43,51.06,51.14,50.44,50.78,4000.0
2007-05-02,38.66,50.06,50.32,49.62,50.02,8000.0
2007-05-03,38.82,50.26,50.46,50.04,50.26,4400.0
2007-05-04,39.54,51.2,51.7,50.88,51.16,8200.0
2007-05-07,39.88,51.64,51.7,51.28,51.7,4800.0
2007-05-08,39.22,50.78,50.92,50.38,50.7,6900.0
2007-05-09,38.99,50.48,51.2,49.88,50.0,15300.0
2007-05-10,37.6,48.68,49.52,48.4,49.48,11600.0
2007-05-11,37.72,48.84,49.32,48.48,48.58,6800.0
2007-05-14,37.3,48.3,48.72,48.04,48.36,6500.0
2007-05-15,37.47,48.52,49.16,48.24,48.36,11900.0
2007-05-16,37.98,49.18,49.62,48.46,49.28,11700.0
2007-05-17,37.52,48.58,48.9,48.08,48.42,10400.0
2007-05-18,37.6,48.68,48.86,48.42,48.54,5900.0
2007-05-21,37.55,48.62,48.7,48.1,48.5,28100.0
2007-05-22,37.81,48.96,49.0,48.26,48.64,7200.0
2007-05-23,37.29,48.28,48.78,48.14,48.56,7600.0
2007-05-24,36.95,47.84,48.78,47.6,48.76,16400.0
2007-05-25,36.81,47.66,47.66,47.08,47.26,7200.0
2007-05-29,35.91,46.5,47.3,46.5,47.16,7700.0
2007-05-30,36.41,45.86,45.96,44.66,45.24,11000.0
2007-05-31,35.98,45.32,45.64,44.86,44.92,6200.0
2007-06-01,36.73,46.26,46.78,46.26,46.7,6400.0
2007-06-04,37.09,46.72,46.94,46.46,46.76,2700.0
2007-06-05,36.87,46.44,46.5,45.96,46.5,8700.0
2007-06-06,35.88,45.2,45.38,44.5,45.02,13700.0
2007-06-07,34.68,43.68,44.5,43.2,44.5,7900.0
2007-06-08,35.11,44.22,44.62,43.34,43.48,7700.0
2007-06-11,33.87,42.66,42.96,42.2,42.94,8300.0
2007-06-12,33.38,42.04,42.34,41.76,41.94,5300.0
2007-06-13,33.65,42.38,42.38,41.94,42.02,2500.0
2007-06-14,34.36,43.28,43.58,43.2,43.2,12500.0
2007-06-15,34.82,43.86,44.36,43.44,43.8,8000.0
2007-06-18,34.49,43.44,43.84,43.26,43.66,11100.0
2007-06-19,34.39,43.32,43.54,42.94,43.54,4300.0
2007-06-20,34.52,43.48,44.12,43.38,43.66,3200.0
2007-06-21,34.01,42.84,42.88,42.4,42.84,4500.0
2007-06-22,33.99,42.82,43.18,42.04,42.4,12000.0
2007-06-25,33.36,42.02,42.58,41.78,42.18,9900.0
2007-06-26,32.71,41.2,42.04,41.04,41.94,5400.0
2007-06-27,32.88,41.42,41.54,41.14,41.32,6200.0
2007-06-28,33.28,41.92,41.92,41.34,41.72,7900.0
2007-06-29,33.63,42.36,42.92,41.62,42.0,6600.0
2007-07-02,33.33,41.98,42.18,41.74,41.74,8100.0
2007-07-03,33.84,42.62,42.84,42.46,42.56,2300.0
2007-07-05,33.66,42.4,42.62,42.16,42.54,23600.0
2007-07-06,33.74,42.5,42.56,42.16,42.16,5600.0
2007-07-09,34.65,43.64,43.74,43.3,43.64,20600.0
2007-07-10,34.69,43.7,44.06,43.3,43.72,15000.0
2007-07-11,34.9,43.96,44.08,43.7,43.94,74400.0
2007-07-12,35.06,44.16,44.16,43.48,43.86,4900.0
2007-07-13,35.58,44.82,45.0,44.44,44.64,4200.0
2007-07-16,34.98,44.06,44.56,43.82,43.98,18100.0
2007-07-17,35.07,44.18,44.48,43.9,44.28,22400.0
2007-07-18,34.26,43.16,43.52,42.64,43.26,32700.0
2007-07-19,34.52,43.48,43.82,43.32,43.38,8900.0
2007-07-20,35.28,44.44,44.76,43.86,43.86,208800.0
2007-07-23,35.04,44.14,44.8,43.7,43.7,23600.0
2007-07-24,33.5,42.2,43.08,42.16,42.66,31000.0
2007-07-25,33.33,41.98,42.48,41.6,42.36,8000.0
2007-07-26,31.55,39.74,40.86,39.42,40.34,18100.0
2007-07-27,31.49,39.66,40.2,39.5,39.84,83800.0
2007-07-30,32.15,40.5,43.14,40.0,40.14,34800.0
2007-07-31,31.66,39.88,41.3,39.88,40.3,23200.0
2007-08-01,32.33,40.72,41.1,39.96,40.24,28900.0
2007-08-02,31.98,40.28,47.0,39.66,40.0,29700.0
2007-08-03,31.45,39.62,40.2,39.58,40.12,12600.0
2007-08-06,31.37,39.52,39.84,38.86,38.9,10400.0
2007-08-07,32.04,40.36,40.54,39.54,40.02,11500.0
2007-08-08,33.55,42.26,42.88,41.92,42.0,25100.0
2007-08-09,31.93,40.22,42.04,40.16,41.92,18100.0
