,Adj Close,Close,High,Low,Open,Volume
2007-01-03,32.27,49.3,49.3,48.47,48.5,355000.0
2007-01-04,31.79,48.57,49.07,48.52,49.05,276800.0
2007-01-05,31.62,48.3,48.37,47.69,47.69,201000.0
2007-01-08,31.33,47.86,48.18,47.64,48.18,270100.0
2007-01-09,31.35,47.9,48.0,47.61,47.75,108700.0
2007-01-10,31.11,47.53,47.78,47.47,47.73,161800.0
2007-01-11,31.54,48.18,48.35,47.62,47.62,289400.0
2007-01-12,31.22,47.69,48.21,47.56,48.03,179800.0
2007-01-16,31.03,47.4,48.04,47.38,47.71,179900.0
2007-01-17,31.09,47.49,47.83,47.02,47.18,233200.0
2007-01-18,30.88,47.17,47.61,47.1,47.4,227300.0
2007-01-19,30.93,47.25,47.54,47.03,47.04,189300.0
2007-01-22,30.73,46.95,47.49,46.91,47.3,207000.0
2007-01-23,31.03,47.4,47.51,46.57,46.75,451700.0
2007-01-24,31.22,47.7,47.7,47.31,47.5,155900.0
2007-01-25,31.2,47.67,47.71,47.4,47.51,160200.0
2007-01-26,30.67,46.86,47.81,46.58,47.7,238400.0
2007-01-29,31.18,47.64,47.97,46.76,46.77,190500.0
2007-01-30,31.04,47.42,47.79,47.23,47.39,280400.0
2007-01-31,31.09,47.49,47.69,47.14,47.43,128400.0
2007-02-01,31.32,47.84,47.84,47.48,47.53,110100.0
2007-02-02,31.5,48.12,48.23,47.81,47.84,91800.0
2007-02-05,31.45,48.05,48.06,47.6,47.97,193800.0
2007-02-06,31.58,48.25,48.3,47.95,48.05,105400.0
2007-02-07,31.53,48.17,48.31,48.0,48.21,183100.0
2007-02-08,31.61,48.01,48.11,47.78,47.79,127600.0
2007-02-09,31.59,47.98,48.06,47.71,48.0,93100.0
2007-02-12,31.68,48.12,48.3,47.92,47.96,276100.0
2007-02-13,31.99,48.59,48.73,47.79,48.08,177800.0
2007-02-14,32.1,48.75,48.82,48.55,48.55,130000.0
2007-02-15,31.82,48.33,48.9,48.11,48.75,217800.0
2007-02-16,32.53,49.41,50.4,46.97,48.36,1034900.0
2007-02-20,33.81,51.35,51.8,49.0,49.25,572500.0
2007-02-21,33.13,50.32,50.89,50.01,50.8,297800.0
2007-02-22,33.34,50.64,50.71,49.6,50.31,244500.0
2007-02-23,33.29,50.56,51.0,50.05,50.46,307600.0
2007-02-26,33.38,50.7,50.81,50.44,50.65,137000.0
2007-02-27,32.73,49.71,50.39,49.62,50.1,246800.0
2007-02-28,32.62,49.54,50.2,49.5,49.71,309800.0
2007-03-01,33.4,50.73,50.9,49.0,49.22,437100.0
2007-03-02,33.02,50.15,50.73,50.01,50.73,232100.0
2007-03-05,32.39,49.19,50.02,49.14,49.9,357400.0
2007-03-06,32.47,49.31,49.74,49.25,49.4,364900.0
2007-03-07,32.4,49.21,49.57,48.7,49.29,254000.0
2007-03-08,32.74,49.72,49.72,49.43,49.46,133900.0
