,Adj Close,Close,High,Low,Open,Volume
2007-01-03,36.05,47.84,48.21,47.46,47.81,356000.0
2007-01-04,35.98,47.75,47.81,47.32,47.75,282800.0
2007-01-05,35.39,46.97,47.6,46.82,47.54,337300.0
2007-01-08,35.3,46.85,46.99,46.46,46.97,404500.0
2007-01-09,35.66,47.33,47.4,46.78,46.95,201900.0
2007-01-10,35.67,47.34,47.41,47.0,47.22,177000.0
2007-01-11,35.96,47.72,48.03,47.52,47.52,249400.0
2007-01-12,35.96,47.72,48.08,47.56,47.56,293100.0
2007-01-16,36.14,47.96,48.01,47.71,47.85,251600.0
2007-01-17,35.96,47.73,48.02,47.62,47.8,244100.0
2007-01-18,35.87,47.61,47.96,47.54,47.75,156600.0
2007-01-19,35.97,47.74,48.09,47.46,47.76,160700.0
2007-01-22,35.69,47.36,47.75,47.21,47.64,168300.0
2007-01-23,36.2,48.04,48.08,47.29,47.44,255800.0
2007-01-24,36.43,48.35,48.39,47.76,47.99,223800.0
2007-01-25,36.08,47.88,48.42,47.82,48.42,238700.0
2007-01-26,35.92,47.67,48.06,47.49,48.06,189400.0
2007-01-29,35.93,47.69,48.21,47.32,47.68,310700.0
2007-01-30,36.09,47.9,48.15,47.77,47.82,253000.0
2007-01-31,36.33,48.21,48.4,47.31,47.9,394700.0
2007-02-01,38.34,50.88,51.32,48.5,49.4,2087800.0
2007-02-02,38.06,50.51,51.55,50.16,50.96,717500.0
2007-02-05,37.43,49.68,50.76,49.44,50.76,834100.0
2007-02-06,37.58,49.87,50.69,49.31,49.74,954600.0
2007-02-07,37.66,49.98,50.23,49.57,50.05,561700.0
2007-02-08,37.7,50.03,50.39,49.76,50.0,689800.0
2007-02-09,37.46,49.71,50.3,49.71,50.02,476000.0
2007-02-12,37.11,49.25,49.98,49.17,49.64,309600.0
2007-02-13,37.08,49.21,49.5,49.08,49.25,426900.0
2007-02-14,37.26,49.45,49.51,48.92,49.21,551200.0
2007-02-15,37.84,50.22,50.25,49.37,49.46,607100.0
2007-02-16,37.6,49.9,50.09,49.64,50.03,448700.0
2007-02-20,38.02,50.46,50.51,49.37,49.95,440100.0
2007-02-21,38.37,50.92,51.03,50.04,50.4,727800.0
2007-02-22,38.44,50.75,50.95,50.55,50.8,729600.0
2007-02-23,38.49,50.81,50.87,50.56,50.7,385000.0
2007-02-26,39.02,51.51,51.66,50.87,50.87,919200.0
2007-02-27,38.07,50.25,51.28,49.6,51.28,985000.0
2007-02-28,37.92,50.06,50.66,50.01,50.4,774100.0
2007-03-01,37.61,49.65,49.87,48.85,49.8,695000.0
2007-03-02,37.2,49.11,49.9,49.05,49.65,448800.0
2007-03-05,36.76,48.53,49.23,48.53,48.86,473900.0
2007-03-06,37.13,49.01,49.02,48.63,48.79,415800.0
2007-03-07,37.13,49.01,49.29,48.69,48.85,457500.0
2007-03-08,37.25,49.17,49.46,49.06,49.39,431800.0
2007-03-09,37.21,49.12,49.5,48.9,49.34,277300.0
2007-03-12,37.57,49.6,49.61,48.84,48.99,405900.0
2007-03-13,37.16,49.05,49.52,48.63,49.39,821900.0
2007-03-14,36.87,48.67,49.17,48.15,49.05,459200.0
2007-03-15,36.69,48.44,48.78,48.18,48.33,358800.0
2007-03-16,36.19,47.77,48.28,47.69,48.28,559700.0
2007-03-19,36.62,48.34,48.66,48.18,48.27,232500.0
2007-03-20,36.84,48.63,48.69,48.01,48.17,202800.0
2007-03-21,37.38,49.35,49.35,48.33,48.68,301900.0
2007-03-22,37.35,49.31,49.55,49.25,49.35,421300.0
2007-03-23,37.71,49.78,49.84,49.4,49.43,237500.0
2007-03-26,37.07,48.93,49.73,48.72,49.69,280200.0
2007-03-27,36.47,48.14,48.93,47.85,48.73,615100.0
2007-03-28,36.39,48.04,48.27,47.71,48.12,342200.0
2007-03-29,36.48,48.16,48.27,47.9,48.27,205800.0
2007-03-30,36.44,48.1,48.45,47.78,48.1,223100.0
2007-04-02,36.4,48.05,48.32,47.85,48.0,197800.0
2007-04-03,36.69,48.44,48.52,48.13,48.16,234000.0
2007-04-04,36.87,48.67,49.02,48.35,48.48,483400.0
2007-04-05,36.79,48.57,48.63,48.29,48.45,275900.0
2007-04-09,36.63,48.35,48.87,48.29,48.6,207900.0
2007-04-10,36.41,48.06,48.46,47.97,48.36,252600.0
2007-04-11,36.01,47.54,48.22,47.47,48.11,312400.0
2007-04-12,36.16,47.74,47.75,47.11,47.54,335900.0
2007-04-13,36.18,47.76,47.81,47.34,47.74,320200.0
2007-04-16,36.34,47.97,48.09,46.92,46.92,277200.0
2007-04-17,36.25,47.85,48.57,47.8,48.49,446800.0
2007-04-18,36.32,47.94,48.14,47.68,47.75,428200.0
2007-04-19,36.22,47.81,48.11,47.73,47.95,431600.0
2007-04-20,36.44,48.11,48.19,47.72,48.05,502800.0
2007-04-23,36.96,48.79,48.94,47.94,48.1,437300.0
2007-04-24,42.57,56.2,56.8,51.79,52.3,2370700.0
2007-04-25,41.95,55.38,56.35,55.3,56.17,895100.0
2007-04-26,41.88,55.29,55.75,55.05,55.63,832000.0
2007-04-27,41.91,55.32,55.42,54.7,54.91,566900.0
2007-04-30,41.28,54.5,55.6,54.39,55.59,665700.0
2007-05-01,41.59,54.9,54.9,54.1,54.5,580200.0
2007-05-02,41.93,55.35,55.46,54.89,54.98,387900.0
2007-05-03,41.97,55.4,55.51,55.02,55.27,246700.0
2007-05-04,41.72,55.08,55.6,54.55,55.58,375700.0
2007-05-07,41.65,54.98,55.6,54.69,55.21,542600.0
2007-05-08,41.41,54.66,54.98,54.25,54.88,427200.0
2007-05-09,42.08,55.55,55.55,54.77,54.8,329900.0
2007-05-10,41.36,54.6,55.51,54.51,55.35,342700.0
2007-05-11,41.63,54.95,55.14,54.55,54.62,338400.0
2007-05-14,41.32,54.54,55.23,54.31,54.95,321900.0
2007-05-15,40.71,53.74,54.69,53.64,54.5,596800.0
2007-05-16,40.63,53.63,53.9,53.03,53.79,426500.0
2007-05-17,40.4,53.06,53.33,52.8,53.32,328700.0
2007-05-18,39.97,52.5,53.48,52.17,53.16,822700.0
2007-05-21,40.28,52.9,53.12,52.62,52.65,615300.0
2007-05-22,40.73,53.5,54.05,52.71,52.91,473000.0
2007-05-23,40.27,52.89,53.83,52.86,53.6,267000.0
2007-05-24,39.61,52.03,53.42,51.98,52.9,367300.0
2007-05-25,40.07,52.63,52.68,52.09,52.09,203100.0
2007-05-29,40.02,52.57,53.14,52.22,52.55,504900.0
2007-05-30,40.79,53.57,53.64,52.15,52.55,644200.0
2007-05-31,41.17,54.07,54.42,53.55,53.61,676700.0
2007-06-01,41.28,54.22,54.36,53.85,54.05,532300.0
2007-06-04,40.9,53.72,54.08,53.56,54.02,445100.0
2007-06-05,41.3,54.24,54.3,53.19,53.47,637800.0
2007-06-06,41.0,53.85,54.24,53.49,54.24,611800.0
2007-06-07,40.21,52.81,53.9,52.81,53.85,677900.0
2007-06-08,40.6,53.33,53.36,52.51,52.81,306400.0
2007-06-11,40.25,52.87,53.27,52.78,53.17,229200.0
2007-06-12,39.61,52.02,52.98,52.01,52.87,304100.0
2007-06-13,40.34,52.98,53.22,52.24,52.5,397400.0
2007-06-14,40.39,53.05,53.47,52.88,52.98,254300.0
2007-06-15,40.44,53.11,53.9,53.05,53.46,379100.0
2007-06-18,40.33,52.97,53.23,52.65,53.0,266000.0
2007-06-19,39.93,52.44,52.73,52.14,52.72,275500.0
2007-06-20,39.33,51.66,52.83,51.66,52.69,484900.0
2007-06-21,39.76,52.22,52.26,51.68,51.86,466600.0
2007-06-22,39.27,51.58,52.26,51.54,51.97,551300.0
2007-06-25,38.97,51.18,52.61,51.13,51.58,469200.0
2007-06-26,38.59,50.68,51.6,50.21,51.3,658000.0
2007-06-27,39.21,51.5,51.57,50.17,50.3,523600.0
2007-06-28,39.22,51.51,52.04,51.37,51.51,311000.0
2007-06-29,38.46,50.51,51.63,50.21,51.52,375000.0
2007-07-02,39.19,51.48,51.48,50.72,50.79,295300.0
2007-07-03,39.61,52.03,52.04,51.48,51.48,195700.0
2007-07-05,39.15,51.42,51.98,51.41,51.98,370700.0
2007-07-06,39.29,51.6,51.67,50.86,51.42,334500.0
2007-07-09,39.05,51.29,51.6,51.01,51.6,248300.0
2007-07-10,37.89,49.77,51.09,49.77,51.09,397300.0
2007-07-11,38.19,50.16,50.38,49.48,49.58,355100.0
2007-07-12,38.91,51.11,51.11,50.08,50.18,514900.0
2007-07-13,38.83,51.0,51.21,50.63,50.92,317600.0
2007-07-16,38.43,50.48,50.96,50.47,50.75,277100.0
2007-07-17,38.32,50.33,50.66,50.16,50.66,398800.0
2007-07-18,38.29,50.29,50.37,49.87,50.0,402800.0
2007-07-19,38.62,50.72,50.96,50.35,50.44,225900.0
2007-07-20,38.11,50.06,50.68,49.95,50.65,430100.0
2007-07-23,38.24,50.23,50.81,49.28,49.28,335300.0
2007-07-24,38.06,49.99,50.34,49.59,49.83,637000.0
2007-07-25,42.34,55.61,57.81,51.9,52.0,2666300.0
2007-07-26,41.04,53.91,55.29,53.29,55.29,1317200.0
2007-07-27,39.64,52.07,54.75,52.07,54.75,1065100.0
2007-07-30,40.03,52.58,52.72,51.66,52.54,691600.0
2007-07-31,39.84,52.33,53.66,52.27,53.1,823000.0
2007-08-01,40.53,53.23,53.24,51.91,52.35,585100.0
2007-08-02,41.38,54.35,54.44,53.34,53.63,912900.0
2007-08-03,39.93,52.44,54.31,52.41,54.21,649900.0
2007-08-06,41.19,54.1,54.1,52.29,52.55,845200.0
2007-08-07,40.5,53.19,53.98,52.84,53.72,968700.0
2007-08-08,40.21,52.81,53.29,50.92,53.18,1339700.0
2007-08-09,35.47,46.59,51.89,45.8,51.89,1940300.0
2007-08-10,38.45,50.5,51.2,45.03,46.0,1869800.0
2007-08-13,39.98,52.51,53.89,51.19,51.5,994500.0
2007-08-14,37.41,49.14,52.8,48.96,52.8,823300.0
2007-08-15,36.6,48.07,50.09,47.86,49.35,710700.0
2007-08-16,36.61,47.82,47.96,45.86,47.15,850300.0
2007-08-17,36.69,47.92,49.9,47.04,47.04,661200.0
2007-08-20,37.12,48.48,48.89,47.82,47.97,424900.0
2007-08-21,37.08,48.43,49.1,48.12,48.25,314500.0
2007-08-22,37.6,49.11,49.3,48.56,48.98,373000.0
2007-08-23,37.83,49.41,49.81,48.51,49.1,624800.0
2007-08-24,38.32,50.05,50.11,48.75,49.62,471400.0
2007-08-27,37.71,49.25,49.96,48.9,49.84,383300.0
2007-08-28,36.38,47.51,49.21,47.5,48.94,486400.0
2007-08-29,37.15,48.52,48.57,47.58,47.93,418500.0
2007-08-30,36.89,48.18,48.95,47.85,48.34,433500.0
2007-08-31,37.5,48.98,49.48,48.1,48.94,449700.0
2007-09-04,37.42,48.87,49.11,48.37,48.77,461200.0
2007-09-05,36.96,48.27,49.47,47.94,49.35,696100.0
2007-09-06,36.87,48.16,48.61,47.53,48.25,460900.0
2007-09-07,36.21,47.29,47.97,46.76,47.65,451200.0
2007-09-10,35.53,46.4,47.73,45.93,47.49,608200.0
2007-09-11,35.99,47.01,47.25,46.25,46.25,568300.0
2007-09-12,35.92,46.91,47.51,46.6,46.99,414100.0
2007-09-13,35.73,46.67,47.31,46.42,47.3,460900.0
2007-09-14,35.6,46.49,46.79,46.1,46.27,315700.0
2007-09-17,35.29,46.09,46.65,45.53,46.16,382300.0
2007-09-18,37.11,48.47,48.47,46.13,46.4,772500.0
2007-09-19,37.54,49.03,49.5,48.45,48.77,707800.0
2007-09-20,37.57,49.07,49.39,48.64,49.2,445600.0
2007-09-21,37.62,49.13,49.65,48.93,49.65,382800.0
2007-09-24,37.02,48.35,49.52,48.1,49.45,414500.0
2007-09-25,37.1,48.45,48.75,47.56,47.88,603900.0
2007-09-26,37.09,48.44,48.92,47.93,48.5,431300.0
2007-09-27,37.62,49.14,49.21,48.41,48.61,340900.0
2007-09-28,37.93,49.54,50.01,49.1,49.15,452000.0
2007-10-01,38.67,50.5,50.62,49.65,49.84,326600.0
2007-10-02,38.8,50.68,50.87,50.15,50.59,361000.0
2007-10-03,38.79,50.66,51.47,50.28,50.53,544600.0
2007-10-04,37.98,49.61,51.01,49.27,50.7,503700.0
2007-10-05,38.22,49.92,50.17,49.52,49.9,460700.0
2007-10-08,37.9,49.5,49.93,49.32,49.75,513300.0
2007-10-09,37.54,49.03,49.61,48.25,49.5,432400.0
2007-10-10,37.26,48.67,49.0,48.04,49.0,321300.0
2007-10-11,37.14,48.51,49.43,47.99,49.23,540100.0
2007-10-12,36.7,47.93,48.67,47.73,48.64,590100.0
2007-10-15,36.41,47.56,48.12,46.9,48.06,676600.0
2007-10-16,36.35,47.47,47.77,46.94,47.5,433800.0
2007-10-17,36.46,47.62,47.88,47.03,47.83,455600.0
2007-10-18,35.99,47.0,47.95,46.78,47.51,443600.0
2007-10-19,35.2,45.98,46.94,45.9,46.49,639700.0
2007-10-22,35.57,46.46,46.61,45.64,45.69,587300.0
2007-10-23,36.21,47.29,47.29,46.27,46.56,578700.0
2007-10-24,38.67,50.5,52.41,49.25,49.93,1326000.0
2007-10-25,38.15,49.83,50.91,49.65,50.5,1050600.0
2007-10-26,38.26,49.97,50.34,49.6,50.13,540900.0
2007-10-29,38.21,49.91,50.35,49.66,50.25,573700.0
2007-10-30,37.86,49.45,50.49,49.31,49.91,439800.0
2007-10-31,38.16,49.84,49.94,48.78,49.85,584900.0
2007-11-01,37.56,49.05,49.87,48.68,49.4,425100.0
2007-11-02,38.42,50.18,50.25,49.06,49.17,548500.0
2007-11-05,38.28,49.99,50.9,49.23,50.9,525200.0
2007-11-06,37.8,49.37,50.27,48.93,50.24,541400.0
2007-11-07,36.97,48.29,48.94,48.29,48.77,449200.0
2007-11-08,37.15,48.52,48.76,47.93,48.33,614600.0
2007-11-09,36.4,47.54,48.55,47.54,48.02,658400.0
2007-11-12,36.07,47.11,48.04,47.1,47.99,359900.0
2007-11-13,36.97,48.29,48.32,47.22,47.41,376000.0
2007-11-14,36.84,48.12,48.87,48.0,48.49,368900.0
2007-11-15,36.69,47.62,48.2,47.48,47.59,350000.0
2007-11-16,36.32,47.14,48.35,46.73,48.04,424300.0
2007-11-19,36.03,46.77,47.26,46.47,46.94,445400.0
2007-11-20,35.91,46.61,47.44,45.95,46.89,480100.0
2007-11-21,35.52,46.1,46.25,45.52,46.2,538000.0
2007-11-23,36.27,47.07,47.21,46.19,46.31,185300.0
2007-11-26,36.4,47.24,47.99,46.95,47.07,632500.0
2007-11-27,36.65,47.57,48.12,46.85,48.12,497900.0
2007-11-28,37.07,48.11,48.23,47.41,47.57,401700.0
2007-11-29,37.75,49.0,49.0,47.79,47.87,612300.0
2007-11-30,37.66,48.88,49.69,48.7,49.16,453600.0
2007-12-03,37.08,48.13,48.94,48.02,48.14,315600.0
2007-12-04,36.72,47.66,48.12,47.46,47.94,275300.0
2007-12-05,36.9,47.89,48.06,47.48,47.49,241900.0
2007-12-06,37.71,48.94,48.94,47.32,47.87,297800.0
2007-12-07,37.63,48.84,49.43,48.74,49.43,262300.0
2007-12-10,37.71,48.95,49.18,48.45,48.71,216500.0
2007-12-11,36.49,47.36,49.1,47.35,48.99,379800.0
2007-12-12,36.47,47.34,48.51,46.8,48.33,333400.0
2007-12-13,37.18,48.26,48.26,47.04,47.13,330800.0
2007-12-14,35.8,46.47,47.54,46.43,47.07,407100.0
2007-12-17,34.35,44.59,46.32,44.58,46.32,807000.0
2007-12-18,35.67,46.3,46.35,44.74,45.0,558400.0
2007-12-19,35.86,46.55,46.75,46.16,46.75,278700.0
2007-12-20,35.71,46.35,46.83,45.16,46.44,434000.0
2007-12-21,36.57,47.46,47.75,46.48,46.48,531500.0
2007-12-24,37.43,48.58,48.74,47.87,47.9,121400.0
2007-12-26,37.04,48.07,48.57,47.79,48.43,196500.0
2007-12-27,36.99,48.01,48.36,47.91,48.01,278500.0
2007-12-28,37.08,48.13,48.55,47.92,48.48,198900.0
2007-12-31,37.17,48.24,48.37,47.88,47.88,249900.0
2008-01-02,36.17,46.94,48.26,46.94,48.08,409000.0
2008-01-03,35.68,46.31,47.32,46.2,46.99,281400.0
2008-01-04,34.64,44.96,46.0,44.96,46.0,486300.0
2008-01-07,34.52,44.81,45.57,44.38,45.31,463700.0
2008-01-08,33.65,43.67,45.13,43.67,45.12,366000.0
2008-01-09,33.72,43.76,43.89,42.83,43.5,579000.0
2008-01-10,33.25,43.16,43.57,42.88,43.35,557900.0
2008-01-11,32.47,42.15,43.05,42.07,42.69,521600.0
2008-01-14,32.95,42.77,42.95,42.31,42.57,462600.0
2008-01-15,32.37,42.01,42.46,41.88,42.18,464200.0
2008-01-16,32.1,41.66,42.54,41.57,41.75,564600.0
2008-01-17,30.83,40.02,41.98,39.93,41.72,553100.0
2008-01-18,30.65,39.78,40.58,39.4,40.38,562400.0
2008-01-22,30.7,39.84,40.25,37.88,37.93,537100.0
2008-01-23,31.87,41.37,41.59,38.39,38.39,1094400.0
2008-01-24,32.34,41.98,42.34,41.25,41.66,573500.0
2008-01-25,32.19,41.78,42.59,41.69,42.21,386200.0
2008-01-28,32.53,42.22,42.24,40.86,41.6,744000.0
2008-01-29,33.3,43.22,43.47,42.33,42.51,471700.0
2008-01-30,33.78,43.84,44.99,43.03,43.26,539500.0
2008-01-31,37.84,49.12,49.6,46.0,46.47,2223700.0
2008-02-01,39.47,51.23,51.47,49.35,49.49,1079100.0
2008-02-04,39.46,51.22,51.54,49.96,50.8,924300.0
2008-02-05,38.23,49.62,50.64,49.5,50.26,692500.0
2008-02-06,38.38,49.81,51.24,49.67,50.1,675900.0
2008-02-07,38.11,49.46,50.2,49.03,49.5,681700.0
2008-02-08,37.74,48.98,50.04,48.72,49.01,586000.0
2008-02-11,38.52,50.0,50.11,48.48,49.11,585900.0
2008-02-12,38.55,50.03,50.7,49.74,50.51,579700.0
2008-02-13,39.87,51.75,51.88,50.56,50.56,489200.0
2008-02-14,38.85,50.43,51.81,50.27,51.65,717900.0
2008-02-15,38.92,50.52,50.6,49.84,50.52,586500.0
2008-02-19,38.43,49.88,51.51,49.76,50.76,525000.0
2008-02-20,39.2,50.88,50.93,49.36,49.56,667600.0
2008-02-21,39.5,50.96,51.75,50.65,50.95,680600.0
2008-02-22,39.49,50.95,51.2,50.11,51.2,469800.0
2008-02-25,40.39,52.12,52.16,50.58,51.0,549300.0
2008-02-26,41.08,53.01,53.04,51.64,51.91,484400.0
2008-02-27,40.5,52.25,52.98,51.92,52.79,431800.0
2008-02-28,40.29,51.99,52.27,51.35,51.98,642100.0
2008-02-29,38.69,49.92,51.58,49.75,51.52,621600.0
2008-03-03,38.64,49.85,50.28,49.5,50.1,756400.0
2008-03-04,38.26,49.37,49.64,48.45,49.64,783100.0
2008-03-05,38.33,49.45,49.84,49.0,49.52,828000.0
2008-03-06,37.27,48.09,49.3,47.81,49.3,519600.0
2008-03-07,37.51,48.4,48.79,47.5,47.69,517700.0
2008-03-10,36.62,47.25,48.7,47.22,48.5,670900.0
2008-03-11,37.29,48.11,48.59,46.91,48.41,546400.0
2008-03-12,37.09,47.86,48.8,47.81,48.5,507400.0
2008-03-13,37.37,48.22,48.48,46.59,47.07,652500.0
2008-03-14,36.71,47.37,48.5,47.01,48.4,723100.0
2008-03-17,36.16,46.65,47.24,46.21,46.59,899700.0
2008-03-18,37.7,48.64,48.66,47.13,47.8,590300.0
2008-03-19,37.52,48.41,49.62,48.15,48.94,534100.0
2008-03-20,38.19,49.28,49.42,48.29,48.57,449700.0
2008-03-24,38.68,49.91,50.2,49.28,49.29,412500.0
2008-03-25,39.36,50.78,50.97,49.5,50.08,320600.0
2008-03-26,38.36,49.49,50.65,49.0,50.62,363400.0
2008-03-27,37.49,48.37,49.67,48.37,49.63,357700.0
2008-03-28,37.97,48.99,49.44,48.51,48.7,378300.0
2008-03-31,39.41,50.85,50.97,49.15,49.15,739900.0
2008-04-01,42.1,54.32,54.39,50.35,50.97,1332200.0
2008-04-02,42.08,54.3,55.32,54.0,54.64,725100.0
2008-04-03,42.34,54.63,54.79,53.42,54.08,525500.0
2008-04-04,41.91,54.08,54.85,53.7,54.82,536000.0
2008-04-07,41.13,53.07,54.34,52.85,54.06,527300.0
2008-04-08,40.64,52.44,52.95,51.91,52.59,551500.0
2008-04-09,39.73,51.26,52.84,50.93,52.36,373000.0
2008-04-10,40.29,51.98,52.23,51.05,51.05,342100.0
2008-04-11,39.19,50.57,51.52,50.31,51.52,423400.0
2008-04-14,39.58,51.07,51.49,50.31,50.37,526200.0
2008-04-15,40.09,51.73,51.88,51.11,51.19,406800.0
2008-04-16,42.35,54.64,54.68,52.1,52.13,709400.0
2008-04-17,41.74,53.85,54.61,53.35,53.91,542000.0
2008-04-18,42.63,55.01,55.15,54.26,54.44,545600.0
2008-04-21,42.84,55.28,55.4,54.4,54.71,465000.0
2008-04-22,41.17,53.12,55.99,52.39,55.99,973500.0
2008-04-23,42.5,54.84,55.36,53.16,53.93,543700.0
2008-04-24,44.23,57.07,57.4,54.46,54.8,1273200.0
2008-04-25,46.35,59.8,59.84,57.05,57.39,1183700.0
2008-04-28,46.77,60.35,60.64,59.29,59.71,1115800.0
2008-04-29,46.77,60.35,60.7,59.94,60.4,645600.0
2008-04-30,45.97,59.31,60.37,58.97,60.35,959500.0
2008-05-01,45.86,59.17,59.66,58.35,59.31,852400.0
2008-05-02,45.72,58.99,59.98,58.75,59.3,430300.0
2008-05-05,46.39,59.86,59.99,58.92,59.07,633500.0
2008-05-06,46.7,60.26,60.59,59.45,59.91,524600.0
2008-05-07,46.26,59.69,60.6,59.61,60.5,499000.0
2008-05-08,46.28,59.71,60.01,58.88,59.67,496300.0
2008-05-09,45.31,58.46,58.91,57.96,58.91,505800.0
2008-05-12,45.94,59.28,59.37,58.05,58.51,439300.0
2008-05-13,46.9,60.51,60.51,59.16,59.65,496500.0
2008-05-14,47.54,61.34,62.21,60.51,60.65,533400.0
2008-05-15,47.55,61.05,61.87,60.92,61.48,651800.0
2008-05-16,47.34,60.78,61.2,60.22,60.93,398200.0
2008-05-19,47.44,60.91,61.85,60.51,60.91,376300.0
2008-05-20,47.09,60.46,60.69,60.16,60.42,302000.0
2008-05-21,46.49,59.69,60.97,59.53,60.79,569100.0
2008-05-22,46.91,60.23,60.58,59.16,59.4,535900.0
2008-05-23,46.4,59.57,60.08,59.03,59.74,332600.0
2008-05-27,46.79,60.08,60.18,59.21,59.45,331400.0
2008-05-28,47.56,61.06,61.09,60.2,60.2,295000.0
2008-05-29,47.71,61.26,61.49,60.55,61.14,300500.0
2008-05-30,48.23,61.92,61.95,61.09,61.5,424000.0
2008-06-02,47.59,61.11,62.08,60.57,61.44,386800.0
2008-06-03,47.31,60.74,61.9,60.34,61.49,566400.0
2008-06-04,47.06,60.42,60.81,59.58,60.69,514600.0
2008-06-05,48.17,61.85,61.91,59.97,61.26,494900.0
2008-06-06,47.03,60.38,61.92,60.33,60.94,470900.0
