,Adj Close,Close,High,Low,Open,Volume
2007-01-03,26.49,26.49,27.13,26.25,26.7,1480500.0
2007-01-04,26.9,26.9,26.96,26.08,26.46,1298800.0
2007-01-05,26.54,26.54,26.78,26.16,26.78,1301400.0
2007-01-08,26.79,26.79,26.95,26.39,26.39,1086700.0
2007-01-09,26.63,26.63,26.9,26.17,26.75,1354500.0
2007-01-10,26.91,26.91,26.93,26.18,26.43,841400.0
2007-01-11,26.95,26.95,27.03,26.86,26.91,1118200.0
2007-01-12,26.97,26.97,27.03,26.73,27.0,854800.0
2007-01-16,27.14,27.14,27.37,26.81,26.95,1418100.0
2007-01-17,27.45,27.45,27.49,27.05,27.14,848000.0
2007-01-18,26.55,26.55,27.37,26.44,27.36,887400.0
2007-01-19,26.39,26.39,26.58,26.05,26.49,866800.0
2007-01-22,26.26,26.26,26.6,26.09,26.46,1092000.0
2007-01-23,26.14,26.14,26.3,26.01,26.19,1281100.0
2007-01-24,26.75,26.75,26.85,26.04,26.04,787600.0
2007-01-25,26.51,26.51,26.86,26.39,26.86,923700.0
2007-01-26,26.34,26.34,26.64,26.11,26.47,608300.0
2007-01-29,26.19,26.19,26.48,26.08,26.38,712600.0
2007-01-30,27.0,27.0,27.1,26.29,26.37,1438000.0
2007-01-31,26.6,26.6,26.81,26.05,26.8,1634000.0
2007-02-01,26.57,26.57,26.9,26.19,26.73,1444000.0
2007-02-02,26.39,26.39,26.7,26.16,26.57,1301100.0
2007-02-05,26.41,26.41,26.49,26.16,26.23,716200.0
2007-02-06,26.26,26.26,26.62,26.05,26.62,770700.0
2007-02-07,26.74,26.74,26.84,26.22,26.26,1202600.0
2007-02-08,26.72,26.72,26.76,26.57,26.61,1302000.0
2007-02-09,26.09,26.09,26.8,25.94,26.74,1192100.0
2007-02-12,25.84,25.84,26.1,25.79,26.07,749700.0
2007-02-13,25.86,25.86,25.98,25.65,25.94,948400.0
2007-02-14,26.07,26.07,26.19,25.75,25.88,756100.0
2007-02-15,26.32,26.32,26.45,25.94,26.11,1058100.0
2007-02-16,26.16,26.16,26.34,26.02,26.34,564800.0
2007-02-20,26.66,26.66,26.71,25.86,26.12,1289200.0
2007-02-21,26.82,26.82,26.9,26.39,26.69,1386900.0
2007-02-22,26.13,26.13,26.89,25.39,25.76,2709300.0
2007-02-23,26.37,26.37,26.49,25.98,26.11,1146100.0
2007-02-26,26.29,26.29,26.44,26.01,26.37,1346800.0
2007-02-27,25.58,25.58,26.14,25.24,25.88,1835800.0
2007-02-28,25.58,25.58,26.01,25.25,25.57,1480300.0
2007-03-01,24.88,24.88,25.06,24.02,24.6,1616100.0
2007-03-02,24.6,24.6,25.08,24.56,24.78,977600.0
2007-03-05,24.33,24.33,24.74,24.19,24.28,1300800.0
2007-03-06,25.45,25.45,25.65,24.36,24.43,1585800.0
2007-03-07,25.35,25.35,25.61,25.15,25.39,1575600.0
2007-03-08,25.15,25.15,25.59,25.07,25.59,642400.0
2007-03-09,25.68,25.68,25.88,25.42,25.42,1203600.0
2007-03-12,26.16,26.16,26.31,25.9,25.94,1362900.0
2007-03-13,26.03,26.03,26.41,25.91,25.95,1816100.0
2007-03-14,26.17,26.17,26.25,25.94,26.02,1769900.0
2007-03-15,26.49,26.49,26.57,26.17,26.2,1474000.0
2007-03-16,26.51,26.51,26.65,26.32,26.39,1113600.0
2007-03-19,26.36,26.36,26.65,26.32,26.52,1269700.0
2007-03-20,26.75,26.75,26.75,26.14,26.32,1146300.0
2007-03-21,26.94,26.94,27.0,26.53,26.65,725300.0
2007-03-22,27.01,27.01,27.01,26.8,26.89,1003300.0
2007-03-23,26.65,26.65,26.97,26.54,26.87,876300.0
2007-03-26,26.49,26.49,26.81,26.49,26.54,977600.0
2007-03-27,26.49,26.49,26.77,26.16,26.58,976800.0
