,Adj Close,Close,High,Low,Open,Volume
2007-01-03,42.84,42.84,42.84,42.84,42.84,0.0
2007-01-04,43.28,43.28,43.28,43.28,43.28,0.0
2007-01-05,43.98,43.98,43.98,43.98,43.98,0.0
2007-01-08,43.24,43.24,43.24,43.24,43.24,0.0
2007-01-09,42.5,42.5,42.5,42.5,42.5,0.0
2007-01-10,43.31,43.31,43.31,43.31,43.31,0.0
2007-01-11,43.69,43.69,43.69,43.69,43.69,0.0
2007-01-12,44.76,44.76,44.76,44.76,44.76,0.0
2007-01-16,44.88,44.88,44.88,44.88,44.88,0.0
2007-01-17,44.76,44.76,44.76,44.76,44.76,0.0
2007-01-18,44.39,44.39,44.39,44.39,44.39,0.0
2007-01-19,44.17,44.17,44.17,44.17,44.17,0.0
2007-01-22,44.37,44.37,44.37,44.37,44.37,0.0
2007-01-23,44.22,44.22,44.22,44.22,44.22,0.0
2007-01-24,43.88,43.88,43.88,43.88,43.88,0.0
2007-01-25,44.48,44.48,44.48,44.48,44.48,0.0
2007-01-26,45.13,45.13,45.13,45.13,45.13,0.0
2007-01-29,45.29,45.29,45.29,45.29,45.29,0.0
2007-01-30,45.58,45.58,45.58,45.58,45.58,0.0
2007-01-31,45.96,45.96,45.96,45.96,45.96,0.0
2007-02-01,45.76,45.76,45.76,45.76,45.76,0.0
2007-02-02,46.42,46.42,46.42,46.42,46.42,0.0
2007-02-05,47.58,47.58,47.58,46.81,46.81,20.0
2007-02-06,47.7,47.7,47.7,47.7,47.7,25.0
2007-02-07,47.18,47.18,47.18,47.18,47.18,0.0
2007-02-08,48.28,48.28,48.28,48.28,48.28,0.0
2007-02-09,48.55,48.55,48.55,48.55,48.55,200.0
2007-02-12,47.23,47.23,47.23,47.23,47.23,0.0
2007-02-13,46.68,46.68,46.68,46.68,46.68,0.0
2007-02-14,47.01,47.01,47.01,47.01,47.01,0.0
2007-02-15,46.73,46.73,46.73,46.73,46.73,0.0
2007-02-16,46.38,46.38,46.38,46.38,46.38,0.0
2007-02-20,46.32,46.32,46.32,46.32,46.32,0.0
2007-02-21,46.76,46.76,46.76,46.76,46.76,0.0
2007-02-22,46.87,46.87,46.87,46.87,46.87,0.0
2007-02-23,46.54,46.54,46.54,46.54,46.54,0.0
2007-02-26,45.69,45.69,45.69,45.69,45.69,0.0
2007-02-27,45.61,45.61,45.61,45.61,45.61,0.0
2007-02-28,43.65,43.65,43.65,43.65,43.65,0.0
2007-03-01,43.7,43.7,43.7,43.7,43.7,0.0
