,Adj Close,Close,High,Low,Open,Volume
2007-01-03,50.18,67.09,68.91,66.52,68.06,2077900.0
2007-01-04,49.95,66.78,67.89,66.64,67.14,1990600.0
2007-01-05,49.97,66.81,67.06,66.25,66.5,1319600.0
2007-01-08,49.81,66.6,66.89,66.16,66.61,1226600.0
2007-01-09,50.02,66.88,67.22,66.43,66.73,1038500.0
2007-01-10,50.69,67.77,67.99,66.41,66.89,1078500.0
2007-01-11,51.77,69.22,69.25,67.89,67.99,1374500.0
2007-01-12,50.78,67.89,69.1,67.75,68.84,1074600.0
2007-01-16,51.44,68.77,69.15,68.05,68.09,1392600.0
2007-01-17,51.41,68.74,69.15,68.45,68.91,980300.0
2007-01-18,51.94,69.44,69.98,69.08,69.23,1671400.0
2007-01-19,51.7,69.12,69.45,68.56,69.45,1119000.0
2007-01-22,51.1,68.32,68.92,67.93,68.86,1401400.0
2007-01-23,50.69,67.78,68.3,67.42,68.12,1819100.0
2007-01-24,51.16,68.4,68.84,67.8,67.8,1050600.0
2007-01-25,49.63,66.36,68.38,65.01,68.38,2666700.0
2007-01-26,49.98,66.83,68.77,66.54,68.0,2709100.0
2007-01-29,49.89,66.71,67.35,66.69,67.08,1712100.0
2007-01-30,49.51,66.19,67.07,65.93,66.89,2219400.0
2007-01-31,50.17,67.08,67.27,66.08,66.31,3615200.0
2007-02-01,50.78,67.89,68.0,66.97,67.17,1433200.0
2007-02-02,50.34,67.3,68.27,67.14,67.67,1852100.0
2007-02-05,50.66,67.74,68.04,66.99,67.39,1118600.0
2007-02-06,50.99,68.17,68.69,67.6,67.68,1304900.0
2007-02-07,51.41,68.74,68.79,67.92,68.04,1092700.0
2007-02-08,52.16,69.74,69.86,68.65,68.74,1788600.0
2007-02-09,51.14,68.37,69.83,68.28,69.62,1189900.0
2007-02-12,50.26,67.2,68.81,67.2,68.38,1162900.0
2007-02-13,50.55,67.59,67.59,66.99,67.2,1716500.0
2007-02-14,50.91,68.07,68.07,67.31,67.58,1407100.0
2007-02-15,50.63,67.69,68.26,67.57,68.26,962100.0
2007-02-16,51.29,68.58,68.59,67.55,67.66,1342700.0
2007-02-20,51.32,68.61,68.63,67.93,68.16,1563500.0
2007-02-21,51.35,68.65,68.67,67.79,68.36,1145600.0
2007-02-22,50.9,67.85,68.15,67.31,68.14,2218400.0
