,Adj Close,Close,High,Low,Open,Volume
2007-01-03,38.77,56.77,57.12,55.94,55.95,1430400.0
2007-01-04,38.43,56.27,57.06,56.24,56.61,810600.0
2007-01-05,37.69,55.19,56.27,55.08,56.27,1222300.0
2007-01-08,37.56,54.99,55.3,54.73,54.98,2000600.0
2007-01-09,37.99,55.63,55.75,54.98,55.2,1290100.0
2007-01-10,37.99,55.63,55.79,55.3,55.33,954700.0
2007-01-11,38.1,55.79,56.06,55.63,55.73,666200.0
2007-01-12,37.89,55.48,55.9,55.31,55.89,732200.0
2007-01-16,38.4,56.23,56.49,55.51,55.65,855700.0
2007-01-17,38.18,55.9,56.26,55.76,56.24,1261300.0
2007-01-18,38.06,55.73,56.22,55.65,56.12,564900.0
2007-01-19,38.21,55.95,56.03,55.56,55.93,862800.0
2007-01-22,38.51,56.38,56.42,55.58,55.83,1641000.0
2007-01-23,39.17,57.35,57.4,56.3,56.5,1371400.0
2007-01-24,39.61,58.0,58.01,57.26,57.4,818400.0
2007-01-25,39.17,57.35,58.0,57.35,57.9,707000.0
2007-01-26,39.13,57.3,57.34,56.63,57.34,1338300.0
2007-01-29,38.83,56.85,57.19,56.69,57.19,975200.0
2007-01-30,38.95,57.03,57.11,56.78,56.86,756500.0
2007-01-31,39.19,57.38,57.45,56.53,56.85,669700.0
2007-02-01,39.41,57.71,57.87,57.25,57.38,871500.0
2007-02-02,39.47,57.79,57.93,57.64,57.71,465400.0
2007-02-05,39.75,58.21,58.37,57.6,57.71,587800.0
2007-02-06,40.49,59.29,59.48,58.29,58.48,1121200.0
2007-02-07,41.07,60.13,60.51,59.32,59.35,1296300.0
2007-02-08,41.41,60.64,60.87,60.01,60.12,904100.0
2007-02-09,41.23,60.37,61.0,60.07,60.66,610000.0
2007-02-12,41.15,60.25,60.74,60.1,60.29,502600.0
2007-02-13,41.46,60.7,60.74,60.31,60.45,739500.0
2007-02-14,41.59,60.9,61.24,60.7,60.75,862800.0
2007-02-15,41.28,60.45,60.93,60.4,60.81,883800.0
2007-02-16,41.28,60.45,60.58,60.08,60.2,656600.0
2007-02-20,41.4,60.62,60.63,60.16,60.45,897600.0
2007-02-21,41.22,60.36,60.47,59.96,60.15,1344800.0
2007-02-22,41.28,60.45,60.9,59.52,60.61,962500.0
2007-02-23,41.39,60.6,61.45,60.51,61.45,1332400.0
2007-02-26,42.04,61.55,61.96,60.8,60.81,2387000.0
2007-02-27,41.25,60.4,62.53,60.3,61.44,3174000.0
2007-02-28,41.01,60.05,60.83,59.76,60.82,1675400.0
2007-03-01,41.08,60.15,60.56,59.19,59.75,1457000.0
2007-03-02,40.52,59.33,60.1,59.31,59.82,1073000.0
2007-03-05,39.71,58.14,59.13,58.14,59.13,1325900.0
2007-03-06,40.56,59.39,59.5,57.85,58.22,1872500.0
2007-03-07,40.69,59.58,60.03,59.29,59.39,1275000.0
2007-03-08,40.9,59.88,60.2,59.64,60.11,1375800.0
2007-03-09,40.87,59.85,60.25,59.6,60.12,703000.0
2007-03-12,41.41,60.64,60.69,59.7,59.85,1435000.0
2007-03-13,40.71,59.61,60.91,59.61,60.39,1442200.0
2007-03-14,41.07,60.14,60.23,59.15,59.86,1278300.0
2007-03-15,41.36,60.56,60.69,59.7,60.15,1321000.0
2007-03-16,41.09,60.16,60.83,60.06,60.56,1414600.0
2007-03-19,41.55,60.84,60.97,60.41,60.58,845300.0
2007-03-20,41.95,61.11,61.21,60.16,60.58,1174900.0
2007-03-21,42.42,61.8,61.96,60.85,61.11,1197600.0
2007-03-22,42.46,61.86,63.03,61.55,62.65,987800.0
2007-03-23,42.55,61.99,62.27,61.51,61.61,1230400.0
2007-03-26,42.7,62.2,62.26,61.62,61.94,887700.0
2007-03-27,42.74,62.26,62.45,61.7,61.97,1016500.0
2007-03-28,42.5,61.91,62.57,61.89,62.26,1261500.0
2007-03-29,42.17,61.43,62.39,60.69,62.34,2488600.0
2007-03-30,41.88,61.01,61.56,60.1,61.43,1844400.0
2007-04-02,42.52,61.94,61.95,60.13,60.15,1311700.0
2007-04-03,42.44,61.82,62.14,61.61,62.14,1322600.0
2007-04-04,42.28,61.59,62.14,61.28,61.75,910800.0
2007-04-05,42.15,61.4,61.75,61.36,61.59,1296200.0
2007-04-09,42.73,62.25,62.4,61.43,61.78,1610100.0
2007-04-10,43.18,62.91,62.98,62.25,62.46,1795300.0
2007-04-11,43.69,63.65,63.75,62.78,62.85,2126400.0
2007-04-12,44.15,64.32,64.4,63.42,63.71,2625700.0
2007-04-13,43.83,63.85,64.36,63.58,64.33,904300.0
2007-04-16,44.02,64.12,64.76,63.57,64.7,1041900.0
2007-04-17,44.24,64.45,64.57,63.94,64.25,938500.0
2007-04-18,43.8,63.8,65.26,63.51,65.01,1448200.0
2007-04-19,43.67,63.62,64.02,63.52,63.85,1406800.0
2007-04-20,44.11,64.26,64.53,63.62,64.1,1326200.0
2007-04-23,44.5,64.82,64.88,63.79,64.11,1000200.0
2007-04-24,44.97,65.51,65.68,64.54,64.72,2175700.0
2007-04-25,45.51,66.29,66.38,65.5,65.5,1491500.0
2007-04-26,44.49,64.81,66.19,64.81,65.29,1553700.0
2007-04-27,44.02,64.13,64.5,63.79,64.47,1426400.0
2007-04-30,43.58,63.48,64.4,63.4,64.23,1161200.0
2007-05-01,43.75,63.74,64.03,63.19,63.63,1272300.0
2007-05-02,43.41,63.24,63.48,62.58,62.75,1915800.0
2007-05-03,43.6,63.51,64.02,62.93,63.68,1308000.0
2007-05-04,43.27,63.03,63.52,62.81,63.52,1126400.0
2007-05-07,43.06,62.73,63.53,62.7,63.26,1266900.0
2007-05-08,42.87,62.45,62.66,62.03,62.59,1266500.0
2007-05-09,42.77,62.31,62.52,62.09,62.4,1075600.0
2007-05-10,42.49,61.9,62.36,61.56,62.11,1348500.0
2007-05-11,42.65,62.13,62.16,61.76,62.0,1103500.0
2007-05-14,42.57,62.02,62.39,61.86,62.02,959400.0
2007-05-15,42.9,62.5,63.53,61.99,62.2,1201300.0
2007-05-16,43.35,63.15,63.16,62.62,62.83,1051700.0
2007-05-17,43.41,63.24,63.54,62.89,63.12,1576600.0
2007-05-18,43.97,64.05,64.05,63.42,63.6,1213800.0
2007-05-21,44.15,64.32,64.55,63.98,64.0,1609800.0
2007-05-22,44.28,64.5,65.03,64.07,64.4,1867700.0
