,Adj Close,Close,High,Low,Open,Volume
2007-01-03,62.84,84.7,85.54,83.95,84.77,1129400.0
2007-01-04,62.28,83.95,84.39,83.58,84.2,1520800.0
2007-01-05,61.47,82.85,83.64,82.39,83.45,1564300.0
2007-01-08,61.15,82.42,82.85,82.05,82.85,1662300.0
2007-01-09,61.17,82.45,83.02,82.06,82.62,1566900.0
2007-01-10,61.49,82.88,83.04,82.22,82.46,1257800.0
2007-01-11,61.36,82.71,83.45,82.58,83.04,951900.0
2007-01-12,61.47,82.86,83.04,82.46,82.46,1201800.0
2007-01-16,62.32,84.0,84.35,83.16,83.26,1800600.0
2007-01-17,62.18,83.82,84.11,83.15,83.85,1276400.0
2007-01-18,62.08,83.68,84.42,83.68,83.9,1343200.0
2007-01-19,61.26,82.58,83.72,82.08,83.68,1886600.0
2007-01-22,61.38,82.74,82.89,81.93,82.59,1135600.0
2007-01-23,61.25,82.56,82.81,82.05,82.75,1015400.0
2007-01-24,61.38,82.73,83.0,82.38,82.57,866800.0
2007-01-25,60.74,81.87,83.0,81.8,82.8,1559600.0
2007-01-26,60.76,81.9,82.15,81.65,81.93,1153400.0
2007-01-29,60.79,81.94,82.08,81.33,81.95,982500.0
2007-01-30,61.35,82.7,82.71,82.08,82.09,1227500.0
2007-01-31,61.65,83.1,83.39,82.11,82.45,1035600.0
2007-02-01,62.23,83.88,84.35,83.09,83.29,1726400.0
2007-02-02,62.52,84.27,84.47,83.73,83.89,939700.0
2007-02-05,62.47,84.21,84.45,83.65,84.05,674900.0
2007-02-06,62.52,84.27,84.63,84.15,84.25,1099900.0
2007-02-07,62.9,84.78,84.94,84.25,84.25,748800.0
2007-02-08,62.69,84.5,84.79,84.18,84.79,736700.0
2007-02-09,62.53,84.29,84.9,84.03,84.69,1001500.0
2007-02-12,62.73,84.56,84.75,83.94,84.04,991600.0
2007-02-13,63.1,85.06,85.16,84.55,84.6,1207000.0
2007-02-14,63.65,85.79,85.86,84.27,85.03,1089700.0
2007-02-15,63.37,85.42,86.3,85.2,85.79,1370700.0
2007-02-16,64.22,86.56,87.43,85.65,85.66,2040700.0
2007-02-20,64.67,87.17,87.33,85.77,85.77,948100.0
2007-02-21,64.49,86.93,86.94,86.34,86.6,1200400.0
2007-02-22,64.49,86.93,87.09,86.34,86.93,1320200.0
2007-02-23,64.54,86.99,87.14,86.01,86.98,1255600.0
2007-02-26,64.36,86.75,87.21,86.22,87.0,2345600.0
2007-02-27,62.79,83.92,86.02,83.46,86.01,2014300.0
2007-02-28,63.08,84.31,85.85,83.32,83.91,2026100.0
2007-03-01,63.4,84.74,85.23,82.04,83.0,3296900.0
2007-03-02,63.85,85.34,86.48,84.66,84.75,2796000.0
2007-03-05,62.65,83.74,84.87,83.66,84.55,2753100.0
2007-03-06,63.96,85.49,85.73,84.0,84.1,2514800.0
2007-03-07,62.91,84.09,85.32,84.09,85.32,1585700.0
2007-03-08,63.37,84.7,85.6,84.56,84.8,1256000.0
2007-03-09,63.44,84.79,85.32,84.61,85.2,1077300.0
2007-03-12,63.56,84.95,85.07,84.38,84.65,1282000.0
2007-03-13,61.49,82.19,84.55,82.19,84.55,2040800.0
2007-03-14,61.87,82.69,82.82,80.76,82.15,1754200.0
2007-03-15,62.61,83.68,83.92,82.45,82.75,1607800.0
2007-03-16,62.53,83.58,84.58,83.42,83.66,2485000.0
2007-03-19,63.39,84.72,84.94,83.99,84.25,1523700.0
2007-03-20,63.86,85.35,85.58,84.45,84.72,1434600.0
2007-03-21,64.54,86.26,86.7,84.13,85.1,3119100.0
2007-03-22,63.79,85.26,86.26,85.01,86.26,1877900.0
2007-03-23,63.63,85.05,85.38,84.41,85.12,871200.0
2007-03-26,63.53,84.91,85.22,84.0,85.22,923800.0
2007-03-27,63.04,84.26,84.92,84.02,84.92,989100.0
2007-03-28,62.69,83.79,84.44,83.1,83.98,2416600.0
2007-03-29,62.8,83.94,84.88,83.35,84.6,1508100.0
2007-03-30,62.13,83.04,83.91,82.36,83.9,1759900.0
2007-04-02,60.63,81.03,82.06,80.53,82.05,3444900.0
2007-04-03,61.0,81.53,82.11,81.19,81.26,2294100.0
2007-04-04,61.07,81.62,81.86,81.16,81.58,1519800.0
2007-04-05,60.77,81.22,81.62,80.78,81.62,1523300.0
2007-04-09,59.76,79.88,81.49,79.83,81.42,3209400.0
2007-04-10,59.74,79.85,80.15,79.6,79.75,2629000.0
2007-04-11,59.04,78.91,79.79,78.71,79.79,3134800.0
2007-04-12,58.94,78.78,79.1,78.16,78.65,2361800.0
2007-04-13,59.45,79.46,79.68,78.42,79.68,2513800.0
2007-04-16,60.88,81.37,82.14,79.79,79.8,3825700.0
2007-04-17,62.4,83.4,83.97,79.92,81.0,6668800.0
2007-04-18,62.94,84.13,84.27,82.76,83.25,3936600.0
2007-04-19,63.25,84.54,84.69,83.37,83.65,4251000.0
2007-04-20,63.07,84.3,85.0,83.97,85.0,3405400.0
2007-04-23,62.48,83.51,84.87,83.35,83.38,3160100.0
2007-04-24,62.07,82.96,83.45,82.93,83.24,1922100.0
2007-04-25,63.0,84.2,84.29,83.17,83.35,4791200.0
2007-04-26,63.41,84.75,85.1,83.82,84.18,2009200.0
2007-04-27,63.42,84.76,85.01,84.21,84.3,1156900.0
2007-04-30,63.16,84.42,85.2,84.42,85.05,1934700.0
2007-05-01,63.04,84.26,84.75,83.83,84.48,1754400.0
2007-05-02,63.15,84.41,84.56,84.11,84.2,1939600.0
2007-05-03,63.89,85.39,85.4,84.38,84.56,1353500.0
2007-05-04,64.12,85.7,86.17,85.32,85.69,1244500.0
2007-05-07,64.49,86.19,86.23,85.66,85.98,1388200.0
2007-05-08,64.45,86.14,86.35,85.84,86.0,1510900.0
2007-05-09,65.94,88.14,88.46,86.15,86.15,4390600.0
2007-05-10,65.23,87.19,87.78,86.68,87.5,3015500.0
2007-05-11,66.3,88.61,88.62,87.49,87.49,3181800.0
2007-05-14,65.74,87.86,88.5,87.5,88.5,1836000.0
2007-05-15,64.91,86.76,87.91,86.6,87.91,2885200.0
2007-05-16,66.15,88.41,88.41,87.29,87.4,2469100.0
2007-05-17,66.76,89.23,89.67,88.5,88.51,3769000.0
2007-05-18,66.96,89.5,89.88,89.29,89.45,2821200.0
2007-05-21,67.07,89.65,94.18,88.5,90.49,3676200.0
2007-05-22,67.79,90.61,91.29,88.95,89.15,4580500.0
2007-05-23,66.46,88.83,90.8,88.72,90.61,3170400.0
2007-05-24,66.19,88.47,89.5,88.19,88.65,8133500.0
2007-05-25,66.57,88.98,89.6,88.4,89.25,4198500.0
2007-05-29,66.97,89.51,89.65,88.42,88.85,3146100.0
2007-05-30,67.12,88.98,89.42,87.98,88.4,2298000.0
2007-05-31,67.35,89.29,89.53,88.53,89.0,2484600.0
2007-06-01,67.57,89.58,90.47,89.24,89.29,1899700.0
2007-06-04,67.44,89.4,89.8,88.36,88.74,2477100.0
2007-06-05,66.84,88.61,89.35,88.33,89.35,1305400.0
2007-06-06,66.51,88.17,88.73,88.17,88.41,10206700.0
2007-06-07,65.78,87.2,88.54,87.2,87.95,2171100.0
2007-06-08,66.53,88.2,88.25,87.1,87.1,1994300.0
2007-06-11,67.1,88.95,89.35,88.18,88.37,1786800.0
2007-06-12,66.1,87.63,88.93,87.63,88.84,1404800.0
2007-06-13,67.39,89.34,89.34,87.7,87.98,1950500.0
2007-06-14,67.3,89.22,89.79,89.1,89.74,1249600.0
2007-06-15,68.14,90.33,90.34,89.55,89.95,2122300.0
2007-06-18,68.0,90.14,90.54,89.74,90.31,1424800.0
2007-06-19,68.3,90.55,90.73,90.14,90.14,1600200.0
2007-06-20,67.13,88.99,90.9,88.99,90.9,1497400.0
2007-06-21,67.07,88.91,89.17,87.8,88.75,1368400.0
2007-06-22,65.92,87.39,88.49,87.16,88.35,2030700.0
2007-06-25,65.54,86.89,88.36,86.37,87.64,1600400.0
2007-06-26,65.18,86.41,87.61,85.99,87.5,3214900.0
