,Adj Close,Close,High,Low,Open,Volume
2007-01-03,26.84,28.4,29.17,28.21,28.8,2501000.0
2007-01-04,23.77,25.15,26.6,25.1,26.5,9149800.0
2007-01-05,23.07,24.41,24.92,24.07,24.76,7236300.0
2007-01-08,23.36,24.71,24.9,24.6,24.84,3062200.0
2007-01-09,23.3,24.65,24.95,24.6,24.68,1764400.0
2007-01-10,23.56,24.92,25.05,24.56,24.67,2598400.0
2007-01-11,23.58,24.95,25.18,24.88,25.03,1935200.0
2007-01-12,23.52,24.88,24.95,24.6,24.95,3166400.0
2007-01-16,23.39,24.74,24.99,24.64,24.99,1854700.0
2007-01-17,23.44,24.8,24.97,24.56,24.65,1722700.0
2007-01-18,23.58,24.95,25.06,24.8,24.97,1076700.0
2007-01-19,23.58,24.95,25.09,24.7,25.0,1385000.0
2007-01-22,23.4,24.76,25.03,24.72,24.87,1138000.0
2007-01-23,23.63,25.0,25.14,24.75,24.89,1402400.0
2007-01-24,23.91,25.29,25.34,24.95,25.06,1279300.0
2007-01-25,23.75,25.13,25.31,25.04,25.15,1582700.0
2007-01-26,23.75,25.13,25.26,24.87,24.93,1497700.0
2007-01-29,23.5,24.86,25.25,24.76,25.13,1244100.0
2007-01-30,23.53,24.89,25.07,24.75,24.87,906900.0
2007-01-31,23.39,24.74,24.98,24.68,24.95,1245300.0
2007-02-01,23.23,24.58,24.89,24.35,24.86,2484800.0
2007-02-02,23.32,24.67,24.81,24.55,24.58,1605500.0
2007-02-05,23.17,24.51,24.7,24.4,24.67,1121900.0
2007-02-06,23.03,24.36,24.6,24.26,24.5,1373800.0
2007-02-07,23.02,24.35,24.44,24.23,24.44,1507000.0
2007-02-08,22.95,24.28,24.37,24.2,24.2,1796400.0
2007-02-09,22.81,24.13,24.41,24.05,24.28,1707600.0
2007-02-12,22.79,24.11,24.3,24.09,24.2,1331000.0
2007-02-13,22.75,24.07,24.25,23.95,24.01,2153100.0
2007-02-14,23.16,24.5,24.68,24.2,24.21,1719900.0
2007-02-15,23.16,24.5,24.78,24.46,24.64,3088600.0
2007-02-16,22.7,24.01,24.45,23.81,24.28,4966400.0
2007-02-20,22.7,24.01,24.2,23.8,24.01,3448100.0
2007-02-21,22.73,24.05,24.48,23.94,24.37,2078000.0
2007-02-22,22.58,23.89,24.17,23.75,24.1,3291900.0
2007-02-23,22.64,23.95,24.02,23.76,23.89,1910900.0
2007-02-26,22.52,23.82,23.93,23.7,23.87,1453400.0
2007-02-27,21.97,23.24,23.84,23.24,23.66,2239600.0
2007-02-28,22.18,23.46,23.58,23.01,23.01,2256800.0
2007-03-01,18.96,20.06,20.85,18.92,20.5,13497300.0
2007-03-02,18.42,19.49,20.04,19.44,20.0,6970400.0
2007-03-05,18.08,19.13,19.48,18.97,19.1,4131900.0
2007-03-06,18.2,19.25,19.49,19.01,19.46,3570900.0
2007-03-07,17.98,19.02,19.25,19.0,19.25,2593300.0
2007-03-08,17.92,18.96,19.29,18.83,19.12,3428100.0
