,Adj Close,Close,High,Low,Open,Volume
2007-01-03,,,,,,
2007-01-04,,,,,,
2007-01-05,,,,,,
2007-01-08,,,,,,
2007-01-09,,,,,,
2007-01-10,,,,,,
2007-01-11,,,,,,
2007-01-12,,,,,,
2007-01-16,,,,,,
2007-01-17,,,,,,
2007-01-18,,,,,,
2007-01-19,,,,,,
2007-01-22,,,,,,
2007-01-23,,,,,,
2007-01-24,,,,,,
2007-01-25,,,,,,
2007-01-26,,,,,,
2007-01-29,,,,,,
2007-01-30,,,,,,
2007-01-31,,,,,,
2007-02-01,,,,,,
2007-02-02,,,,,,
2007-02-05,,,,,,
2007-02-06,,,,,,
2007-02-07,,,,,,
2007-02-08,,,,,,
2007-02-09,,,,,,
2007-02-12,,,,,,
2007-02-13,,,,,,
2007-02-14,,,,,,
2007-02-15,,,,,,
2007-02-16,,,,,,
2007-02-20,,,,,,
2007-02-21,,,,,,
2007-02-22,,,,,,
2007-02-23,,,,,,
2007-02-26,,,,,,
2007-02-27,,,,,,
2007-02-28,,,,,,
2007-03-01,,,,,,
2007-03-02,,,,,,
2007-03-05,,,,,,
2007-03-06,,,,,,
2007-03-07,,,,,,
2007-03-08,,,,,,
2007-03-09,,,,,,
2007-03-12,,,,,,
2007-03-13,,,,,,
2007-03-14,,,,,,
2007-03-15,,,,,,
2007-03-16,,,,,,
2007-03-19,,,,,,
2007-03-20,,,,,,
2007-03-21,,,,,,
2007-03-22,,,,,,
2007-03-23,,,,,,
2007-03-26,,,,,,
2007-03-27,,,,,,
2007-03-28,,,,,,
2007-03-29,,,,,,
2007-03-30,,,,,,
2007-04-02,,,,,,
2007-04-03,,,,,,
2007-04-04,,,,,,
2007-04-05,,,,,,
2007-04-09,,,,,,
2007-04-10,,,,,,
2007-04-11,,,,,,
2007-04-12,,,,,,
2007-04-13,,,,,,
2007-04-16,,,,,,
2007-04-17,,,,,,
2007-04-18,,,,,,
2007-04-19,,,,,,
2007-04-20,,,,,,
2007-04-23,,,,,,
2007-04-24,,,,,,
2007-04-25,,,,,,
2007-04-26,,,,,,
2007-04-27,,,,,,
2007-04-30,,,,,,
2007-05-01,,,,,,
2007-05-02,,,,,,
2007-05-03,,,,,,
2007-05-04,,,,,,
2007-05-07,,,,,,
2007-05-08,,,,,,
2007-05-09,,,,,,
2007-05-10,,,,,,
2007-05-11,,,,,,
2007-05-14,,,,,,
2007-05-15,,,,,,
2007-05-16,,,,,,
2007-05-17,,,,,,
2007-05-18,,,,,,
2007-05-21,,,,,,
2007-05-22,,,,,,
2007-05-23,,,,,,
2007-05-24,,,,,,
2007-05-25,,,,,,
2007-05-29,,,,,,
2007-05-30,,,,,,
2007-05-31,,,,,,
2007-06-01,,,,,,
2007-06-04,,,,,,
2007-06-05,,,,,,
2007-06-06,,,,,,
2007-06-07,,,,,,
2007-06-08,,,,,,
2007-06-11,,,,,,
2007-06-12,,,,,,
2007-06-13,,,,,,
2007-06-14,,,,,,
2007-06-15,,,,,,
2007-06-18,,,,,,
2007-06-19,,,,,,
2007-06-20,,,,,,
2007-06-21,,,,,,
2007-06-22,,,,,,
2007-06-25,,,,,,
2007-06-26,,,,,,
2007-06-27,,,,,,
2007-06-28,,,,,,
2007-06-29,,,,,,
2007-07-02,,,,,,
2007-07-03,,,,,,
2007-07-05,,,,,,
2007-07-06,,,,,,
2007-07-09,,,,,,
2007-07-10,,,,,,
2007-07-11,,,,,,
2007-07-12,,,,,,
2007-07-13,,,,,,
2007-07-16,,,,,,
2007-07-17,,,,,,
2007-07-18,,,,,,
2007-07-19,,,,,,
2007-07-20,,,,,,
2007-07-23,,,,,,
2007-07-24,,,,,,
2007-07-25,,,,,,
2007-07-26,,,,,,
2007-07-27,,,,,,
2007-07-30,,,,,,
2007-07-31,,,,,,
2007-08-01,,,,,,
2007-08-02,,,,,,
2007-08-03,,,,,,
2007-08-06,,,,,,
2007-08-07,,,,,,
2007-08-08,,,,,,
2007-08-09,,,,,,
2007-08-10,,,,,,
2007-08-13,,,,,,
2007-08-14,,,,,,
2007-08-15,,,,,,
2007-08-16,,,,,,
2007-08-17,,,,,,
2007-08-20,,,,,,
2007-08-21,,,,,,
2007-08-22,,,,,,
2007-08-23,,,,,,
2007-08-24,,,,,,
2007-08-27,,,,,,
2007-08-28,,,,,,
2007-08-29,,,,,,
2007-08-30,,,,,,
2007-08-31,,,,,,
2007-09-04,,,,,,
2007-09-05,,,,,,
2007-09-06,,,,,,
2007-09-07,,,,,,
2007-09-10,,,,,,
2007-09-11,,,,,,
2007-09-12,,,,,,
2007-09-13,,,,,,
2007-09-14,,,,,,
2007-09-17,,,,,,
2007-09-18,,,,,,
2007-09-19,,,,,,
2007-09-20,,,,,,
2007-09-21,,,,,,
2007-09-24,,,,,,
2007-09-25,,,,,,
2007-09-26,,,,,,
2007-09-27,,,,,,
2007-09-28,,,,,,
2007-10-01,,,,,,
2007-10-02,,,,,,
2007-10-03,,,,,,
2007-10-04,,,,,,
2007-10-05,,,,,,
2007-10-08,,,,,,
2007-10-09,,,,,,
2007-10-10,,,,,,
2007-10-11,,,,,,
2007-10-12,,,,,,
2007-10-15,,,,,,
2007-10-16,,,,,,
2007-10-17,,,,,,
2007-10-18,,,,,,
2007-10-19,,,,,,
2007-10-22,,,,,,
2007-10-23,,,,,,
2007-10-24,,,,,,
2007-10-25,,,,,,
2007-10-26,,,,,,
2007-10-29,,,,,,
2007-10-30,,,,,,
2007-10-31,,,,,,
2007-11-01,,,,,,
2007-11-02,,,,,,
2007-11-05,,,,,,
2007-11-06,,,,,,
2007-11-07,,,,,,
2007-11-08,,,,,,
2007-11-09,,,,,,
2007-11-12,,,,,,
2007-11-13,,,,,,
2007-11-14,,,,,,
2007-11-15,,,,,,
2007-11-16,,,,,,
2007-11-19,,,,,,
2007-11-20,,,,,,
2007-11-21,,,,,,
2007-11-23,,,,,,
2007-11-26,,,,,,
2007-11-27,,,,,,
2007-11-28,,,,,,
2007-11-29,15.53,15.53,15.53,15.53,15.53,98.0
2007-11-30,,,,,,
2007-12-03,,,,,,
2007-12-04,,,,,,
2007-12-05,39.1,39.1,42.0,39.0,40.0,4574.0
2007-12-06,40.3,40.3,40.65,39.05,40.65,1101.0
2007-12-07,40.34,40.34,40.35,40.0,40.35,718.0
2007-12-10,40.4,40.4,40.6,39.5,40.6,203.0
2007-12-11,42.0,42.0,42.0,40.55,40.55,270.0
2007-12-12,44.1,44.1,44.1,42.0,42.0,435.0
2007-12-13,45.6,45.6,45.6,45.6,45.6,23.0
2007-12-14,45.6,45.6,48.5,44.0,48.3,1368.0
2007-12-17,45.0,45.0,45.4,43.7,45.4,320.0
2007-12-18,45.0,45.0,45.0,45.0,45.0,10.0
2007-12-19,44.0,44.0,45.9,44.0,45.9,135.0
2007-12-20,42.4,42.4,43.7,42.3,43.7,1150.0
2007-12-21,44.1,44.1,44.1,42.05,42.05,130.0
2007-12-24,,,,,,
2007-12-26,,,,,,
2007-12-27,45.5,45.5,45.5,44.0,44.0,190.0
2007-12-28,45.9,45.9,45.9,45.9,45.9,1.0
2007-12-31,,,,,,
2008-01-02,45.9,45.9,46.0,45.9,46.0,215.0
2008-01-03,45.0,45.0,45.0,44.0,45.0,470.0
2008-01-04,42.7,42.7,44.9,42.7,44.9,0.0
2008-01-07,44.5,44.5,44.5,42.35,42.35,610.0
2008-01-08,42.8,42.8,43.0,42.8,43.0,0.0
2008-01-09,43.5,43.5,43.5,43.0,43.4,1149.0
2008-01-10,43.5,43.5,43.5,43.5,43.5,710.0
2008-01-11,43.5,43.5,43.5,43.5,43.5,88.0
2008-01-14,42.0,42.0,42.5,42.0,42.5,0.0
2008-01-15,42.5,42.5,43.5,42.5,42.5,113.0
2008-01-16,38.5,38.5,40.0,38.5,40.0,350.0
2008-01-17,38.0,38.0,40.0,38.0,40.0,231.0
2008-01-18,39.5,39.5,39.5,38.9,38.9,7921.0
2008-01-22,39.0,39.0,39.0,39.0,39.0,1122.0
2008-01-23,41.0,41.0,41.0,39.0,39.0,5174.0
2008-01-24,41.5,41.5,42.5,40.5,42.0,6795.0
2008-01-25,41.5,41.5,41.5,41.0,41.0,2130.0
2008-01-28,42.0,42.0,42.0,41.5,41.5,750.0
2008-01-29,43.0,43.0,43.0,42.49,42.49,690.0
2008-01-30,43.15,43.15,43.2,42.99,42.99,555.0
2008-01-31,43.0,43.0,43.5,41.4,43.5,1507.0
2008-02-01,44.0,44.0,44.0,43.5,43.5,1075.0
2008-02-04,44.0,44.0,45.0,44.0,44.98,3845.0
2008-02-05,44.99,44.99,44.99,44.0,44.5,7762.0
2008-02-06,44.0,44.0,44.99,44.0,44.0,1330.0
2008-02-07,44.4,44.4,44.4,44.4,44.4,149.0
2008-02-08,44.0,44.0,44.4,42.5,44.38,9201.0
2008-02-11,43.99,43.99,43.99,43.99,43.99,10.0
2008-02-12,43.2,43.2,43.2,43.2,43.2,47.0
