,Adj Close,Close,High,Low,Open,Volume
2007-01-03,37.37,50.78,50.8,50.05,50.45,666400.0
2007-01-04,37.6,51.1,51.29,50.26,50.75,753200.0
2007-01-05,37.46,50.9,51.19,50.59,51.0,1146400.0
2007-01-08,37.32,50.71,50.86,49.95,50.7,750800.0
2007-01-09,37.99,51.63,51.73,50.68,50.96,1000100.0
2007-01-10,38.43,52.23,52.27,51.39,51.55,630600.0
2007-01-11,38.98,52.97,52.99,52.24,52.48,461800.0
2007-01-12,39.16,53.22,53.28,52.55,52.72,490800.0
2007-01-16,39.19,53.26,53.5,52.95,53.13,434800.0
2007-01-17,39.38,53.52,53.97,53.1,53.1,789800.0
2007-01-18,39.78,54.06,54.85,52.73,52.73,918600.0
2007-01-19,39.07,53.09,53.28,52.44,52.5,1044400.0
2007-01-22,39.19,53.26,53.38,52.52,53.09,571700.0
2007-01-23,39.35,53.48,53.7,53.02,53.13,481400.0
2007-01-24,39.65,53.88,53.99,53.16,53.38,436800.0
2007-01-25,38.89,52.85,54.1,52.68,54.0,785000.0
2007-01-26,40.89,55.57,56.25,54.22,54.25,4553300.0
2007-01-29,40.87,55.54,56.0,55.09,55.3,1443000.0
2007-01-30,41.29,56.11,56.5,55.25,55.25,1305900.0
2007-01-31,42.14,57.26,57.54,55.78,56.11,1189200.0
2007-02-01,42.78,58.14,58.51,57.49,57.5,1650700.0
2007-02-02,43.38,58.95,58.99,58.07,58.3,1043400.0
2007-02-05,42.46,57.7,58.83,57.55,58.62,870500.0
2007-02-06,42.8,58.17,58.17,57.33,57.75,698100.0
2007-02-07,42.75,58.09,58.41,57.66,58.35,482000.0
2007-02-08,42.57,57.85,58.09,57.39,58.09,539000.0
2007-02-09,41.94,57.0,58.05,56.77,58.05,685600.0
2007-02-12,41.56,56.48,57.22,56.27,57.1,487000.0
2007-02-13,41.73,56.71,56.84,56.32,56.71,858400.0
2007-02-14,42.22,57.38,57.58,56.45,56.91,494900.0
2007-02-15,42.38,57.59,57.69,57.29,57.53,277800.0
2007-02-16,41.98,57.05,57.5,56.93,57.34,440700.0
2007-02-20,42.33,57.53,57.61,56.81,56.99,514000.0
2007-02-21,42.61,57.91,58.02,57.24,57.45,486200.0
2007-02-22,42.41,57.63,58.16,57.06,58.08,445200.0
2007-02-23,42.4,57.62,57.82,57.15,57.64,303800.0
2007-02-26,42.47,57.72,58.11,57.36,57.82,431700.0
2007-02-27,40.77,55.41,57.2,55.25,57.2,709600.0
2007-02-28,40.89,55.57,55.82,55.05,55.66,631000.0
2007-03-01,40.85,55.51,55.97,54.5,55.06,614100.0
2007-03-02,40.02,54.39,55.54,54.39,55.11,567200.0
2007-03-05,39.25,53.05,54.23,52.97,53.89,728100.0
2007-03-06,41.13,55.59,55.95,53.47,54.2,1285800.0
2007-03-07,41.4,55.95,56.19,55.41,55.6,764400.0
2007-03-08,41.87,56.59,56.85,56.29,56.3,414100.0
2007-03-09,41.73,56.4,57.06,56.21,57.0,526400.0
2007-03-12,41.88,56.6,57.6,56.42,57.44,1361200.0
2007-03-13,41.11,55.56,56.3,55.56,55.83,991800.0
2007-03-14,40.29,54.45,55.72,54.17,54.9,2266800.0
2007-03-15,40.16,54.28,56.4,54.04,54.45,3441300.0
2007-03-16,39.79,53.78,54.5,53.46,54.3,1590100.0
2007-03-19,40.02,54.08,54.45,53.83,54.18,1140100.0
2007-03-20,40.37,54.56,54.56,53.9,53.93,1095500.0
2007-03-21,41.13,55.59,55.71,54.54,54.69,908000.0
2007-03-22,41.16,55.62,55.78,54.74,54.74,501400.0
2007-03-23,41.4,55.95,56.01,55.45,55.45,494300.0
2007-03-26,40.99,55.4,55.87,54.86,55.75,618600.0
2007-03-27,40.99,55.4,55.5,54.88,55.15,839500.0
2007-03-28,40.82,55.17,55.6,54.56,54.56,588000.0
2007-03-29,40.93,55.32,55.65,55.01,55.4,514300.0
2007-03-30,40.96,55.36,55.7,54.87,55.46,619600.0
2007-04-02,41.3,55.81,56.04,55.55,55.77,537200.0
2007-04-03,41.83,56.53,56.6,55.98,56.25,1237200.0
2007-04-04,41.84,56.55,56.68,56.2,56.5,545100.0
2007-04-05,41.81,56.5,56.59,56.27,56.45,348100.0
2007-04-09,41.53,56.12,56.79,56.0,56.58,456700.0
2007-04-10,41.44,56.0,56.53,55.88,56.35,484300.0
2007-04-11,40.83,55.18,56.1,55.09,56.01,608900.0
2007-04-12,40.94,55.33,55.36,54.63,55.18,477200.0
2007-04-13,41.22,55.71,55.71,55.04,55.28,593800.0
2007-04-16,42.19,57.02,57.02,55.41,55.72,1152400.0
2007-04-17,42.47,57.4,58.58,57.25,58.5,1295500.0
2007-04-18,42.72,57.74,57.99,56.97,57.15,901800.0
2007-04-19,42.85,57.91,58.08,57.24,57.49,730500.0
2007-04-20,43.26,58.47,58.48,57.72,58.06,1103800.0
2007-04-23,43.32,58.54,58.7,58.34,58.4,849400.0
2007-04-24,43.99,59.45,59.94,58.02,58.61,1271100.0
2007-04-25,45.14,61.01,61.26,59.04,59.5,1203100.0
2007-04-26,44.3,59.87,60.59,58.62,59.35,1150400.0
2007-04-27,44.46,60.08,60.35,59.39,59.83,855200.0
2007-04-30,43.12,58.28,59.94,58.28,59.94,1082400.0
2007-05-01,43.33,58.56,58.63,57.95,58.28,515600.0
2007-05-02,43.54,58.84,59.24,58.38,58.43,538600.0
2007-05-03,43.93,59.37,59.42,58.66,59.03,476400.0
2007-05-04,43.93,59.37,59.52,58.98,59.44,567300.0
2007-05-07,44.03,59.51,59.64,59.18,59.51,324200.0
2007-05-08,44.17,59.7,59.75,58.86,59.22,587900.0
2007-05-09,44.65,60.34,60.46,59.45,59.45,591100.0
2007-05-10,44.03,59.5,60.2,59.25,60.2,569600.0
2007-05-11,44.4,60.01,60.07,59.27,59.75,532500.0
2007-05-14,44.22,59.76,60.42,59.68,60.25,757200.0
2007-05-15,43.63,58.96,59.83,58.93,59.77,911700.0
2007-05-16,44.14,59.66,59.67,59.01,59.14,756300.0
2007-05-17,43.82,59.22,59.56,59.04,59.42,571600.0
2007-05-18,44.27,59.83,59.97,59.07,59.22,514300.0
2007-05-21,45.09,60.94,61.0,59.79,59.94,1283100.0
2007-05-22,45.54,61.54,62.0,60.61,60.89,1010800.0
2007-05-23,46.08,62.28,62.48,61.43,61.6,1088600.0
2007-05-24,45.38,61.33,62.68,61.16,62.27,815400.0
2007-05-25,45.71,61.77,61.94,61.17,61.53,258000.0
2007-05-29,46.08,62.27,62.44,61.78,61.99,1135400.0
2007-05-30,46.51,62.86,62.86,61.8,61.94,338600.0
2007-05-31,46.79,63.23,63.41,62.84,62.96,438100.0
2007-06-01,46.71,63.13,63.68,62.97,63.3,510400.0
2007-06-04,46.58,62.65,62.66,62.08,62.25,464100.0
2007-06-05,46.79,62.93,63.15,62.25,62.55,666700.0
2007-06-06,45.53,61.24,62.55,61.1,62.44,591300.0
2007-06-07,44.29,59.57,61.41,59.55,61.22,714200.0
2007-06-08,44.94,60.44,60.5,59.35,59.56,408000.0
2007-06-11,44.59,59.97,60.62,59.97,60.45,326700.0
2007-06-12,44.0,59.18,60.03,59.13,59.77,386800.0
2007-06-13,45.23,60.84,60.84,59.62,59.85,463900.0
2007-06-14,45.22,60.82,61.45,60.69,60.84,371100.0
2007-06-15,45.29,60.92,61.68,60.67,61.23,551900.0
2007-06-18,45.16,60.74,61.18,60.46,60.87,304900.0
2007-06-19,45.24,60.85,60.85,60.2,60.58,393300.0
2007-06-20,45.05,60.6,61.66,60.53,61.1,1222000.0
2007-06-21,44.86,60.34,60.58,59.67,60.49,1059300.0
2007-06-22,44.24,59.5,60.2,59.3,60.09,840200.0
2007-06-25,45.26,60.87,62.3,59.82,59.92,1902800.0
2007-06-26,45.09,60.65,61.54,60.37,61.36,728800.0
2007-06-27,45.47,61.16,61.28,60.21,60.44,638100.0
2007-06-28,45.46,61.14,61.63,60.74,61.17,366700.0
2007-06-29,45.13,60.7,61.73,60.45,61.28,751600.0
2007-07-02,45.89,61.72,61.72,60.91,61.1,353600.0
2007-07-03,46.18,62.11,62.22,61.6,61.85,224700.0
2007-07-05,45.99,61.86,62.11,61.39,62.03,304500.0
2007-07-06,46.58,62.65,62.81,61.28,61.69,355100.0
2007-07-09,46.08,61.98,62.85,61.96,62.65,335200.0
2007-07-10,45.18,60.77,61.6,60.77,61.56,441400.0
2007-07-11,45.52,61.22,61.42,60.65,60.76,271700.0
