,Adj Close,Close,High,Low,Open,Volume
2007-01-03,28.56,39.01,39.13,37.89,38.5,1982800.0
2007-01-04,28.0,38.26,39.01,38.19,39.01,1552400.0
2007-01-05,27.61,37.72,38.26,37.69,38.26,1028000.0
2007-01-08,27.88,38.08,38.19,37.56,37.65,1150400.0
2007-01-09,27.67,37.79,38.1,37.7,38.08,935200.0
2007-01-10,28.09,38.37,38.51,37.8,37.85,2099200.0
2007-01-11,28.16,38.47,38.62,38.22,38.37,837800.0
2007-01-12,28.13,38.43,38.57,38.11,38.24,1170200.0
2007-01-16,28.16,38.47,38.69,38.27,38.58,1028600.0
2007-01-17,28.49,38.92,39.1,38.34,38.58,1319000.0
2007-01-18,28.48,38.9,39.01,38.76,38.92,801400.0
2007-01-19,28.54,38.98,39.01,38.75,38.9,1475800.0
2007-01-22,28.59,39.05,39.26,38.57,38.98,1596000.0
2007-01-23,28.9,39.47,39.78,38.85,39.05,2267000.0
2007-01-24,29.19,39.88,40.0,39.47,39.6,1029600.0
2007-01-25,29.25,39.96,40.12,39.88,39.9,2251000.0
2007-01-26,29.47,40.26,40.27,39.94,40.0,1679200.0
2007-01-29,29.41,40.18,40.51,40.0,40.51,1703400.0
2007-01-30,29.59,40.42,40.65,40.15,40.5,1660400.0
2007-01-31,29.58,40.4,40.55,40.17,40.55,1370400.0
2007-02-01,29.71,40.59,40.72,40.15,40.15,1858800.0
2007-02-02,29.59,40.42,40.6,40.31,40.5,1254400.0
2007-02-05,29.64,40.49,40.65,40.26,40.3,1183800.0
2007-02-06,29.78,40.68,40.72,40.34,40.54,2758200.0
2007-02-07,29.5,40.29,40.68,40.22,40.68,1174000.0
2007-02-08,29.77,40.67,40.69,40.31,40.4,930400.0
2007-02-09,29.98,40.95,41.15,40.65,40.67,1293600.0
2007-02-12,29.96,40.92,41.15,40.88,41.0,1278800.0
2007-02-13,30.23,41.3,41.46,40.92,40.92,725400.0
2007-02-14,30.19,41.24,41.8,41.21,41.38,1131000.0
2007-02-15,31.86,43.51,44.03,42.0,42.25,4313000.0
2007-02-16,31.7,43.31,43.52,40.62,43.51,6591000.0
2007-02-20,31.52,43.05,43.17,41.9,43.0,3160200.0
2007-02-21,31.69,43.28,43.41,42.67,43.03,1335600.0
2007-02-22,31.45,42.96,43.22,42.83,42.92,1496000.0
2007-02-23,31.15,42.55,43.0,42.51,42.74,798400.0
2007-02-26,31.94,43.31,43.31,42.45,42.5,1427200.0
2007-02-27,31.72,43.01,43.46,42.62,43.1,2439800.0
2007-02-28,31.14,42.22,43.05,42.1,43.0,2360200.0
2007-03-01,30.95,41.97,42.12,41.28,41.75,1875000.0
2007-03-02,30.55,41.42,42.06,41.41,41.88,966800.0
2007-03-05,30.77,41.72,42.22,41.51,41.58,1603600.0
2007-03-06,31.97,43.34,43.42,41.66,43.17,3650600.0
2007-03-07,31.48,42.67,43.48,42.62,43.25,2374200.0
2007-03-08,31.56,42.79,43.09,41.83,41.83,1468800.0
2007-03-09,31.85,43.17,43.24,42.76,42.8,1033800.0
2007-03-12,31.99,43.37,43.53,42.96,43.15,1312800.0
2007-03-13,31.69,42.97,43.28,42.74,43.28,1495400.0
2007-03-14,32.34,43.85,43.94,42.86,42.94,2484600.0
2007-03-15,32.4,43.92,44.01,43.42,43.42,1210000.0
2007-03-16,32.76,44.42,44.83,44.25,44.5,2767800.0
2007-03-19,33.2,45.01,45.04,44.41,44.87,1251000.0
2007-03-20,33.5,45.42,45.46,44.88,45.03,1121400.0
2007-03-21,33.47,45.38,45.5,44.89,45.5,1924800.0
2007-03-22,33.57,45.51,45.58,45.28,45.4,1911400.0
2007-03-23,34.25,46.44,46.48,45.49,45.5,1911200.0
2007-03-26,34.39,46.63,46.69,46.13,46.44,990600.0
2007-03-27,34.49,46.76,46.95,46.19,46.51,2036600.0
2007-03-28,34.67,47.0,47.3,46.63,46.76,2263000.0
2007-03-29,34.66,46.99,47.5,46.72,47.2,1452400.0
2007-03-30,34.9,47.31,47.56,46.69,47.06,1333400.0
2007-04-02,34.81,47.19,47.69,47.12,47.25,2566200.0
2007-04-03,34.24,46.42,47.0,45.96,47.0,4924400.0
2007-04-04,34.85,47.25,47.56,46.33,46.5,2703400.0
2007-04-05,35.0,47.44,47.69,47.31,47.35,1158600.0
2007-04-09,34.96,47.4,47.81,47.21,47.54,1797600.0
2007-04-10,35.05,47.51,47.83,47.26,47.38,1796200.0
2007-04-11,35.1,47.58,47.65,47.39,47.55,1237200.0
2007-04-12,35.01,47.47,47.72,47.17,47.65,1021800.0
2007-04-13,35.05,47.51,47.85,47.44,47.6,1270200.0
2007-04-16,35.47,48.09,48.29,47.43,48.29,1843600.0
2007-04-17,35.32,47.88,48.15,47.72,48.12,1005400.0
2007-04-18,35.82,48.56,48.68,47.74,47.81,1373200.0
2007-04-19,35.36,47.94,48.45,47.85,48.45,1458600.0
2007-04-20,35.44,48.05,48.47,47.92,48.15,1059200.0
2007-04-23,35.6,48.26,48.8,48.04,48.8,1504200.0
2007-04-24,35.34,47.92,48.4,47.83,48.35,1613200.0
2007-04-25,34.6,46.9,48.39,46.86,47.96,2865200.0
2007-04-26,35.61,48.28,48.5,46.06,46.06,2142200.0
2007-04-27,35.4,48.0,48.4,47.92,48.28,1398600.0
2007-04-30,34.77,47.14,48.42,47.1,48.1,1847000.0
2007-05-01,34.8,47.17,47.45,46.76,47.04,1500200.0
2007-05-02,34.9,47.31,47.83,47.11,47.11,1542000.0
2007-05-03,35.4,48.0,48.28,47.37,47.37,1561000.0
2007-05-04,35.68,48.37,48.54,48.03,48.08,1281600.0
2007-05-07,35.43,48.03,48.5,47.92,48.39,1284000.0
2007-05-08,36.09,48.93,49.62,48.0,48.8,2603400.0
2007-05-09,35.01,47.47,48.66,47.45,48.63,2618000.0
2007-05-10,34.46,46.72,47.88,46.6,47.22,2106800.0
2007-05-11,34.14,46.28,46.97,46.12,46.62,1795600.0
2007-05-14,32.93,44.65,46.29,44.63,46.19,3130200.0
2007-05-15,33.1,44.88,45.31,44.31,44.55,3470600.0
2007-05-16,33.59,45.54,45.63,44.78,45.0,1713400.0
2007-05-17,33.27,45.11,45.38,44.96,45.38,1048200.0
2007-05-18,33.77,45.79,45.79,45.08,45.32,1227600.0
2007-05-21,33.66,45.64,45.83,45.32,45.67,1384400.0
2007-05-22,33.62,45.58,45.79,45.44,45.56,1564800.0
2007-05-23,33.44,45.34,45.81,45.22,45.59,1958000.0
2007-05-24,33.14,44.94,45.94,44.9,45.53,3369200.0
2007-05-25,33.14,44.93,45.45,44.81,45.12,1573000.0
2007-05-29,33.31,44.84,45.33,44.5,45.08,2108200.0
2007-05-30,33.41,44.97,45.33,44.78,44.84,1984000.0
2007-05-31,34.01,45.78,46.77,45.5,46.77,2340200.0
2007-06-01,33.99,45.76,45.99,45.63,45.69,1634800.0
2007-06-04,34.05,45.83,45.94,45.52,45.69,1406600.0
2007-06-05,33.84,45.56,46.0,45.28,45.76,1729400.0
2007-06-06,33.5,45.09,45.56,44.96,45.56,1468200.0
2007-06-07,32.91,44.3,45.22,44.29,44.94,1449600.0
2007-06-08,33.1,44.56,44.56,44.01,44.31,825800.0
2007-06-11,32.54,43.81,44.37,43.56,44.3,2702800.0
2007-06-12,33.28,44.8,45.58,43.79,43.83,7095200.0
2007-06-13,34.72,46.74,47.2,45.38,45.49,5451200.0
2007-06-14,34.57,46.53,46.81,46.35,46.53,2038400.0
2007-06-15,34.15,45.97,46.42,45.65,46.42,2446600.0
2007-06-18,34.63,46.61,46.76,45.88,46.2,2595600.0
2007-06-19,34.53,46.47,46.65,46.28,46.6,905800.0
2007-06-20,33.84,45.56,46.94,45.53,46.85,2236400.0
2007-06-21,33.93,45.67,45.81,45.06,45.38,1491400.0
2007-06-22,33.82,45.53,46.05,45.19,45.67,1943000.0
2007-06-25,33.6,45.22,45.65,44.95,45.25,1856400.0
2007-06-26,33.38,44.93,45.69,44.9,45.38,1686400.0
2007-06-27,33.53,45.13,45.19,44.29,44.62,2612800.0
2007-06-28,33.85,45.56,45.76,44.9,45.06,1285800.0
2007-06-29,34.34,46.23,46.38,45.22,45.62,2312200.0
2007-07-02,34.47,46.4,46.58,46.11,46.35,1190400.0
2007-07-03,34.55,46.51,46.56,46.17,46.46,515800.0
2007-07-05,34.53,46.49,46.88,46.34,46.74,1280800.0
2007-07-06,34.62,46.6,46.67,45.83,46.38,1089200.0
2007-07-09,34.57,46.53,46.82,46.42,46.6,1690200.0
2007-07-10,34.29,46.15,46.59,45.93,46.5,1250800.0
2007-07-11,34.46,46.38,46.38,46.02,46.24,1342000.0
2007-07-12,34.41,46.31,46.72,46.1,46.5,1972800.0
2007-07-13,34.49,46.43,46.58,46.05,46.1,834800.0
2007-07-16,34.6,46.57,46.87,46.04,46.43,1518400.0
2007-07-17,34.34,46.22,46.42,46.03,46.42,1537000.0
2007-07-18,33.84,45.55,45.97,45.29,45.94,2174600.0
2007-07-19,34.12,45.92,45.97,45.54,45.67,1421800.0
2007-07-20,33.88,45.6,46.01,45.4,45.75,1730400.0
2007-07-23,34.02,45.79,45.9,45.35,45.63,1922400.0
2007-07-24,33.44,45.01,45.87,44.85,45.69,1537800.0
2007-07-25,33.45,45.03,45.31,44.56,45.08,1588800.0
2007-07-26,32.67,43.97,44.56,43.44,44.05,2166000.0
2007-07-27,32.49,43.74,44.26,43.74,44.03,1642800.0
2007-07-30,33.02,44.45,44.53,43.6,43.63,1662400.0
2007-07-31,33.04,44.47,45.04,44.36,44.55,2015000.0
2007-08-01,33.54,45.15,45.15,43.94,44.5,1814000.0
2007-08-02,33.35,44.9,45.44,44.67,45.25,2240400.0
2007-08-03,33.78,45.47,46.31,44.87,44.94,1596600.0
2007-08-06,34.24,46.08,46.11,45.29,45.55,1818400.0
2007-08-07,33.8,45.49,48.36,45.06,46.89,3631400.0
2007-08-08,32.3,43.48,45.37,42.35,45.35,4894800.0
2007-08-09,30.43,40.96,45.19,40.73,42.5,3481000.0
2007-08-10,30.71,41.35,41.47,40.46,40.48,2563600.0
2007-08-13,32.06,43.15,43.68,41.76,42.08,2181800.0
2007-08-14,31.24,42.04,43.39,42.0,43.23,1649800.0
2007-08-15,31.22,42.03,43.17,42.02,42.84,1573200.0
2007-08-16,31.27,42.09,42.33,41.53,41.62,1770600.0
2007-08-17,31.64,42.6,43.4,42.17,43.0,1488600.0
2007-08-20,31.94,42.99,43.54,42.51,42.9,1060400.0
2007-08-21,31.83,42.84,43.15,42.6,43.15,693000.0
2007-08-22,32.69,44.01,44.04,42.9,42.92,1219000.0
2007-08-23,31.9,42.94,44.44,42.79,44.03,1190400.0
2007-08-24,31.91,42.95,43.03,42.4,42.85,1085200.0
2007-08-27,32.13,43.25,43.44,42.88,43.08,959200.0
2007-08-28,32.23,43.38,43.83,43.06,43.22,2305000.0
2007-08-29,33.02,44.12,44.79,43.19,44.26,2055800.0
2007-08-30,32.96,44.04,44.16,43.55,43.88,1041800.0
2007-08-31,33.48,44.73,44.81,43.95,44.35,1234200.0
2007-09-04,33.85,45.22,45.49,44.29,44.73,2041200.0
2007-09-05,33.48,44.73,44.93,44.17,44.88,2156800.0
2007-09-06,33.18,44.34,45.03,44.13,45.0,1457000.0
2007-09-07,33.39,44.62,44.83,43.97,44.15,1685200.0
2007-09-10,33.71,45.04,45.26,44.63,44.7,1194800.0
2007-09-11,34.05,45.49,45.58,44.83,45.04,934800.0
2007-09-12,35.01,46.78,47.06,45.46,45.49,2484800.0
2007-09-13,34.97,46.72,47.24,46.54,46.81,1776200.0
2007-09-14,35.06,46.84,47.0,46.38,46.58,964400.0
2007-09-17,35.64,47.62,48.35,46.87,46.88,2609600.0
2007-09-18,35.62,47.59,47.92,47.44,47.92,1891000.0
2007-09-19,36.98,49.42,49.69,47.52,47.63,2069400.0
2007-09-20,36.48,48.74,49.94,48.45,49.42,2081600.0
2007-09-21,36.82,49.2,49.51,48.65,49.44,6237200.0
2007-09-24,36.19,48.35,49.4,48.26,49.22,1468400.0
2007-09-25,36.83,49.22,49.42,48.19,48.31,1483600.0
2007-09-26,37.34,49.89,50.0,48.92,49.83,1525000.0
2007-09-27,37.26,49.78,50.28,49.08,50.0,1218200.0
2007-09-28,37.3,49.83,50.77,49.58,50.0,1273800.0
2007-10-01,37.94,50.7,51.0,49.67,50.0,949800.0
2007-10-02,37.73,50.42,50.9,50.11,50.72,978400.0
2007-10-03,37.59,50.22,50.57,50.03,50.26,840600.0
2007-10-04,37.41,49.98,50.78,49.72,50.24,900000.0
2007-10-05,37.18,49.68,50.65,49.39,49.39,1012300.0
2007-10-08,38.04,50.83,51.22,49.78,49.98,940500.0
2007-10-09,42.02,56.15,57.68,52.78,53.99,6713100.0
2007-10-10,42.45,56.72,57.34,55.05,56.5,3315000.0
2007-10-11,41.05,54.85,56.5,54.21,56.07,2384500.0
2007-10-12,41.2,55.05,55.24,53.9,54.9,1751200.0
2007-10-15,41.27,55.14,55.2,54.06,54.71,948300.0
2007-10-16,41.08,54.89,55.09,53.82,55.09,1157900.0
2007-10-17,40.97,54.74,56.62,54.66,56.62,2093300.0
2007-10-18,41.03,54.82,54.94,53.75,54.61,880200.0
2007-10-19,40.23,53.75,54.9,53.75,54.52,1620300.0
2007-10-22,40.3,53.85,54.58,53.05,53.4,1912100.0
2007-10-23,40.45,54.05,54.39,53.61,53.94,1529300.0
2007-10-24,41.01,54.79,54.87,52.84,53.64,973200.0
2007-10-25,42.04,56.17,56.19,54.35,54.96,1814600.0
2007-10-26,42.76,57.14,57.5,56.58,56.7,1868700.0
2007-10-29,42.51,56.8,57.46,56.54,57.45,960600.0
2007-10-30,42.36,56.6,57.41,56.33,56.79,1220500.0
2007-10-31,42.83,57.23,57.7,56.61,56.8,1301600.0
2007-11-01,41.02,54.81,56.25,54.79,56.16,1341500.0
2007-11-02,41.69,55.71,55.77,54.61,55.16,1370700.0
2007-11-05,42.35,56.58,57.05,55.51,55.51,1617500.0
2007-11-06,41.34,55.24,56.63,53.66,56.63,3138900.0
2007-11-07,40.33,53.89,54.86,51.72,53.5,2233900.0
2007-11-08,40.44,54.03,54.41,52.91,53.94,1384600.0
2007-11-09,39.57,52.87,54.36,52.77,53.42,1478600.0
2007-11-12,38.67,51.67,53.25,51.51,52.42,1153800.0
2007-11-13,39.99,53.43,53.46,51.38,52.21,1248500.0
2007-11-14,39.41,52.66,53.82,52.51,53.47,1040000.0
2007-11-15,39.18,52.35,53.82,52.0,52.56,1263400.0
2007-11-16,39.19,52.37,52.91,51.6,52.77,992800.0
2007-11-19,38.17,51.0,52.1,50.75,51.94,1398300.0
2007-11-20,38.78,51.81,52.13,50.64,51.75,1483500.0
2007-11-21,38.18,51.01,51.8,51.0,51.49,875100.0
2007-11-23,38.76,51.79,51.87,50.85,51.45,221200.0
2007-11-26,37.68,50.34,52.25,50.34,51.55,912400.0
2007-11-27,39.18,52.35,52.44,50.36,50.36,1981900.0
2007-11-28,41.18,54.85,55.0,53.02,53.51,1556900.0
2007-11-29,40.11,53.43,54.78,53.34,54.78,1289700.0
2007-11-30,40.42,53.84,53.9,52.57,53.74,2144500.0
2007-12-03,40.91,54.49,54.75,53.62,53.84,1211900.0
2007-12-04,40.99,54.6,55.07,53.86,53.86,1516700.0
2007-12-05,40.84,54.4,55.0,53.43,54.8,1875300.0
2007-12-06,41.46,55.23,55.43,53.32,54.25,2275300.0
2007-12-07,41.65,55.48,55.89,55.13,55.22,1152100.0
2007-12-10,40.96,54.56,55.99,54.02,55.75,997100.0
2007-12-11,39.56,52.7,54.72,52.5,54.53,1107500.0
2007-12-12,39.71,52.9,55.1,52.35,53.8,1283700.0
2007-12-13,39.4,52.48,53.0,51.31,52.54,1596100.0
2007-12-14,39.07,52.05,52.41,51.7,52.09,1048700.0
2007-12-17,37.97,50.58,52.15,50.4,51.61,1390100.0
2007-12-18,38.47,51.25,51.39,50.72,50.84,1813800.0
2007-12-19,37.92,50.51,51.58,50.43,51.58,1117400.0
2007-12-20,38.59,51.4,51.41,50.64,50.78,1086600.0
2007-12-21,39.49,52.6,52.69,51.91,52.1,1362500.0
2007-12-24,39.81,53.03,53.05,52.11,52.11,171600.0
2007-12-26,40.06,53.36,53.43,52.21,52.21,755400.0
2007-12-27,39.13,52.13,53.25,52.11,53.25,637000.0
2007-12-28,39.13,52.12,52.89,52.05,52.29,534200.0
2007-12-31,38.75,51.62,52.25,51.62,52.05,440200.0
2008-01-02,37.78,50.33,51.87,50.15,51.74,1054200.0
2008-01-03,38.14,50.81,51.83,50.18,50.4,1712200.0
2008-01-04,38.05,50.69,51.47,50.26,50.43,1412600.0
2008-01-07,38.74,51.61,52.24,50.33,51.0,2385800.0
2008-01-08,38.59,51.4,52.1,50.86,51.7,2239900.0
2008-01-09,38.14,50.81,51.47,50.1,51.09,1947600.0
2008-01-10,38.42,51.18,51.94,50.3,50.39,1292000.0
2008-01-11,37.31,49.7,51.19,49.7,50.81,1828900.0
2008-01-14,36.65,48.82,49.89,48.7,49.6,1309700.0
2008-01-15,36.7,48.89,49.28,48.31,48.31,1755000.0
2008-01-16,38.18,50.86,51.52,48.94,48.97,2540700.0
2008-01-17,35.69,47.54,50.8,47.54,50.8,3173800.0
2008-01-18,34.68,46.2,48.49,45.82,47.77,2559700.0
2008-01-22,33.78,45.0,46.75,44.0,44.26,3277900.0
2008-01-23,33.98,45.26,46.0,38.75,45.71,2924800.0
2008-01-24,33.14,44.14,45.91,44.06,45.91,1947300.0
2008-01-25,33.0,43.96,44.74,43.72,44.74,2081900.0
2008-01-28,33.72,44.92,44.97,43.65,43.93,1455400.0
2008-01-29,33.82,45.05,45.41,44.91,45.06,1039900.0
2008-01-30,33.3,44.36,45.46,44.3,44.94,1364100.0
2008-01-31,33.53,44.67,45.01,43.56,43.78,1454100.0
2008-02-01,34.41,45.83,45.9,44.68,45.01,1081500.0
2008-02-04,34.28,45.67,46.09,45.37,45.84,784800.0
2008-02-05,33.17,44.18,45.25,44.09,44.96,954900.0
2008-02-06,33.62,44.78,45.13,44.07,44.59,1458700.0
2008-02-07,33.74,44.95,45.32,44.39,44.51,1262200.0
2008-02-08,33.87,45.12,45.49,44.48,44.61,886800.0
2008-02-11,34.05,45.36,45.42,44.48,44.8,635000.0
2008-02-12,37.28,49.66,49.83,47.05,47.89,3773000.0
2008-02-13,37.89,50.47,51.72,50.0,50.0,2729800.0
2008-02-14,38.14,50.8,51.22,50.39,50.39,2553100.0
2008-02-15,38.28,50.99,51.17,50.3,50.79,1218900.0
2008-02-19,39.66,52.83,53.63,51.11,51.57,2253400.0
2008-02-20,39.38,52.46,52.79,51.78,52.48,1722500.0
2008-02-21,38.75,51.62,52.64,51.5,52.64,1229100.0
2008-02-22,39.72,52.91,53.04,51.55,51.89,1339300.0
2008-02-25,39.7,52.88,53.04,52.28,52.63,1196200.0
2008-02-26,39.8,53.01,53.18,52.63,52.85,930500.0
2008-02-27,40.21,53.4,53.79,52.58,52.78,1200100.0
2008-02-28,40.85,54.25,54.57,52.97,53.0,1421800.0
2008-02-29,40.63,53.96,54.53,53.45,53.73,1726100.0
2008-03-03,39.76,52.81,53.99,52.23,53.99,1544400.0
2008-03-04,40.3,53.52,53.98,52.5,52.5,1712800.0
2008-03-05,39.68,52.7,53.82,52.35,53.51,2433900.0
2008-03-06,38.47,51.09,52.41,50.79,52.33,1772500.0
2008-03-07,38.08,50.57,51.07,50.31,50.59,1597900.0
2008-03-10,38.57,51.22,51.56,50.0,50.92,1449600.0
2008-03-11,38.77,51.49,52.14,50.94,52.14,1449000.0
2008-03-12,40.02,53.15,53.26,51.24,51.7,2009100.0
2008-03-13,40.1,53.25,53.63,52.32,52.32,1863600.0
2008-03-14,39.35,52.26,53.52,51.7,53.29,1441600.0
2008-03-17,38.36,50.94,51.98,50.73,51.59,1563400.0
2008-03-18,39.58,52.56,52.56,51.42,51.54,1096200.0
2008-03-19,39.22,52.08,53.33,52.01,52.91,1500400.0
2008-03-20,39.4,52.32,52.7,51.34,52.29,1436600.0
2008-03-24,40.99,54.44,54.83,53.0,53.0,1263100.0
2008-03-25,40.85,54.25,54.73,53.93,54.57,799300.0
2008-03-26,40.62,53.95,54.29,53.45,53.95,688200.0
2008-03-27,40.2,53.39,54.49,53.23,53.92,1116700.0
2008-03-28,40.09,53.24,53.99,53.08,53.75,807500.0
2008-03-31,39.58,52.57,53.47,52.12,53.3,1128500.0
2008-04-01,40.7,54.05,54.12,53.0,53.37,1026400.0
2008-04-02,40.62,53.94,54.53,53.85,54.39,708400.0
2008-04-03,40.5,53.79,54.16,53.37,53.4,875800.0
2008-04-04,41.02,54.48,55.34,54.05,54.24,1432000.0
2008-04-07,40.73,54.09,54.98,53.79,54.98,643000.0
2008-04-08,40.77,54.14,54.29,53.23,54.01,677600.0
2008-04-09,40.16,53.34,54.2,53.01,54.15,553700.0
2008-04-10,41.15,54.65,55.15,53.24,53.24,1136700.0
2008-04-11,40.76,54.13,54.99,53.92,54.13,628700.0
2008-04-14,40.66,54.0,54.08,53.56,53.91,554200.0
2008-04-15,40.9,54.32,54.56,53.93,54.21,776400.0
2008-04-16,40.82,54.21,54.62,53.68,54.48,708500.0
2008-04-17,41.32,54.87,55.04,53.71,53.71,1037800.0
2008-04-18,41.96,55.72,56.0,54.64,55.51,1435300.0
2008-04-21,42.14,55.96,56.15,55.52,55.53,1419300.0
2008-04-22,41.84,55.57,56.28,55.18,56.0,1113700.0
2008-04-23,42.17,56.0,56.29,55.34,55.84,1135600.0
2008-04-24,41.35,54.91,56.43,54.51,56.2,675400.0
2008-04-25,41.16,54.66,55.4,54.15,55.4,869300.0
2008-04-28,40.65,53.99,54.76,53.26,54.76,1087300.0
2008-04-29,40.73,54.09,54.51,53.75,53.85,738400.0
2008-04-30,41.29,54.84,55.46,54.25,54.55,1190200.0
2008-05-01,40.86,54.27,54.57,53.0,54.57,1525300.0
2008-05-02,40.28,53.5,54.69,53.3,54.64,1181400.0
2008-05-05,40.03,53.16,54.27,52.7,53.19,1445700.0
2008-05-06,43.0,57.1,57.74,53.57,54.6,2948500.0
2008-05-07,41.11,54.59,57.5,54.5,57.3,1703500.0
2008-05-08,42.24,56.1,56.37,54.51,54.96,1184000.0
2008-05-09,42.17,56.0,56.29,55.0,55.76,756600.0
2008-05-12,42.97,57.06,57.19,55.9,56.0,1093700.0
2008-05-13,43.51,57.79,58.3,56.68,57.0,1119500.0
2008-05-14,43.04,57.16,58.14,57.01,57.89,860900.0
2008-05-15,43.49,57.76,57.99,56.16,56.91,979900.0
