,Adj Close,Close,High,Low,Open,Volume
2007-01-03,15.08,31.39,31.88,31.17,31.65,3472100.0
2007-01-04,14.94,31.1,31.53,31.08,31.52,2884000.0
2007-01-05,14.96,31.15,31.28,31.07,31.13,2237300.0
2007-01-08,14.97,31.17,31.31,30.87,31.1,1856400.0
2007-01-09,14.98,31.19,31.45,31.01,31.27,1915300.0
2007-01-10,14.95,31.12,31.19,30.97,31.07,1723500.0
2007-01-11,14.95,31.12,31.2,30.94,31.2,2221400.0
2007-01-12,14.68,30.56,31.23,30.51,31.12,4316200.0
2007-01-16,14.75,30.71,31.01,30.55,30.59,2383700.0
2007-01-17,14.78,30.77,30.93,30.67,30.76,3375400.0
2007-01-18,14.9,31.03,31.21,30.77,30.77,4130000.0
2007-01-19,14.92,31.07,31.28,30.97,31.18,1948400.0
2007-01-22,14.88,30.99,31.14,30.95,31.07,2264200.0
2007-01-23,14.9,31.02,31.14,30.92,31.03,1687000.0
2007-01-24,14.9,31.02,31.08,30.93,30.95,1308500.0
2007-01-25,14.7,30.6,31.02,30.57,30.96,1625400.0
2007-01-26,14.46,30.12,30.66,30.1,30.61,2892600.0
2007-01-29,14.5,30.2,30.34,30.11,30.12,3278500.0
2007-01-30,14.51,30.21,30.36,30.06,30.31,2062800.0
2007-01-31,14.61,30.42,30.58,30.14,30.25,1743700.0
2007-02-01,14.56,30.31,30.53,30.3,30.41,3431500.0
2007-02-02,14.94,31.11,31.23,30.42,30.43,3766400.0
2007-02-05,15.28,31.81,31.95,31.34,31.55,3818400.0
2007-02-06,15.19,31.62,31.86,31.52,31.81,1705400.0
2007-02-07,15.39,32.05,32.07,31.61,31.69,2983400.0
2007-02-08,15.37,32.0,32.02,31.79,31.88,1904800.0
2007-02-09,15.31,31.87,32.14,31.82,32.02,1366200.0
2007-02-12,15.34,31.93,32.15,31.79,31.94,1556800.0
2007-02-13,15.46,32.18,32.18,31.96,32.06,1643100.0
2007-02-14,15.84,32.98,33.05,32.17,32.17,4752300.0
2007-02-15,15.86,33.02,33.13,32.83,32.96,2125600.0
2007-02-16,15.75,32.78,32.96,32.74,32.86,1525900.0
2007-02-20,15.8,32.89,32.96,32.72,32.86,1664500.0
2007-02-21,15.82,32.93,32.99,32.8,32.82,1874300.0
2007-02-22,15.84,32.99,33.22,32.91,32.94,1565300.0
2007-02-23,15.84,32.97,33.11,32.73,32.93,1142900.0
2007-02-26,15.81,32.91,33.08,32.86,32.96,1443200.0
2007-02-27,15.5,32.28,32.8,31.98,32.8,4100700.0
2007-02-28,15.39,32.05,32.27,31.87,32.24,2814500.0
2007-03-01,15.38,32.02,32.2,31.68,31.7,2205400.0
2007-03-02,15.17,31.58,31.9,31.52,31.89,2239000.0
2007-03-05,14.92,31.07,31.58,31.07,31.37,2639000.0
2007-03-06,14.94,31.1,31.26,30.99,31.16,3224500.0
2007-03-07,15.02,30.97,31.19,30.77,30.93,1712300.0
2007-03-08,15.03,30.98,31.31,30.92,31.21,1804800.0
2007-03-09,15.11,31.14,31.39,30.89,31.19,1232300.0
2007-03-12,15.19,31.31,31.35,30.95,31.14,1506500.0
2007-03-13,14.87,30.66,31.23,30.63,31.14,2579500.0
2007-03-14,14.93,30.79,30.91,30.47,30.72,2694800.0
2007-03-15,14.78,30.47,30.83,30.14,30.72,3531700.0
2007-03-16,14.15,29.17,30.51,29.11,30.47,6636800.0
2007-03-19,14.2,29.27,29.63,29.15,29.34,3856800.0
2007-03-20,14.26,29.39,29.54,29.27,29.31,3759600.0
2007-03-21,14.25,29.38,29.49,28.97,29.26,5478500.0
2007-03-22,14.2,29.28,29.47,29.12,29.47,2814200.0
2007-03-23,14.27,29.42,29.49,29.1,29.17,2781500.0
2007-03-26,14.2,29.28,29.35,29.08,29.22,3985400.0
2007-03-27,14.24,29.36,29.48,29.1,29.14,2127500.0
2007-03-28,14.22,29.32,29.52,29.17,29.24,2968700.0
2007-03-29,14.26,29.4,29.75,29.23,29.67,3447600.0
2007-03-30,14.28,29.45,29.52,29.3,29.4,2522900.0
2007-04-02,14.29,29.46,29.82,29.33,29.56,2462900.0
2007-04-03,14.36,29.6,29.82,29.48,29.58,3664600.0
2007-04-04,14.26,29.4,29.73,29.33,29.6,2516800.0
2007-04-05,14.2,29.28,29.44,29.21,29.4,3672000.0
2007-04-09,14.57,30.04,30.2,29.56,29.57,4171800.0
2007-04-10,14.41,29.7,30.09,29.7,30.09,3935400.0
2007-04-11,14.44,29.77,29.8,29.5,29.67,3599500.0
2007-04-12,14.59,30.07,30.1,29.52,29.74,2037000.0
2007-04-13,14.63,30.16,30.8,29.99,30.8,2495600.0
2007-04-16,14.73,30.36,30.43,30.22,30.22,1874300.0
2007-04-17,14.75,30.4,30.49,30.25,30.28,1342900.0
2007-04-18,14.8,30.5,30.5,30.14,30.31,2120000.0
2007-04-19,14.62,30.13,31.03,30.09,31.03,2752800.0
2007-04-20,14.68,30.26,30.84,30.25,30.42,2821800.0
2007-04-23,14.44,29.77,30.29,29.6,30.24,3606000.0
