,Adj Close,Close,High,Low,Open,Volume
2007-01-03,41.48,57.18,58.32,56.75,57.85,5691300.0
2007-01-04,41.78,57.59,57.83,56.61,57.08,3237400.0
2007-01-05,41.55,57.27,58.1,57.15,57.5,2962000.0
2007-01-08,41.61,57.35,57.42,56.93,57.19,2874700.0
2007-01-09,42.27,58.26,58.45,57.45,57.45,3820200.0
2007-01-10,42.3,58.31,58.44,57.85,57.94,3369900.0
2007-01-11,43.39,59.81,59.91,58.25,58.35,4874200.0
2007-01-12,43.75,60.31,60.46,59.51,59.8,5133500.0
2007-01-16,44.14,60.84,61.0,60.08,60.22,4575800.0
2007-01-17,43.79,60.36,61.0,60.08,60.93,5104600.0
2007-01-18,44.62,61.51,61.6,59.57,59.57,6335800.0
2007-01-19,45.23,62.35,62.96,61.53,61.87,5996700.0
2007-01-22,44.62,61.5,62.48,61.29,62.35,5511100.0
2007-01-23,44.57,61.43,62.09,60.99,61.37,4265400.0
2007-01-24,44.6,61.48,61.92,61.16,61.37,4031900.0
2007-01-25,44.02,60.68,61.5,60.57,61.45,3644300.0
2007-01-26,43.67,60.19,60.86,59.97,60.68,3237700.0
2007-01-29,43.58,60.07,60.53,59.91,60.19,3067000.0
2007-01-30,43.85,60.44,61.08,59.88,60.49,4402500.0
2007-01-31,44.52,61.36,61.59,60.35,60.49,3207900.0
2007-02-01,44.83,61.8,62.21,61.07,61.29,3858000.0
2007-02-02,45.0,62.03,62.25,61.48,61.9,3276400.0
2007-02-05,45.07,62.12,62.48,61.8,62.03,3096300.0
2007-02-06,45.49,62.71,62.9,62.01,62.12,3118400.0
2007-02-07,45.56,62.8,63.14,62.36,62.94,1858600.0
2007-02-08,45.17,62.26,63.2,62.06,63.1,2856800.0
2007-02-09,44.74,61.67,62.4,61.13,62.24,4963400.0
2007-02-12,44.83,61.8,62.28,61.51,61.64,2929800.0
2007-02-13,45.07,62.13,62.35,61.77,62.02,2265700.0
2007-02-14,45.3,62.44,62.6,61.9,62.1,3264400.0
2007-02-15,45.55,62.67,62.99,62.08,62.22,2074900.0
2007-02-16,45.73,62.91,62.95,62.15,62.4,3454500.0
2007-02-20,46.75,64.32,64.74,63.05,63.15,4695200.0
2007-02-21,46.24,63.61,64.18,63.37,64.0,3049900.0
2007-02-22,45.88,63.12,63.39,62.68,63.36,2945000.0
2007-02-23,45.87,63.1,63.35,62.8,63.15,3237200.0
2007-02-26,45.47,62.55,63.43,62.23,63.12,3421600.0
2007-02-27,43.18,59.4,62.0,59.4,61.7,6358500.0
2007-02-28,44.72,61.53,61.85,59.88,60.43,7802600.0
2007-03-01,44.27,60.9,61.4,60.0,60.8,5343600.0
2007-03-02,44.36,61.03,61.83,60.3,60.5,5700400.0
2007-03-05,43.46,59.79,61.09,59.77,60.5,4894900.0
2007-03-06,44.14,60.73,60.93,60.06,60.2,5542800.0
2007-03-07,44.05,60.6,61.09,60.29,60.42,4269000.0
2007-03-08,44.84,61.69,63.0,61.51,62.7,4517900.0
2007-03-09,44.98,61.88,62.43,61.68,62.35,4119200.0
2007-03-12,45.23,62.23,62.27,61.25,61.35,3345200.0
2007-03-13,43.95,60.47,61.41,60.0,61.27,7382800.0
2007-03-14,43.1,59.3,60.9,58.3,60.82,10753800.0
2007-03-15,43.31,59.58,59.98,58.92,59.16,7780900.0
2007-03-16,43.45,59.77,60.17,59.31,59.84,5526000.0
2007-03-19,43.93,60.44,60.71,59.85,60.3,3813900.0
2007-03-20,44.44,61.14,61.33,60.36,60.43,3721700.0
2007-03-21,44.77,61.59,62.26,60.67,61.02,5185300.0
2007-03-22,44.51,61.23,61.8,60.74,61.8,2867800.0
2007-03-23,44.71,61.51,61.94,61.07,61.2,2727000.0
2007-03-26,44.75,61.56,61.8,60.29,61.39,3633700.0
2007-03-27,44.0,60.54,61.56,60.1,61.21,4154900.0
2007-03-28,43.58,59.95,60.33,59.54,60.29,4502600.0
2007-03-29,43.43,59.75,60.62,59.16,60.3,3487000.0
2007-03-30,43.07,59.26,60.0,58.81,59.75,5042300.0
2007-04-02,43.56,59.93,59.96,58.85,59.51,4571700.0
2007-04-03,44.21,60.82,61.38,60.11,60.43,4542400.0
2007-04-04,44.04,60.59,61.28,60.38,60.82,2463300.0
2007-04-05,44.42,61.11,61.4,60.48,60.56,1887800.0
2007-04-09,44.62,61.38,61.65,61.01,61.21,2754500.0
2007-04-10,44.02,60.56,61.67,60.54,61.27,3998800.0
2007-04-11,43.38,59.68,60.6,59.29,60.5,6685100.0
2007-04-12,43.58,59.95,60.41,58.93,60.12,4336100.0
2007-04-13,43.36,59.65,60.5,58.74,60.5,5735900.0
2007-04-16,43.74,60.17,60.37,59.63,59.95,2693400.0
2007-04-17,44.06,60.61,60.87,60.0,60.02,4795600.0
2007-04-18,44.2,60.81,60.95,60.25,60.51,4017800.0
2007-04-19,44.53,61.26,61.48,60.43,60.53,5352300.0
2007-04-20,45.15,62.12,62.18,61.42,61.79,5050000.0
2007-04-23,44.65,61.43,62.25,61.37,62.01,3625700.0
2007-04-24,43.85,60.33,60.49,59.45,60.0,8987100.0
2007-04-25,43.99,60.52,60.65,59.94,60.4,4168300.0
2007-04-26,44.3,60.95,61.61,60.05,60.1,5499700.0
2007-04-27,44.17,60.77,61.15,60.31,60.75,3201700.0
2007-04-30,43.15,59.37,60.8,59.31,60.6,6931200.0
2007-05-01,43.35,59.64,59.83,58.48,59.11,7572700.0
2007-05-02,42.85,58.95,59.83,58.79,58.8,6698300.0
2007-05-03,42.58,58.58,59.37,58.28,59.16,9888300.0
2007-05-04,42.87,58.98,59.16,58.29,58.62,4749900.0
2007-05-07,43.14,59.35,59.82,58.29,58.3,5697400.0
2007-05-08,42.73,58.78,59.45,58.78,59.4,6316400.0
2007-05-09,43.0,59.16,59.39,58.6,58.8,4459600.0
2007-05-10,42.68,58.72,60.0,58.66,59.35,7195400.0
2007-05-11,42.34,58.25,59.03,57.84,58.74,6379900.0
2007-05-14,42.14,57.98,58.5,57.75,58.41,6247300.0
2007-05-15,41.83,57.55,58.35,57.35,58.01,9591400.0
2007-05-16,41.74,57.31,57.77,56.8,57.55,11336900.0
2007-05-17,42.02,57.69,58.0,57.58,57.9,8478300.0
2007-05-18,42.36,58.15,58.4,57.8,57.93,9896400.0
2007-05-21,42.35,58.14,58.8,57.88,58.45,7395200.0
2007-05-22,42.28,58.04,59.0,57.88,58.44,10810800.0
2007-05-23,42.68,58.6,60.63,58.5,60.35,15470100.0
2007-05-24,43.82,60.16,60.25,58.61,58.85,11889200.0
2007-05-25,44.26,60.76,60.87,60.22,60.47,7224900.0
2007-05-29,44.29,60.8,60.99,60.45,60.8,6639300.0
2007-05-30,44.49,61.08,61.13,60.15,60.21,5510700.0
2007-05-31,45.47,62.43,62.55,60.81,61.3,11810400.0
2007-06-01,46.38,63.67,63.85,62.38,62.41,11945200.0
2007-06-04,46.51,63.85,63.86,63.1,63.28,6863200.0
2007-06-05,46.59,63.96,64.01,63.21,63.32,8300000.0
2007-06-06,46.69,64.1,64.18,63.1,63.55,10495800.0
2007-06-07,45.55,62.53,63.84,62.38,63.7,11042200.0
2007-06-08,46.16,63.37,63.44,62.3,62.54,7404800.0
2007-06-11,45.84,62.94,63.3,62.67,63.1,5600200.0
2007-06-12,45.5,62.46,63.18,62.2,62.36,8373400.0
2007-06-13,46.23,63.47,63.56,62.66,62.81,7670700.0
2007-06-14,46.5,63.84,63.9,63.38,63.5,7156600.0
2007-06-15,46.46,63.79,64.45,63.77,64.32,8525000.0
2007-06-18,46.6,63.98,64.16,63.75,63.82,10064600.0
2007-06-19,46.11,63.31,64.14,63.14,63.7,13744200.0
2007-06-20,46.8,64.25,65.07,63.31,63.6,20239400.0
2007-06-21,46.91,64.4,64.68,63.66,64.05,8066800.0
2007-06-22,46.81,64.27,64.82,63.51,63.57,10514600.0
2007-06-25,46.73,64.16,64.73,63.5,63.81,14000600.0
2007-06-26,45.82,62.91,64.19,62.78,63.94,16425500.0
2007-06-27,46.43,63.75,63.9,62.4,62.8,10061200.0
2007-06-28,46.25,63.5,63.89,63.3,63.58,7989400.0
2007-06-29,46.33,63.6,64.27,63.35,64.22,7340000.0
2007-07-02,46.5,63.84,64.04,63.11,63.25,6707600.0
2007-07-03,46.08,63.26,63.99,63.11,63.99,3978700.0
2007-07-05,46.77,64.21,64.42,63.0,63.05,7767500.0
2007-07-06,49.6,68.1,68.24,63.77,64.2,30181800.0
2007-07-09,48.6,66.72,67.61,66.49,67.61,12176400.0
2007-07-10,47.21,64.81,66.13,64.74,66.0,15467000.0
2007-07-11,47.78,65.6,66.06,64.72,64.74,11065500.0
2007-07-12,51.02,70.04,70.48,65.6,66.64,32807200.0
2007-07-13,51.09,70.14,70.75,69.02,69.75,19536500.0
2007-07-16,50.18,68.89,70.7,68.74,70.67,10519800.0
2007-07-17,49.91,68.52,69.15,68.37,69.15,7818600.0
2007-07-18,49.55,68.02,68.9,67.9,68.86,8268900.0
2007-07-19,50.18,68.89,69.44,68.02,68.04,9325900.0
2007-07-20,49.12,67.43,69.52,66.5,68.37,10322200.0
2007-07-23,48.56,66.67,68.05,66.56,67.85,7337900.0
