,Adj Close,Close,High,Low,Open,Volume
2007-01-03,29.45,29.45,30.56,28.92,30.54,2455400.0
2007-01-04,29.06,29.06,29.16,28.59,29.12,1765200.0
2007-01-05,29.24,29.24,29.57,28.94,29.06,1464800.0
2007-01-08,28.88,28.88,29.3,28.56,29.11,1891000.0
2007-01-09,28.31,28.31,28.77,27.93,28.76,2111800.0
2007-01-10,28.65,28.65,29.13,27.74,28.31,2041300.0
2007-01-11,29.28,29.28,29.53,28.35,28.4,1706800.0
2007-01-12,29.47,29.47,29.82,29.06,29.5,1193100.0
2007-01-16,29.16,29.16,29.68,28.97,29.2,1108000.0
2007-01-17,29.42,29.42,29.72,28.71,28.78,1264000.0
2007-01-18,29.05,29.05,30.11,28.84,29.5,1661600.0
2007-01-19,29.53,29.53,29.77,28.96,28.97,1001200.0
2007-01-22,29.13,29.13,29.85,28.83,29.83,1380000.0
2007-01-23,29.75,29.75,29.9,29.02,29.02,1722100.0
2007-01-24,30.52,30.52,30.75,28.92,29.35,3954800.0
2007-01-25,29.31,29.31,30.87,29.07,30.75,3222800.0
2007-01-26,29.7,29.7,29.94,29.09,29.55,1531200.0
2007-01-29,29.18,29.18,29.98,29.18,29.46,1539100.0
2007-01-30,29.63,29.63,29.93,29.23,29.25,1436200.0
2007-01-31,30.84,30.84,30.88,29.52,29.64,3060000.0
2007-02-01,33.18,33.18,33.28,31.25,31.25,6075200.0
2007-02-02,32.72,32.72,33.5,32.06,33.0,3387600.0
2007-02-05,32.53,32.53,33.47,32.37,32.8,1864500.0
2007-02-06,34.94,34.94,35.05,32.61,32.79,5205600.0
2007-02-07,34.3,34.3,35.3,33.93,35.1,3215700.0
2007-02-08,34.46,34.46,34.78,33.8,34.4,2435600.0
2007-02-09,33.25,33.25,34.78,32.77,34.28,2471600.0
2007-02-12,33.16,33.16,33.45,32.78,32.92,1325834.0
2007-02-13,34.05,34.05,34.53,33.42,33.65,2146572.0
2007-02-14,35.24,35.24,35.95,34.56,35.9,5427337.0
2007-02-15,35.23,35.23,35.58,34.8,35.55,2290500.0
2007-02-16,35.35,35.35,35.48,34.82,35.22,1416700.0
2007-02-20,37.14,37.14,37.57,35.32,35.35,4491000.0
2007-02-21,37.88,37.88,38.17,36.26,37.0,3344100.0
2007-02-22,37.17,37.17,38.55,36.58,37.99,2942400.0
2007-02-23,38.03,38.03,38.54,37.4,37.62,2672700.0
2007-02-26,37.75,37.75,38.85,37.58,38.29,2601286.0
2007-02-27,35.95,35.95,35.95,34.55,35.55,6345700.0
2007-02-28,34.93,34.93,35.39,34.23,35.15,3451600.0
2007-03-01,33.84,33.84,34.54,31.75,33.45,4589898.0
2007-03-02,32.9,32.9,34.36,32.77,33.25,2688900.0
2007-03-05,32.68,32.68,33.34,31.8,31.9,3085264.0
2007-03-06,33.49,33.49,33.95,33.06,33.74,2306100.0
2007-03-07,33.74,33.74,34.56,33.35,33.35,1738500.0
2007-03-08,35.18,35.18,35.89,34.25,34.46,3204100.0
2007-03-09,35.53,35.53,35.86,35.0,35.56,2123600.0
2007-03-12,35.26,35.26,35.93,34.8,35.93,2067200.0
2007-03-13,33.7,33.7,35.54,33.54,35.19,2623500.0
2007-03-14,34.25,34.25,34.25,33.13,33.33,2286600.0
2007-03-15,33.82,33.82,34.66,33.69,34.01,2459500.0
2007-03-16,33.47,33.47,34.05,33.22,34.0,1563100.0
2007-03-19,34.63,34.63,34.78,33.88,34.32,2474700.0
2007-03-20,35.38,35.38,36.15,35.0,35.38,3485850.0
2007-03-21,36.3,36.3,36.71,35.55,36.0,2394117.0
2007-03-22,36.27,36.27,36.83,36.13,36.75,1910900.0
2007-03-23,36.55,36.55,36.7,36.19,36.41,1277800.0
2007-03-26,36.9,36.9,37.15,35.9,36.74,2169800.0
2007-03-27,36.3,36.3,36.8,36.09,36.76,1771700.0
2007-03-28,36.1,36.1,36.1,35.55,36.1,2366300.0
2007-03-29,35.93,35.93,36.32,35.26,35.89,2096237.0
2007-03-30,35.88,35.88,36.41,35.53,35.99,1685800.0
2007-04-02,36.41,36.41,36.46,35.85,36.17,1033900.0
2007-04-03,36.62,36.62,36.87,36.55,36.7,1227600.0
2007-04-04,37.09,37.09,37.23,36.31,36.79,1316200.0
2007-04-05,37.0,37.0,37.47,36.91,37.1,958200.0
2007-04-09,37.21,37.21,37.65,37.0,37.2,1262900.0
2007-04-10,37.04,37.04,37.56,36.8,37.46,869890.0
2007-04-11,37.37,37.37,37.37,36.25,37.02,1838196.0
2007-04-12,35.56,35.56,36.39,35.49,35.77,3090640.0
2007-04-13,36.05,36.05,36.34,35.54,35.6,2103479.0
2007-04-16,36.35,36.35,36.63,36.12,36.54,1511666.0
2007-04-17,35.5,35.5,36.1,35.46,35.85,1828403.0
2007-04-18,35.13,35.13,35.48,34.25,34.75,1393019.0
2007-04-19,35.0,35.0,35.29,34.35,34.69,1526475.0
2007-04-20,35.61,35.61,35.65,35.08,35.42,2631611.0
2007-04-23,35.34,35.34,36.0,35.23,35.6,1616648.0
2007-04-24,35.27,35.27,35.63,34.91,35.2,1263828.0
2007-04-25,35.36,35.36,35.68,35.06,35.31,1330310.0
2007-04-26,35.67,35.67,35.78,35.01,35.48,1712680.0
