,Adj Close,Close,High,Low,Open,Volume
2007-01-03,43.6,43.6,43.72,42.99,43.04,12837023.0
2007-01-04,44.37,44.37,44.47,43.54,43.62,18110313.0
2007-01-05,43.99,43.99,44.41,43.82,44.39,13852106.0
2007-01-08,44.27,44.27,44.39,43.54,43.95,13330795.0
2007-01-09,44.03,44.03,44.53,43.76,44.43,14271298.0
2007-01-10,44.11,44.11,45.81,43.82,43.86,12125419.0
2007-01-11,44.77,44.77,44.88,43.97,44.17,13243329.0
2007-01-12,44.98,44.98,45.06,44.51,44.51,9913751.0
2007-01-16,45.14,45.14,45.38,44.61,44.94,12777297.0
2007-01-17,45.14,45.14,45.42,44.88,44.92,10660018.0
2007-01-18,45.44,45.44,45.58,45.22,45.3,14462753.0
2007-01-19,44.77,44.77,45.6,44.49,45.52,13935177.0
2007-01-22,44.59,44.59,44.98,44.37,44.71,11849377.0
2007-01-23,44.45,44.45,44.81,44.31,44.45,8177412.0
2007-01-24,44.57,44.57,44.67,44.31,44.39,9438674.0
2007-01-25,43.62,43.62,44.75,43.48,44.45,10551178.0
2007-01-26,43.18,43.18,43.8,43.1,43.58,9596780.0
2007-01-29,43.1,43.1,43.62,42.73,43.1,10013091.0
2007-01-30,43.62,43.62,43.74,43.1,43.22,8593420.0
2007-01-31,43.28,43.28,43.6,42.89,43.04,13218974.0
2007-02-01,42.79,42.79,43.38,42.47,43.28,12014406.0
2007-02-02,43.04,43.04,43.16,42.73,42.73,8556179.0
2007-02-05,42.65,42.65,43.26,42.61,42.89,8386047.0
2007-02-06,42.77,42.77,42.93,42.55,42.73,8167154.0
2007-02-07,43.06,43.06,43.26,42.71,42.91,9202651.0
2007-02-08,42.39,42.39,43.18,42.02,43.18,13523868.0
2007-02-09,42.11,42.11,42.65,41.82,42.51,10105055.0
2007-02-12,41.9,41.9,42.47,41.72,42.03,8026806.0
2007-02-13,42.55,42.55,42.75,41.88,41.9,11034454.0
2007-02-14,42.51,42.51,42.77,42.45,42.45,8920454.0
2007-02-15,42.85,42.85,42.95,42.0,42.27,14638343.0
2007-02-16,42.69,42.69,42.89,42.47,42.63,9642762.0
2007-02-20,42.89,42.89,43.2,42.27,42.53,9092801.0
2007-02-21,42.85,42.85,43.1,42.27,42.51,10586801.0
2007-02-22,42.75,42.75,43.18,42.61,42.79,9023070.0
2007-02-23,42.55,42.55,42.69,42.23,42.57,11179763.0
2007-02-26,41.76,41.76,42.55,41.74,42.45,11997746.0
2007-02-27,40.0,40.0,41.86,38.89,41.32,16540923.0
2007-02-28,40.25,40.25,40.59,39.78,40.25,16886998.0
2007-03-01,39.86,39.86,40.23,39.19,39.62,15272106.0
2007-03-02,39.44,39.44,39.96,39.28,39.96,11453177.0
2007-03-05,39.05,39.05,39.38,38.63,38.99,12798921.0
2007-03-06,39.54,39.54,39.9,39.13,39.17,13925526.0
2007-03-07,39.3,39.3,39.88,39.26,39.56,13217307.0
2007-03-08,39.19,39.19,39.78,39.07,39.3,11161572.0
2007-03-09,39.32,39.32,39.42,39.01,39.38,10673610.0
2007-03-12,39.15,39.15,39.34,39.03,39.13,9219629.0
2007-03-13,38.43,38.43,39.19,38.29,39.15,11053086.0
