,Adj Close,Close,High,Low,Open,Volume
2007-01-03,21.11,28.56,29.22,28.35,29.12,20786800.0
2007-01-04,21.51,29.1,29.11,28.41,28.5,20417600.0
2007-01-05,21.26,28.76,28.94,28.58,28.58,21465900.0
2007-01-08,21.36,28.9,29.1,28.54,28.71,17777900.0
2007-01-09,21.32,28.84,29.0,28.42,28.9,17943500.0
2007-01-10,21.68,29.33,29.48,28.73,28.82,15761300.0
2007-01-11,21.46,29.03,29.78,28.95,29.02,19199700.0
2007-01-12,21.48,29.06,29.21,28.82,28.93,11719300.0
2007-01-16,21.35,28.88,29.08,28.73,28.97,14020600.0
2007-01-17,21.53,29.13,29.21,28.72,28.73,13775400.0
2007-01-18,20.94,28.32,28.9,28.24,28.82,25711900.0
2007-01-19,20.99,28.39,28.8,28.25,28.64,18915900.0
2007-01-22,21.13,28.59,28.85,28.3,28.51,24661400.0
2007-01-23,21.88,29.6,30.0,29.44,29.79,46361400.0
2007-01-24,22.18,30.0,30.3,29.6,29.87,19235600.0
2007-01-25,22.52,30.47,31.17,30.37,30.4,31739600.0
2007-01-26,22.93,31.02,31.21,30.44,30.65,23674700.0
2007-01-29,22.9,30.94,31.34,30.84,31.02,21549100.0
2007-01-30,22.83,30.84,31.2,30.69,31.04,18473400.0
2007-01-31,23.09,31.19,31.32,30.6,30.83,15835900.0
2007-02-01,23.22,31.37,31.7,31.21,31.33,14654600.0
2007-02-02,23.23,31.39,31.69,31.33,31.54,14612100.0
2007-02-05,23.38,31.59,31.94,31.38,31.51,16178000.0
2007-02-06,23.11,31.22,31.66,31.02,31.54,19840800.0
2007-02-07,22.98,31.04,31.18,30.6,31.0,25202100.0
2007-02-08,23.01,31.08,31.25,30.8,30.9,14441900.0
2007-02-09,22.89,30.92,31.98,30.76,31.49,22885100.0
2007-02-12,22.58,30.51,31.08,30.2,30.99,15849000.0
2007-02-13,22.41,30.27,30.81,29.91,30.56,22314600.0
2007-02-14,22.91,30.95,31.18,30.45,30.45,14839500.0
2007-02-15,23.06,31.16,31.21,30.65,30.75,14958200.0
2007-02-16,22.78,30.78,31.2,30.63,31.0,13397800.0
2007-02-20,22.98,31.05,31.11,30.36,30.7,11016300.0
2007-02-21,22.93,30.98,31.0,30.68,30.88,9520000.0
2007-02-22,23.75,32.09,32.13,31.46,31.6,31591200.0
2007-02-23,23.84,32.21,32.57,32.01,32.03,17396900.0
2007-02-26,23.52,31.77,32.35,31.62,32.31,14960600.0
2007-02-27,22.7,30.67,31.75,30.28,31.11,19193200.0
2007-02-28,22.92,30.96,31.27,30.6,30.85,20170600.0
2007-03-01,22.79,30.79,31.01,29.9,30.55,21552000.0
2007-03-02,22.77,30.76,30.98,30.45,30.6,19287100.0
2007-03-05,22.87,30.9,31.29,30.4,30.48,16564800.0
2007-03-06,23.21,31.35,31.74,31.19,31.6,20665600.0
2007-03-07,23.05,31.14,31.59,31.05,31.35,9366000.0
2007-03-08,23.46,31.7,31.92,31.25,31.39,14480000.0
2007-03-09,24.03,32.46,32.73,32.18,32.5,20543900.0
2007-03-12,24.12,32.59,32.93,32.44,32.46,19909500.0
2007-03-13,23.49,31.74,32.19,31.51,32.1,23939700.0
2007-03-14,23.44,31.67,31.87,31.33,31.79,15481500.0
2007-03-15,23.37,31.57,31.76,31.46,31.58,11917000.0
2007-03-16,23.15,31.28,31.68,31.1,31.68,20476600.0
2007-03-19,23.11,31.22,31.74,31.05,31.74,10072400.0
2007-03-20,23.21,31.35,31.69,31.15,31.37,10420900.0
2007-03-21,23.46,31.7,31.99,31.26,31.42,12455200.0
2007-03-22,23.13,31.25,31.7,31.13,31.7,15543600.0
2007-03-23,23.21,31.36,31.59,31.08,31.25,9957800.0
2007-03-26,23.06,31.15,31.47,30.76,31.31,11102700.0
2007-03-27,23.11,31.22,31.35,30.97,31.0,9455100.0
2007-03-28,22.72,30.7,31.17,30.49,31.17,14112000.0
2007-03-29,22.49,30.39,30.98,29.9,30.93,20090100.0
2007-03-30,22.28,30.1,30.62,30.06,30.23,19141900.0
2007-04-02,22.13,29.9,30.21,29.65,30.12,17293300.0
2007-04-03,22.26,30.07,30.34,29.95,30.11,14580500.0
2007-04-04,22.65,30.6,30.7,30.07,30.14,12438200.0
2007-04-05,22.81,30.82,31.2,30.49,30.5,10632400.0
2007-04-09,22.81,30.82,31.13,30.61,30.9,7900000.0
2007-04-10,23.14,31.26,31.28,30.7,30.75,12564700.0
2007-04-11,22.78,30.78,31.37,30.76,31.32,12354900.0
2007-04-12,22.95,31.0,31.1,30.66,30.7,10804200.0
2007-04-13,22.82,30.83,31.13,30.57,31.13,11256200.0
2007-04-16,23.32,31.51,31.53,30.9,30.95,11140400.0
2007-04-17,23.18,31.31,31.59,31.08,31.45,10358000.0
2007-04-18,23.65,31.95,32.24,31.68,31.7,17555200.0
2007-04-19,24.05,32.49,32.64,31.65,31.7,16295200.0
2007-04-20,24.06,32.5,32.9,32.15,32.82,15304500.0
2007-04-23,23.99,32.41,32.75,32.03,32.5,20359000.0
2007-04-24,25.85,34.92,35.5,34.67,35.47,56577100.0
2007-04-25,26.16,35.34,35.46,35.02,35.15,23770700.0
2007-04-26,26.08,35.16,35.45,34.8,35.45,17599600.0
2007-04-27,25.84,34.83,35.11,34.59,34.75,13975100.0
2007-04-30,25.5,34.37,34.8,34.33,34.54,12525100.0
2007-05-01,25.85,34.84,34.95,34.12,34.36,13620300.0
2007-05-02,26.05,35.11,35.25,34.67,34.84,12153200.0
2007-05-03,26.03,35.09,35.27,34.92,35.09,11527000.0
2007-05-04,26.08,35.16,35.24,34.8,35.16,9823600.0
2007-05-07,26.11,35.2,35.23,34.86,35.01,8503700.0
2007-05-08,26.09,35.17,35.29,35.01,35.11,12409400.0
2007-05-09,27.32,36.83,37.03,35.42,35.57,36915900.0
2007-05-10,27.17,36.62,37.12,36.22,36.51,21477700.0
2007-05-11,27.23,36.7,36.9,36.27,36.62,12717800.0
2007-05-14,27.4,36.93,37.21,36.6,37.15,14102200.0
2007-05-15,27.2,36.67,37.23,36.55,36.99,16820900.0
2007-05-16,27.01,36.41,36.69,36.21,36.52,16427800.0
2007-05-17,26.66,35.94,36.34,35.44,36.16,31790100.0
2007-05-18,26.61,35.87,36.18,35.48,35.99,14451500.0
2007-05-21,26.37,35.55,36.09,35.43,35.65,15437300.0
2007-05-22,26.33,35.49,35.71,35.08,35.6,12294400.0
2007-05-23,25.97,35.01,35.52,34.8,35.13,14520200.0
2007-05-24,25.68,34.61,35.24,34.48,35.14,16380900.0
2007-05-25,25.88,34.89,35.18,34.61,34.75,8600100.0
2007-05-29,25.93,34.95,35.42,34.78,35.01,11402000.0
2007-05-30,25.97,35.01,35.31,34.59,34.77,12579500.0
2007-05-31,26.23,35.36,35.58,34.92,35.15,13038100.0
2007-06-01,26.65,35.92,35.98,35.4,35.55,14813900.0
2007-06-04,26.48,35.7,36.24,35.64,35.77,9876800.0
2007-06-05,26.12,35.21,35.75,34.95,35.64,11627500.0
2007-06-06,26.0,35.04,35.57,34.95,35.09,13278400.0
2007-06-07,25.51,34.39,35.18,34.38,34.85,13972600.0
2007-06-08,26.69,35.97,36.16,35.0,35.02,26224500.0
2007-06-11,26.55,35.79,36.25,35.74,35.93,12985100.0
2007-06-12,26.0,35.04,35.66,34.72,34.86,20399400.0
2007-06-13,26.59,35.84,38.41,35.12,35.29,16654200.0
2007-06-14,27.17,36.63,36.79,35.89,35.89,13876700.0
2007-06-15,27.35,36.86,37.1,36.55,36.93,19275600.0
2007-06-18,27.82,37.5,37.53,36.8,36.98,13277200.0
2007-06-19,27.43,36.97,37.23,36.5,37.23,14947500.0
2007-06-20,27.26,36.75,37.25,36.64,37.21,14017200.0
2007-06-21,27.81,37.48,37.52,36.35,36.65,14719700.0
2007-06-22,27.53,37.11,37.62,36.95,37.47,12550100.0
2007-06-25,27.5,37.07,37.47,36.72,37.06,16027700.0
2007-06-26,27.48,37.04,37.2,36.68,37.14,10247900.0
2007-06-27,28.03,37.78,37.96,36.7,36.92,14245100.0
2007-06-28,28.0,37.74,37.96,37.61,37.76,11134900.0
2007-06-29,27.92,37.63,38.1,37.5,37.93,12834400.0
2007-07-02,28.24,38.06,38.16,37.71,37.71,7906900.0
2007-07-03,28.34,38.2,38.2,37.98,38.1,4367000.0
2007-07-05,28.28,38.12,38.17,37.76,38.1,9013600.0
2007-07-06,28.44,38.34,38.49,37.99,38.22,5864300.0
2007-07-09,28.38,38.25,38.73,38.1,38.26,9484600.0
2007-07-10,28.27,38.11,38.59,37.87,38.09,9760200.0
2007-07-11,28.27,38.11,38.2,37.61,38.01,9964600.0
2007-07-12,28.75,38.75,38.78,37.88,38.29,14294400.0
2007-07-13,28.71,38.7,39.27,38.69,38.9,14324000.0
2007-07-16,28.99,39.07,39.16,38.7,38.78,11104400.0
2007-07-17,29.07,39.18,39.63,38.8,39.06,11652200.0
2007-07-18,28.58,38.52,38.89,37.97,38.7,13953500.0
2007-07-19,28.49,38.4,38.89,38.15,38.88,12783200.0
2007-07-20,28.2,38.01,38.99,37.96,38.34,13823400.0
2007-07-23,28.32,38.18,38.79,37.94,38.27,18521000.0
2007-07-24,27.05,36.46,37.1,36.14,36.49,27074100.0
2007-07-25,27.29,36.79,37.19,36.58,37.1,16815000.0
2007-07-26,26.69,35.97,37.25,35.41,36.5,17791300.0
2007-07-27,26.12,35.13,36.03,35.1,35.92,15699000.0
2007-07-30,26.73,35.95,36.3,35.17,35.25,11901700.0
2007-07-31,26.16,35.19,36.99,35.06,36.2,18554300.0
2007-08-01,26.11,35.11,35.65,34.38,35.25,24418500.0
2007-08-02,25.89,34.82,34.95,34.22,34.95,20020100.0
2007-08-03,25.09,33.74,34.75,33.74,34.61,17095700.0
2007-08-06,25.29,34.01,34.4,33.75,33.77,17196800.0
2007-08-07,25.29,34.01,34.5,33.35,33.79,15761300.0
2007-08-08,25.08,33.73,34.32,33.22,33.5,28551600.0
2007-08-09,24.63,33.13,33.72,32.63,33.25,24953100.0
2007-08-10,24.6,33.09,33.81,32.71,32.8,17088400.0
2007-08-13,24.66,33.17,33.7,33.12,33.53,17889800.0
2007-08-14,24.51,32.96,33.55,32.95,33.32,20794900.0
2007-08-15,24.03,32.32,33.09,32.17,32.9,18649400.0
2007-08-16,24.19,32.53,32.88,31.8,32.14,21696600.0
2007-08-17,24.6,33.09,33.45,32.7,33.25,16633400.0
2007-08-20,24.89,33.47,33.89,33.05,33.2,13305700.0
2007-08-21,25.04,33.68,33.95,33.6,33.7,13128900.0
2007-08-22,25.38,34.13,34.26,33.88,33.91,13444100.0
2007-08-23,25.39,34.15,34.42,33.79,34.4,12021700.0
2007-08-24,26.06,35.05,35.1,33.92,34.27,13310800.0
2007-08-27,25.62,34.46,34.98,34.3,34.95,9058500.0
2007-08-28,24.85,33.42,34.54,33.26,34.44,14205000.0
2007-08-29,25.5,34.29,34.49,33.6,33.7,12051800.0
2007-08-30,25.34,34.08,34.6,33.69,34.0,10972600.0
2007-08-31,25.46,34.24,34.64,33.63,34.49,12387500.0
2007-09-04,26.19,35.23,35.84,34.34,34.37,17250400.0
2007-09-05,26.32,35.4,35.49,34.82,35.05,13005800.0
2007-09-06,26.8,36.05,36.08,35.1,35.45,13316300.0
2007-09-07,26.25,35.3,35.6,34.64,35.53,14854800.0
2007-09-10,26.19,35.22,36.0,34.76,35.71,10247900.0
2007-09-11,26.56,35.72,36.16,35.35,35.58,13939000.0
2007-09-12,26.11,35.12,35.49,34.75,34.93,21759300.0
2007-09-13,25.95,34.9,35.2,34.64,35.17,15022800.0
2007-09-14,25.79,34.68,34.96,34.39,34.64,14086000.0
2007-09-17,25.71,34.58,34.73,34.46,34.5,10333500.0
2007-09-18,25.83,34.74,35.05,34.44,34.56,20511000.0
2007-09-19,26.19,35.22,35.44,34.81,34.94,14130400.0
2007-09-20,26.6,35.77,35.94,35.2,35.24,11911000.0
2007-09-21,27.23,36.62,37.1,35.77,36.59,19556600.0
2007-09-24,27.11,36.46,37.01,36.32,36.85,12640600.0
2007-09-25,26.95,36.24,36.61,36.11,36.37,13316200.0
2007-09-26,26.99,36.3,36.88,36.28,36.49,10488600.0
2007-09-27,27.35,36.79,37.09,36.43,36.45,10487900.0
2007-09-28,27.21,36.59,37.17,36.44,36.84,9408300.0
2007-10-01,27.37,36.81,37.17,36.55,36.73,9339500.0
2007-10-02,27.24,36.63,37.14,36.47,37.05,10784500.0
2007-10-03,26.85,36.11,36.6,35.84,36.42,10759700.0
2007-10-04,26.92,36.2,36.45,35.89,36.1,9789000.0
2007-10-05,27.17,36.54,36.75,36.24,36.55,8370700.0
2007-10-08,27.07,36.41,36.8,36.33,36.5,7273300.0
2007-10-09,27.21,36.59,36.75,36.0,36.56,11032400.0
2007-10-10,27.06,36.39,36.72,36.09,36.57,10318100.0
2007-10-11,26.19,35.23,36.63,35.04,36.35,21851500.0
2007-10-12,26.31,35.39,35.75,35.22,35.43,9609300.0
2007-10-15,25.59,34.42,35.38,34.36,35.38,18860400.0
2007-10-16,25.58,34.41,34.79,34.13,34.28,15136300.0
2007-10-17,26.05,35.03,35.3,34.66,35.07,14108600.0
2007-10-18,25.58,34.4,34.99,34.02,34.93,16703700.0
2007-10-19,25.22,33.92,34.35,33.68,34.34,16270500.0
2007-10-22,25.48,34.27,34.54,33.6,33.62,21866800.0
2007-10-23,23.37,31.43,31.9,30.74,31.82,58654800.0
