,Adj Close,Close,High,Low,Open,Volume
2007-01-03,6.19,6.19,6.43,6.1,6.34,6679200.0
2007-01-04,6.15,6.15,6.23,6.12,6.17,3203200.0
2007-01-05,6.05,6.05,6.1,5.97,6.09,5164000.0
2007-01-08,6.12,6.12,6.15,6.0,6.04,3581600.0
2007-01-09,6.11,6.11,6.12,6.03,6.12,3298400.0
2007-01-10,6.25,6.25,6.25,6.03,6.05,3728000.0
2007-01-11,6.26,6.26,6.33,6.2,6.25,4033600.0
2007-01-12,6.2,6.2,6.26,6.16,6.25,2721600.0
2007-01-16,6.34,6.34,6.39,6.2,6.21,3662400.0
2007-01-17,6.36,6.36,6.41,6.29,6.34,2656800.0
2007-01-18,6.34,6.34,6.41,6.33,6.34,4204800.0
2007-01-19,6.38,6.38,6.43,6.28,6.3,3158400.0
2007-01-22,5.89,5.89,6.24,5.83,6.2,17247200.0
2007-01-23,6.18,6.18,6.2,5.95,6.06,12958400.0
2007-01-24,6.34,6.34,6.36,6.12,6.12,5436000.0
2007-01-25,6.22,6.22,6.37,6.17,6.34,4640000.0
2007-01-26,6.26,6.26,6.29,6.22,6.23,2638400.0
2007-01-29,6.43,6.43,6.44,6.25,6.26,5179200.0
2007-01-30,6.54,6.54,6.54,6.37,6.44,4717600.0
2007-01-31,6.35,6.35,6.52,6.31,6.52,5674400.0
2007-02-01,5.9,5.9,6.11,5.69,5.82,55327200.0
2007-02-02,5.72,5.72,5.89,5.7,5.87,14378400.0
2007-02-05,5.66,5.66,5.76,5.58,5.69,11135200.0
2007-02-06,5.77,5.77,5.85,5.66,5.66,7200000.0
2007-02-07,5.99,5.99,6.05,5.79,5.87,11111200.0
2007-02-08,6.11,6.11,6.14,6.01,6.06,11317600.0
2007-02-09,6.01,6.01,6.11,6.0,6.11,4990400.0
2007-02-12,5.9,5.9,6.05,5.88,6.03,5826400.0
2007-02-13,5.86,5.86,6.0,5.84,5.93,4814400.0
2007-02-14,5.94,5.94,5.99,5.84,5.86,4385600.0
2007-02-15,5.95,5.95,5.97,5.92,5.94,2549600.0
2007-02-16,5.99,5.99,5.99,5.88,5.95,3138400.0
2007-02-20,6.1,6.1,6.14,5.95,6.02,5633600.0
2007-02-21,5.98,5.98,6.1,5.98,6.1,3908800.0
2007-02-22,5.97,5.97,6.06,5.95,6.03,2803200.0
2007-02-23,5.96,5.96,6.0,5.94,5.97,2264000.0
2007-02-26,5.95,5.95,5.98,5.89,5.96,3375200.0
2007-02-27,5.69,5.69,5.95,5.62,5.83,7677600.0
2007-02-28,5.74,5.74,5.81,5.63,5.7,5563200.0
2007-03-01,5.74,5.74,5.83,5.61,5.69,6590400.0
2007-03-02,5.6,5.6,5.74,5.57,5.72,5801600.0
2007-03-05,5.46,5.46,5.59,5.42,5.5,5580000.0
2007-03-06,5.75,5.75,5.79,5.57,5.59,6042400.0
2007-03-07,5.64,5.64,5.75,5.64,5.75,4476000.0
2007-03-08,5.77,5.77,5.78,5.7,5.7,4145600.0
2007-03-09,5.81,5.81,5.9,5.78,5.83,4250400.0
2007-03-12,5.84,5.84,5.86,5.82,5.84,1677600.0
2007-03-13,5.67,5.67,5.84,5.64,5.84,6884800.0
2007-03-14,5.83,5.83,5.86,5.65,5.74,6932000.0
2007-03-15,5.89,5.89,5.91,5.81,5.82,4841600.0
2007-03-16,5.85,5.85,5.94,5.8,5.88,6264800.0
2007-03-19,6.09,6.09,6.1,5.89,5.89,7951200.0
2007-03-20,6.12,6.12,6.12,6.04,6.04,3196000.0
2007-03-21,6.24,6.24,6.29,6.1,6.12,5407200.0
2007-03-22,6.25,6.25,6.31,6.18,6.29,4038400.0
2007-03-23,6.4,6.4,6.41,6.22,6.22,6124800.0
2007-03-26,6.38,6.38,6.42,6.34,6.4,4659200.0
2007-03-27,6.21,6.21,6.35,6.2,6.35,6732000.0
2007-03-28,6.18,6.18,6.26,6.15,6.21,7012800.0
2007-03-29,6.34,6.34,6.34,6.23,6.25,5469600.0
2007-03-30,6.41,6.41,6.46,6.34,6.34,6683200.0
2007-04-02,6.4,6.4,6.43,6.32,6.41,3528000.0
2007-04-03,6.53,6.53,6.57,6.4,6.4,8690400.0
2007-04-04,6.42,6.42,6.54,6.42,6.53,5993600.0
2007-04-05,6.52,6.52,6.53,6.43,6.5,5500000.0
2007-04-09,6.6,6.6,6.63,6.53,6.57,5860800.0
2007-04-10,6.63,6.63,6.64,6.56,6.61,3310400.0
2007-04-11,6.58,6.58,6.65,6.56,6.64,4014400.0
2007-04-12,6.58,6.58,6.62,6.56,6.61,4848800.0
2007-04-13,6.49,6.49,6.57,6.46,6.57,4908800.0
2007-04-16,6.56,6.56,6.58,6.5,6.5,2991200.0
