,Adj Close,Close,High,Low,Open,Volume
2007-01-03,25.72,27.91,28.15,27.66,28.05,1069200.0
2007-01-04,25.66,27.84,27.92,27.61,27.91,641200.0
2007-01-05,25.42,27.58,27.76,27.04,27.04,1027400.0
2007-01-08,25.44,27.6,27.74,27.46,27.58,687000.0
2007-01-09,25.42,27.58,27.69,27.47,27.62,501000.0
2007-01-10,25.62,27.8,27.89,27.26,27.5,471400.0
2007-01-11,25.99,28.2,28.25,27.84,27.92,831400.0
2007-01-12,25.88,28.08,28.27,27.93,28.25,324600.0
2007-01-16,25.98,28.18,28.36,28.09,28.25,461000.0
2007-01-17,25.92,28.13,28.38,28.03,28.3,717400.0
2007-01-18,25.75,27.94,28.1,27.89,28.1,519600.0
2007-01-19,26.23,28.46,28.57,27.89,27.92,872400.0
2007-01-22,26.63,28.9,29.15,28.74,29.08,1411200.0
2007-01-23,26.5,28.75,28.92,28.54,28.77,1184600.0
2007-01-24,26.74,29.01,29.09,28.51,28.75,913000.0
2007-01-25,26.31,28.55,28.92,28.28,28.92,986000.0
2007-01-26,26.33,28.57,28.64,28.35,28.53,802400.0
2007-01-29,26.39,28.64,28.77,28.48,28.6,271800.0
2007-01-30,26.32,28.56,28.81,28.48,28.74,502800.0
2007-01-31,26.69,28.97,29.0,28.42,28.52,955400.0
2007-02-01,26.73,29.0,29.15,28.79,29.0,811400.0
2007-02-02,26.64,28.91,29.0,28.84,29.0,346800.0
2007-02-05,27.52,29.86,30.33,29.38,29.5,2301200.0
2007-02-06,27.35,29.68,29.87,29.59,29.86,630200.0
2007-02-07,27.5,29.84,29.85,29.53,29.76,411000.0
2007-02-08,27.42,29.75,29.84,29.63,29.84,235800.0
2007-02-09,27.52,29.86,29.93,29.67,29.74,653000.0
2007-02-12,27.74,30.09,30.19,29.84,29.94,980000.0
2007-02-13,27.6,29.95,30.12,29.81,30.08,633600.0
2007-02-14,27.7,30.06,30.07,29.8,29.93,618600.0
2007-02-15,27.74,30.09,30.33,30.02,30.06,875000.0
2007-02-16,26.9,29.19,30.25,28.33,30.12,5052200.0
2007-02-20,27.0,29.3,29.49,28.66,29.0,1988200.0
2007-02-21,27.09,29.39,29.62,29.25,29.3,997400.0
2007-02-22,27.39,29.72,30.06,29.33,29.33,1225000.0
2007-02-23,27.2,29.51,29.79,29.17,29.67,688800.0
2007-02-26,27.16,29.48,29.55,29.33,29.51,630000.0
2007-02-27,26.59,28.77,29.12,28.72,29.12,1103200.0
2007-02-28,26.73,28.93,29.14,28.53,28.83,1186200.0
2007-03-01,26.18,28.33,28.88,27.67,28.88,1996600.0
2007-03-02,26.21,28.36,28.58,28.16,28.34,1248400.0
2007-03-05,26.6,28.78,29.12,28.64,29.1,1630000.0
2007-03-06,27.09,29.31,29.34,28.76,28.83,1240600.0
2007-03-07,27.02,29.24,29.41,28.89,29.23,775000.0
2007-03-08,26.99,29.21,29.48,29.01,29.4,915000.0
2007-03-09,26.89,29.1,29.4,29.08,29.31,457800.0
2007-03-12,26.56,28.74,29.02,28.54,29.02,1290600.0
2007-03-13,26.06,28.19,28.62,28.16,28.52,1273600.0
2007-03-14,26.19,28.34,28.43,28.03,28.26,879800.0
2007-03-15,26.52,28.69,28.8,28.27,28.27,573800.0
2007-03-16,26.5,28.68,28.92,28.47,28.7,605000.0
2007-03-19,27.33,29.57,29.66,29.0,29.0,1528200.0
2007-03-20,27.56,29.83,29.92,29.25,29.38,991000.0
2007-03-21,27.36,29.6,29.91,29.25,29.83,986400.0
2007-03-22,27.1,29.33,29.61,29.12,29.61,1378600.0
2007-03-23,26.82,29.02,29.33,29.0,29.33,951400.0
2007-03-26,26.76,28.95,29.08,28.85,29.02,1094400.0
2007-03-27,26.38,28.55,28.83,28.48,28.83,851800.0
2007-03-28,26.19,28.34,28.59,28.27,28.5,786400.0
2007-03-29,26.56,28.74,28.78,28.1,28.45,1403600.0
2007-03-30,26.46,28.63,28.8,28.41,28.73,746400.0
2007-04-02,26.54,28.72,28.82,28.43,28.77,1031600.0
2007-04-03,26.48,28.65,28.85,28.58,28.8,533400.0
2007-04-04,26.28,28.43,28.59,28.35,28.59,682800.0
2007-04-05,26.78,28.98,29.15,28.45,28.46,904600.0
2007-04-09,26.64,28.83,29.13,28.81,29.0,1424400.0
2007-04-10,26.48,28.65,28.91,28.64,28.87,657400.0
2007-04-11,26.48,28.66,28.69,28.39,28.58,689800.0
2007-04-12,26.86,29.07,29.15,28.43,28.6,833400.0
2007-04-13,26.96,29.17,29.2,28.99,29.1,493800.0
2007-04-16,27.28,29.52,29.55,29.13,29.26,729600.0
2007-04-17,27.27,29.51,29.72,29.35,29.57,908800.0
2007-04-18,26.97,29.19,29.55,29.18,29.45,822400.0
2007-04-19,27.08,29.3,29.41,28.7,29.01,974600.0
2007-04-20,27.45,29.7,29.95,29.28,29.53,873400.0
2007-04-23,27.49,29.75,29.96,29.58,29.67,637000.0
2007-04-24,27.59,29.85,29.95,29.6,29.83,679200.0
2007-04-25,27.62,29.89,30.0,29.44,29.85,947000.0
2007-04-26,27.6,29.87,29.87,29.38,29.76,974600.0
2007-04-27,28.31,30.64,31.25,30.33,30.85,3497800.0
2007-04-30,28.06,30.36,30.75,30.2,30.65,1841600.0
2007-05-01,27.93,30.22,30.45,30.17,30.44,1068200.0
2007-05-02,28.18,30.5,30.59,30.17,30.22,1104400.0
2007-05-03,27.93,30.23,30.57,30.18,30.5,413800.0
2007-05-04,28.19,30.5,30.51,30.25,30.33,1003400.0
2007-05-07,28.27,30.59,30.93,30.5,30.52,921200.0
2007-05-08,28.0,30.3,30.33,30.04,30.26,1160200.0
2007-05-09,27.61,29.88,30.21,29.33,30.1,1798600.0
2007-05-10,27.47,29.73,30.03,29.66,29.81,580000.0
2007-05-11,27.57,29.83,29.95,29.55,29.73,509800.0
2007-05-14,27.42,29.67,29.91,29.55,29.78,540400.0
2007-05-15,27.48,29.74,29.97,29.57,29.74,340600.0
2007-05-16,27.62,29.89,30.0,29.78,29.9,416600.0
2007-05-17,27.47,29.73,29.95,29.45,29.67,1323600.0
2007-05-18,27.55,29.82,29.92,29.68,29.83,934400.0
2007-05-21,27.81,30.09,30.1,29.69,29.76,730400.0
2007-05-22,27.71,29.99,30.1,29.87,30.09,837000.0
2007-05-23,27.88,30.17,30.24,29.91,30.0,998600.0
2007-05-24,27.82,30.11,30.26,30.06,30.14,539200.0
2007-05-25,27.98,30.27,30.33,30.03,30.16,484800.0
2007-05-29,28.18,30.49,30.96,30.38,30.53,723600.0
2007-05-30,28.36,30.6,30.61,30.31,30.31,858200.0
2007-05-31,28.63,30.9,31.19,30.75,30.84,2091200.0
2007-06-01,29.01,31.31,31.38,31.01,31.06,747000.0
2007-06-04,29.19,31.5,31.7,31.37,31.7,1649400.0
2007-06-05,29.16,31.48,31.55,31.31,31.48,879800.0
2007-06-06,28.7,30.98,31.27,30.89,31.24,871600.0
2007-06-07,28.57,30.83,31.02,30.68,30.85,899600.0
2007-06-08,28.98,31.28,31.28,30.51,30.75,761400.0
2007-06-11,28.86,31.15,31.22,31.03,31.22,493600.0
2007-06-12,28.54,30.81,31.15,30.77,31.02,844200.0
2007-06-13,28.5,30.76,30.84,30.39,30.84,833000.0
2007-06-14,28.65,30.92,31.05,30.67,30.72,1056800.0
2007-06-15,28.85,31.14,31.35,31.01,31.1,864200.0
2007-06-18,28.65,30.92,31.23,30.88,31.17,1104000.0
2007-06-19,28.47,30.73,30.83,30.43,30.8,1571200.0
2007-06-20,28.32,30.57,30.9,30.5,30.83,1278000.0
2007-06-21,28.5,30.76,30.94,30.33,30.52,1113400.0
2007-06-22,28.28,30.52,30.83,30.44,30.72,1302000.0
2007-06-25,28.2,30.43,30.98,30.4,30.5,878600.0
2007-06-26,28.34,30.59,30.68,30.45,30.55,418800.0
2007-06-27,28.39,30.65,30.65,30.36,30.42,762600.0
2007-06-28,28.41,30.67,30.87,30.58,30.62,706000.0
2007-06-29,28.49,30.75,30.87,30.63,30.72,963200.0
2007-07-02,28.41,30.67,31.0,30.57,30.92,899200.0
2007-07-03,28.76,31.05,31.16,30.61,30.67,514600.0
2007-07-05,28.65,30.92,31.09,30.86,31.05,540600.0
2007-07-06,28.86,31.15,31.23,30.66,30.97,570800.0
2007-07-09,28.46,30.72,31.3,30.49,31.25,567200.0
2007-07-10,28.07,30.3,30.65,30.24,30.6,541800.0
2007-07-11,27.92,30.13,30.41,30.09,30.3,571200.0
2007-07-12,27.88,30.09,30.16,29.89,30.1,1128800.0
2007-07-13,27.56,29.75,30.16,29.69,30.1,1052000.0
2007-07-16,27.88,30.09,30.28,29.74,29.74,1207400.0
2007-07-17,27.84,30.05,30.42,29.97,30.07,697200.0
2007-07-18,27.51,29.69,29.95,28.74,29.95,1277200.0
2007-07-19,27.18,29.33,29.81,29.27,29.73,772600.0
2007-07-20,26.8,28.92,29.4,28.91,29.28,1076800.0
2007-07-23,25.82,27.87,28.3,27.68,28.25,1932000.0
2007-07-24,26.11,28.18,28.32,27.83,27.85,1268400.0
2007-07-25,25.77,27.82,28.36,27.67,28.18,740000.0
2007-07-26,25.39,27.4,27.83,26.89,27.75,2013400.0
2007-07-27,24.8,26.76,27.98,26.56,27.26,2062600.0
2007-07-30,24.84,26.81,27.21,26.74,27.12,1537000.0
2007-07-31,24.29,26.22,27.0,26.16,27.0,1862800.0
2007-08-01,24.06,25.97,26.33,25.7,26.14,1735600.0
2007-08-02,23.71,25.59,26.08,25.55,26.05,1863600.0
2007-08-03,22.73,24.53,25.69,24.37,25.59,2579800.0
2007-08-06,22.59,24.38,24.92,24.35,24.6,1641200.0
2007-08-07,22.65,24.45,24.89,24.33,24.36,1442400.0
2007-08-08,22.81,24.62,25.3,23.2,24.64,2904800.0
2007-08-09,23.58,25.44,25.56,24.02,24.47,2647000.0
2007-08-10,23.24,25.08,25.42,24.84,25.22,1554400.0
2007-08-13,24.17,26.08,26.38,25.08,25.38,2471800.0
2007-08-14,24.11,26.02,26.63,25.98,26.26,981600.0
2007-08-15,23.88,25.77,26.33,25.71,25.95,639200.0
2007-08-16,23.96,25.85,26.08,25.45,25.69,1714800.0
2007-08-17,24.03,25.93,26.44,25.69,26.44,457800.0
2007-08-20,24.04,25.95,26.23,25.86,26.05,1073600.0
2007-08-21,24.25,26.17,26.32,25.64,25.9,570600.0
2007-08-22,24.39,26.33,26.43,25.92,26.36,451400.0
2007-08-23,24.3,26.23,26.46,26.04,26.43,394000.0
2007-08-24,24.43,26.36,26.36,25.97,26.16,348200.0
2007-08-27,24.04,25.95,26.26,25.89,26.26,396400.0
2007-08-28,23.81,25.7,25.99,25.63,25.99,645800.0
2007-08-29,24.24,26.08,26.08,25.72,25.81,438800.0
2007-08-30,24.33,26.18,26.32,25.6,25.86,528000.0
2007-08-31,24.54,26.4,26.58,25.99,26.38,379400.0
2007-09-04,24.25,26.09,26.67,26.0,26.67,560000.0
2007-09-05,24.08,25.91,26.08,25.75,25.97,1316400.0
2007-09-06,24.38,26.24,26.26,25.71,25.92,566000.0
2007-09-07,24.21,26.05,26.26,25.83,25.97,788000.0
2007-09-10,24.29,26.14,26.25,25.91,26.11,1138600.0
2007-09-11,24.27,26.11,26.44,26.01,26.14,964800.0
2007-09-12,24.17,26.0,26.17,25.86,26.01,633600.0
2007-09-13,23.94,25.75,26.11,25.69,26.11,998200.0
2007-09-14,24.02,25.84,25.86,25.59,25.6,941600.0
2007-09-17,24.23,26.07,26.15,25.56,25.77,871200.0
2007-09-18,24.79,26.67,26.72,25.92,26.19,624400.0
2007-09-19,24.68,26.56,27.0,26.52,26.81,1072400.0
2007-09-20,24.29,26.13,26.58,26.11,26.56,909200.0
2007-09-21,24.56,26.42,26.56,26.0,26.25,865200.0
2007-09-24,24.4,26.25,26.42,25.96,26.39,497400.0
2007-09-25,24.21,26.05,26.49,25.93,26.24,883200.0
2007-09-26,24.63,26.5,26.52,26.06,26.12,760400.0
2007-09-27,24.67,26.55,26.6,26.24,26.55,644800.0
2007-09-28,25.29,27.21,27.4,26.62,26.62,1271200.0
2007-10-01,24.93,26.82,27.36,26.68,27.23,995600.0
2007-10-02,24.83,26.72,26.83,26.56,26.78,459200.0
2007-10-03,24.71,26.59,26.76,26.43,26.62,475800.0
2007-10-04,24.56,26.42,26.69,26.41,26.69,729200.0
2007-10-05,24.17,26.0,26.6,25.91,26.56,1525400.0
2007-10-08,23.53,25.32,25.92,25.3,25.92,1507200.0
2007-10-09,23.56,25.35,25.62,25.26,25.42,1309000.0
2007-10-10,23.23,25.0,25.4,24.94,25.25,1491600.0
2007-10-11,23.33,25.1,25.23,25.0,25.06,832800.0
2007-10-12,23.27,25.03,25.27,24.98,25.15,472600.0
2007-10-15,23.18,24.94,25.28,24.82,25.12,600200.0
2007-10-16,22.82,24.56,27.56,24.51,25.06,751000.0
2007-10-17,23.01,24.75,25.04,24.64,24.77,762800.0
2007-10-18,23.61,25.41,25.47,24.64,24.69,909600.0
2007-10-19,23.44,25.22,25.45,25.15,25.35,474400.0
2007-10-22,23.13,24.89,25.14,24.78,24.96,790600.0
2007-10-23,23.29,25.06,25.06,24.56,24.89,914800.0
2007-10-24,23.05,24.8,25.08,24.52,25.06,867000.0
2007-10-25,22.86,24.6,24.98,24.5,24.78,1626400.0
2007-10-26,23.05,24.81,25.1,24.5,24.83,1132200.0
2007-10-29,23.08,24.83,25.1,24.69,24.95,1098200.0
2007-10-30,22.77,24.5,25.23,24.39,24.75,1687600.0
2007-10-31,22.65,24.38,24.65,24.0,24.56,1426400.0
2007-11-01,22.6,24.32,24.6,24.06,24.13,780400.0
2007-11-02,22.52,24.23,24.6,24.0,24.6,744200.0
2007-11-05,23.44,25.23,25.57,24.06,24.17,1561400.0
2007-11-06,23.46,25.25,25.32,25.04,25.22,538400.0
2007-11-07,23.31,25.08,25.34,25.04,25.1,691600.0
2007-11-08,23.62,25.42,25.48,24.97,25.19,856000.0
2007-11-09,23.6,25.4,25.57,25.09,25.22,693600.0
2007-11-12,23.38,25.16,25.75,25.15,25.33,753800.0
2007-11-13,23.76,25.57,25.63,25.2,25.27,717400.0
2007-11-14,23.69,25.49,25.72,25.34,25.65,536200.0
2007-11-15,23.51,25.3,25.6,25.18,25.49,390800.0
2007-11-16,23.33,25.1,25.33,24.97,25.33,414200.0
2007-11-19,23.08,24.83,24.99,24.7,24.88,637400.0
2007-11-20,23.07,24.83,24.92,24.65,24.79,639400.0
2007-11-21,22.72,24.44,24.98,24.38,24.62,442400.0
2007-11-23,22.8,24.53,24.64,24.4,24.51,150000.0
2007-11-26,22.86,24.6,24.76,24.4,24.53,498600.0
2007-11-27,23.03,24.78,24.92,24.61,24.63,1020400.0
