,Adj Close,Close,High,Low,Open,Volume
2007-01-03,79.0,79.0,79.1,78.0,78.4,779100.0
2007-01-04,79.8,79.8,79.8,78.5,79.4,180300.0
2007-01-05,79.6,79.6,79.8,78.5,79.3,251100.0
2007-01-08,80.1,80.1,80.6,79.4,79.9,576500.0
2007-01-09,81.5,81.5,81.8,80.2,80.2,324500.0
2007-01-10,81.9,81.9,82.2,81.1,81.7,271300.0
2007-01-11,82.0,82.0,82.7,81.6,81.9,262600.0
2007-01-12,82.1,82.1,83.0,81.7,82.0,270400.0
2007-01-16,83.3,83.3,83.8,82.1,82.1,252700.0
2007-01-17,83.4,83.4,85.0,82.9,83.4,271200.0
2007-01-18,82.7,82.7,84.5,82.5,83.5,354000.0
2007-01-19,82.8,82.8,83.0,77.8,82.7,375700.0
2007-01-22,82.1,82.1,82.8,81.4,82.8,407500.0
2007-01-23,81.3,81.3,81.7,78.4,79.5,910100.0
2007-01-24,80.4,80.4,82.0,78.2,82.0,685500.0
2007-01-25,81.8,81.8,82.6,80.0,80.2,601800.0
2007-01-26,82.4,82.4,83.2,81.1,81.8,188700.0
2007-01-29,84.9,84.9,86.0,82.6,83.3,377700.0
2007-01-30,84.5,84.5,84.9,83.8,84.0,303400.0
2007-01-31,86.2,86.2,86.8,83.8,84.5,311400.0
2007-02-01,87.9,87.9,88.1,86.1,86.7,310600.0
2007-02-02,88.0,88.0,88.2,87.5,87.6,432000.0
2007-02-05,88.5,88.5,88.6,87.4,87.6,356700.0
2007-02-06,89.2,89.2,89.5,88.4,88.5,241300.0
2007-02-07,90.6,90.6,90.7,89.0,89.2,411200.0
2007-02-08,92.2,92.2,94.6,90.1,90.1,403300.0
2007-02-09,89.4,89.4,93.2,89.2,92.3,407300.0
2007-02-12,90.3,90.3,91.0,89.3,89.5,225500.0
2007-02-13,91.4,91.4,91.4,90.3,90.4,222200.0
2007-02-14,92.1,92.1,92.8,91.5,92.5,292700.0
2007-02-15,92.3,92.3,93.1,92.1,92.5,153500.0
2007-02-16,92.8,92.8,93.0,91.8,92.1,253700.0
2007-02-20,93.8,93.8,94.0,93.0,93.1,420300.0
2007-02-21,93.5,93.5,94.4,93.1,93.6,143000.0
2007-02-22,91.9,91.9,94.7,91.2,93.8,352200.0
2007-02-23,93.0,93.0,93.5,91.9,92.0,390900.0
2007-02-26,92.6,92.6,93.5,92.2,93.3,236500.0
2007-02-27,87.3,87.3,92.6,85.7,92.2,467600.0
2007-02-28,84.9,84.9,87.5,80.9,87.1,573100.0
2007-03-01,83.7,83.7,84.7,81.0,84.3,371600.0
2007-03-02,82.8,82.8,84.3,82.3,83.7,227500.0
2007-03-05,81.0,81.0,82.8,81.0,82.4,363800.0
2007-03-06,83.3,83.3,83.8,81.1,81.1,216000.0
2007-03-07,82.1,82.1,83.6,81.9,83.2,269500.0
2007-03-08,83.5,83.5,83.6,82.3,82.6,155400.0
2007-03-09,83.4,83.4,84.4,83.1,83.5,92600.0
2007-03-12,84.5,84.5,85.0,83.3,83.5,179100.0
2007-03-13,82.9,82.9,85.2,82.9,84.0,131600.0
2007-03-14,82.5,82.5,83.8,81.5,83.2,182800.0
2007-03-15,83.0,83.0,83.3,82.2,82.3,137400.0
2007-03-16,82.7,82.7,83.3,82.2,83.3,129800.0
2007-03-19,82.0,82.0,83.0,81.8,82.5,153000.0
2007-03-20,83.8,83.8,83.8,82.2,82.9,174600.0
2007-03-21,84.2,84.2,84.5,82.6,84.2,185600.0
2007-03-22,85.8,85.8,86.2,83.6,83.6,183400.0
2007-03-23,84.4,84.4,86.8,84.1,85.4,140800.0
2007-03-26,84.9,84.9,85.0,83.4,84.4,168800.0
2007-03-27,84.9,84.9,85.1,84.2,84.8,115500.0
2007-03-28,84.8,84.8,85.6,83.8,84.4,155900.0
2007-03-29,84.8,84.8,85.4,84.7,85.2,110600.0
2007-03-30,84.3,84.3,85.2,83.5,84.8,120000.0
2007-04-02,85.1,85.1,85.1,84.3,84.3,76800.0
2007-04-03,86.6,86.6,86.8,85.5,85.5,149600.0
2007-04-04,87.9,87.9,88.3,86.0,86.4,157000.0
2007-04-05,88.9,88.9,89.2,87.7,87.9,114700.0
2007-04-09,90.0,90.0,91.7,89.0,89.1,433500.0
2007-04-10,90.9,90.9,91.0,89.3,89.7,157400.0
2007-04-11,92.0,92.0,92.0,89.9,90.9,229300.0
2007-04-12,92.8,92.8,93.7,91.5,91.8,322100.0
2007-04-13,90.8,90.8,93.0,90.5,92.6,208200.0
2007-04-16,90.2,90.2,91.7,90.0,90.7,226400.0
2007-04-17,90.8,90.8,91.1,89.8,90.3,198000.0
2007-04-18,89.9,89.9,90.7,89.5,90.1,309000.0
2007-04-19,89.1,89.1,90.0,88.8,89.4,239700.0
2007-04-20,89.5,89.5,91.2,89.2,89.2,331900.0
2007-04-23,89.4,89.4,90.0,88.2,89.9,125100.0
2007-04-24,89.2,89.2,89.8,88.9,89.4,114500.0
2007-04-25,88.3,88.3,90.5,87.7,90.5,303800.0
2007-04-26,82.9,82.9,88.6,82.8,87.9,602800.0
2007-04-27,79.0,79.0,82.1,75.2,81.2,1272900.0
2007-04-30,78.4,78.4,79.7,78.0,79.0,456200.0
2007-05-01,78.0,78.0,79.2,77.0,78.4,402800.0
2007-05-02,78.7,78.7,79.0,77.7,77.7,239400.0
2007-05-03,80.1,80.1,80.4,78.1,78.7,256000.0
2007-05-04,80.1,80.1,80.5,79.1,80.2,255100.0
2007-05-07,80.2,80.2,80.8,79.2,79.7,216500.0
2007-05-08,81.2,81.2,81.5,80.0,80.2,319000.0
2007-05-09,81.2,81.2,81.7,80.2,81.2,202700.0
2007-05-10,81.0,81.0,81.7,80.2,80.7,261500.0
2007-05-11,82.5,82.5,83.6,80.8,81.9,338200.0
2007-05-14,82.1,82.1,83.4,81.9,82.4,386800.0
2007-05-15,83.0,83.0,83.8,81.8,82.2,292200.0
2007-05-16,82.3,82.3,83.1,80.5,82.9,212100.0
2007-05-17,82.2,82.2,82.4,81.7,82.0,113400.0
2007-05-18,83.4,83.4,83.8,81.9,82.3,184500.0
2007-05-21,83.8,83.8,84.7,82.7,82.8,209500.0
2007-05-22,84.2,84.2,84.5,83.3,83.5,100100.0
2007-05-23,84.0,84.0,85.0,83.9,84.6,74600.0
2007-05-24,84.0,84.0,84.5,81.8,83.4,354600.0
2007-05-25,85.2,85.2,85.3,83.7,83.8,103100.0
2007-05-29,85.5,85.5,85.8,84.4,84.9,202000.0
2007-05-30,84.9,84.9,84.9,82.6,84.0,144200.0
2007-05-31,83.2,83.2,85.6,83.1,85.0,427100.0
2007-06-01,83.1,83.1,84.3,82.8,83.2,320100.0
2007-06-04,84.1,84.1,84.1,82.5,82.7,137300.0
