,Adj Close,Close,High,Low,Open,Volume
2007-01-03,50.98,74.97,75.98,74.4,75.45,3955300.0
2007-01-04,51.06,75.09,75.5,74.52,75.25,2306000.0
2007-01-05,50.42,74.15,75.04,73.62,75.04,3602400.0
2007-01-08,50.57,74.38,74.59,73.74,74.16,2354800.0
2007-01-09,50.37,74.08,75.0,73.91,74.98,3322200.0
2007-01-10,50.06,73.63,73.85,73.25,73.75,2895100.0
2007-01-11,50.08,73.65,73.88,73.55,73.63,3060900.0
2007-01-12,50.61,74.44,74.47,73.35,73.65,3027600.0
2007-01-16,50.91,74.88,75.35,74.61,74.8,3693000.0
2007-01-17,51.0,75.0,75.22,74.68,74.95,2737600.0
2007-01-18,50.87,74.81,75.4,74.62,75.12,2895700.0
2007-01-19,51.01,75.02,75.3,74.75,75.3,4242100.0
2007-01-22,50.51,74.28,75.17,73.72,75.05,3972600.0
2007-01-23,50.06,73.62,74.29,73.42,74.29,2702800.0
2007-01-24,50.62,74.45,74.82,73.62,73.9,3481600.0
2007-01-25,50.05,73.61,74.45,73.43,74.44,2706500.0
2007-01-26,49.29,72.49,73.8,72.21,73.8,4726200.0
2007-01-29,50.08,73.65,73.82,72.47,72.5,3937400.0
2007-01-30,49.43,72.7,72.7,70.38,71.17,12995800.0
2007-01-31,49.15,72.28,72.61,71.5,72.3,6078800.0
2007-02-01,50.07,73.64,73.74,72.74,72.85,4495700.0
2007-02-02,50.43,74.17,74.48,73.5,73.57,5510000.0
2007-02-05,50.1,73.68,74.33,73.65,74.18,2751500.0
2007-02-06,50.27,73.93,74.0,73.66,73.7,2259700.0
2007-02-07,50.26,73.92,74.16,73.46,74.16,2461100.0
2007-02-08,49.86,73.33,73.93,73.21,73.92,2348500.0
2007-02-09,50.02,73.56,74.24,73.28,74.12,3573800.0
2007-02-12,50.23,73.87,74.09,73.68,73.95,2636700.0
2007-02-13,50.58,74.39,74.45,73.57,73.9,3617300.0
2007-02-14,51.01,75.02,75.32,74.51,74.51,4576900.0
2007-02-15,50.93,74.48,75.19,74.39,75.0,3738800.0
2007-02-16,50.63,74.04,74.6,73.83,74.2,3249700.0
2007-02-20,50.53,73.9,74.24,73.7,74.0,2550200.0
2007-02-21,50.46,73.8,74.1,73.45,73.77,2891300.0
2007-02-22,50.19,73.4,74.18,73.26,73.77,2760600.0
2007-02-23,50.15,73.34,73.4,72.75,73.4,3844700.0
2007-02-26,49.77,72.79,73.74,72.69,73.48,3836400.0
2007-02-27,48.02,70.23,72.6,70.0,72.6,6281200.0
2007-02-28,47.99,70.19,70.93,69.93,70.4,7900600.0
2007-03-01,47.95,70.12,70.3,68.66,69.4,4972800.0
2007-03-02,47.5,69.47,70.1,69.34,69.95,3676800.0
2007-03-05,47.66,69.7,70.11,68.75,69.27,7667000.0
2007-03-06,47.8,69.91,70.24,69.42,70.0,4800800.0
2007-03-07,47.86,70.0,70.35,69.78,69.91,4024800.0
2007-03-08,47.78,69.87,70.5,69.75,70.09,3170600.0
2007-03-09,48.29,70.63,70.99,70.37,70.95,3071500.0
2007-03-12,48.65,71.15,71.39,70.62,70.88,3238800.0
2007-03-13,47.8,69.91,70.98,69.76,70.5,4159900.0
2007-03-14,48.02,70.23,70.32,68.75,70.12,5049200.0
