,Adj Close,Close,High,Low,Open,Volume
2007-01-03,25.89,25.89,26.14,25.54,25.6,971800.0
2007-01-04,25.46,25.46,25.91,25.45,25.79,1225800.0
2007-01-05,25.03,25.03,25.41,24.9,25.41,894200.0
2007-01-08,24.81,24.81,25.03,24.69,25.03,879000.0
2007-01-09,24.96,24.96,25.09,24.7,24.81,783600.0
2007-01-10,25.16,25.16,25.23,24.57,24.86,773500.0
2007-01-11,25.31,25.31,25.53,25.25,25.26,610000.0
2007-01-12,25.26,25.26,25.39,25.06,25.38,442000.0
2007-01-16,25.09,25.09,25.36,25.08,25.33,618400.0
2007-01-17,25.1,25.1,25.35,25.05,25.19,741100.0
2007-01-18,24.94,24.94,25.2,24.92,25.12,804300.0
2007-01-19,25.26,25.26,25.27,24.81,24.97,585200.0
2007-01-22,25.19,25.19,25.36,25.15,25.26,641500.0
2007-01-23,25.7,25.7,26.15,25.18,25.23,597800.0
2007-01-24,25.95,25.95,26.45,25.6,25.71,900300.0
2007-01-25,25.06,25.06,25.86,24.9,25.85,1121100.0
2007-01-26,24.93,24.93,25.38,24.65,25.19,782700.0
2007-01-29,24.84,24.84,25.31,24.79,24.97,908700.0
2007-01-30,24.96,24.96,25.01,24.82,24.98,653000.0
2007-01-31,25.75,25.75,25.77,24.84,25.01,1085900.0
2007-02-01,27.07,27.07,27.23,25.75,25.81,1942400.0
2007-02-02,27.75,27.75,27.77,27.02,27.08,1646500.0
2007-02-05,27.47,27.47,27.76,27.39,27.76,505500.0
2007-02-06,28.38,28.38,28.71,27.54,27.57,1771000.0
2007-02-07,28.81,28.81,28.83,28.28,28.38,1093300.0
2007-02-08,28.13,28.13,28.88,28.04,28.86,1334600.0
2007-02-09,27.79,27.79,28.36,27.67,28.14,829400.0
2007-02-12,28.26,28.26,28.36,27.7,27.85,992300.0
2007-02-13,28.4,28.4,28.76,28.32,28.4,584000.0
2007-02-14,28.74,28.74,28.8,28.35,28.48,902500.0
2007-02-15,29.56,29.56,29.68,28.79,28.79,1301500.0
2007-02-16,29.3,29.3,29.63,28.97,29.58,939500.0
2007-02-20,29.19,29.19,29.32,28.98,29.2,654900.0
2007-02-21,29.05,29.05,29.35,28.93,29.1,838000.0
2007-02-22,28.99,28.99,29.23,28.71,29.07,665000.0
2007-02-23,29.0,29.0,29.02,28.47,28.91,898800.0
2007-02-26,28.9,28.9,29.19,28.76,29.0,1658000.0
2007-02-27,28.71,28.71,29.28,28.01,28.51,1988400.0
2007-02-28,28.56,28.56,28.96,28.41,28.7,1501400.0
2007-03-01,27.98,27.98,28.45,27.57,28.45,1596100.0
2007-03-02,27.53,27.53,27.98,27.51,27.98,1043700.0
2007-03-05,26.73,26.73,27.4,26.71,27.3,987800.0
2007-03-06,27.31,27.31,27.54,26.8,26.95,997100.0
2007-03-07,28.21,28.21,28.4,27.14,27.31,1201400.0
2007-03-08,28.34,28.34,28.88,28.12,28.3,1670500.0
2007-03-09,28.1,28.1,28.54,27.95,28.54,658000.0
2007-03-12,27.99,27.99,28.19,27.58,28.09,887900.0
2007-03-13,26.93,26.93,27.87,26.77,27.87,966200.0
2007-03-14,26.88,26.88,27.2,26.35,27.0,688000.0
2007-03-15,27.43,27.43,27.56,26.9,26.9,1253000.0
2007-03-16,27.07,27.07,27.63,27.02,27.43,672000.0
2007-03-19,27.09,27.09,27.52,26.98,27.28,711700.0
2007-03-20,27.12,27.12,27.28,26.96,27.09,884100.0
2007-03-21,28.01,28.01,28.09,27.05,27.12,1381700.0
2007-03-22,27.94,27.94,28.2,27.83,28.01,625200.0
2007-03-23,27.99,27.99,28.05,27.77,28.0,396000.0
2007-03-26,28.01,28.01,28.83,27.86,28.83,509600.0
2007-03-27,27.95,27.95,28.02,27.83,28.02,733300.0
2007-03-28,27.8,27.8,27.97,27.73,27.91,609500.0
2007-03-29,27.43,27.43,28.0,27.34,27.91,825100.0
2007-03-30,27.5,27.5,27.65,27.39,27.5,742600.0
2007-04-02,27.35,27.35,27.6,27.23,27.48,491100.0
2007-04-03,27.74,27.74,27.8,27.41,27.45,1051800.0
2007-04-04,27.76,27.76,27.79,27.51,27.79,901400.0
2007-04-05,27.8,27.8,28.0,27.71,27.77,453500.0
2007-04-09,27.55,27.55,27.98,27.5,27.89,457600.0
2007-04-10,32.36,32.36,33.4,30.96,32.95,11915700.0
2007-04-11,31.31,31.31,32.13,31.07,32.12,3434200.0
2007-04-12,31.42,31.42,32.04,31.16,31.32,1387200.0
2007-04-13,31.16,31.16,31.48,30.89,31.45,827600.0
2007-04-16,31.87,31.87,32.03,31.18,31.19,2026900.0
2007-04-17,32.41,32.41,32.51,31.69,32.07,2508500.0
2007-04-18,32.47,32.47,32.6,32.14,32.41,1301300.0
2007-04-19,32.18,32.18,32.55,31.94,32.28,866300.0
2007-04-20,32.25,32.25,32.68,31.93,32.43,1113700.0
2007-04-23,32.46,32.46,32.65,32.09,32.32,2380200.0
2007-04-24,32.52,32.52,32.57,32.03,32.44,1495700.0
2007-04-25,32.73,32.73,32.99,32.51,32.77,1624000.0
2007-04-26,33.51,33.51,33.84,32.59,32.7,2616600.0
2007-04-27,33.64,33.64,33.99,33.4,33.46,1501500.0
2007-04-30,33.5,33.5,33.93,33.48,33.6,2079300.0
2007-05-01,33.42,33.42,33.72,32.92,33.5,1330200.0
2007-05-02,33.53,33.53,34.13,33.46,33.5,2381200.0
2007-05-03,33.85,33.85,34.45,33.51,33.85,1566500.0
2007-05-04,33.7,33.7,34.05,33.38,34.01,962800.0
2007-05-07,33.48,33.48,33.8,33.16,33.8,1044900.0
2007-05-08,34.0,34.0,34.08,33.37,33.48,3133700.0
2007-05-09,33.93,33.93,34.05,33.66,33.85,758800.0
2007-05-10,33.85,33.85,33.99,33.55,33.83,990700.0
2007-05-11,34.58,34.58,34.63,33.85,34.38,786900.0
2007-05-14,34.5,34.5,35.56,34.18,34.52,1204300.0
2007-05-15,34.15,34.15,35.08,34.03,34.5,1477800.0
2007-05-16,34.43,34.43,34.45,33.9,34.2,525800.0
2007-05-17,34.37,34.37,34.78,34.3,34.55,538700.0
2007-05-18,34.64,34.64,34.74,34.14,34.42,571200.0
2007-05-21,34.7,34.7,34.9,34.42,34.56,619600.0
2007-05-22,34.46,34.46,34.84,34.4,34.7,486900.0
2007-05-23,33.88,33.88,34.97,33.8,34.56,1527100.0
2007-05-24,32.85,32.85,33.81,32.65,33.8,2117200.0
2007-05-25,33.75,33.75,33.89,33.02,33.02,951700.0
2007-05-29,33.36,33.36,33.99,33.21,33.65,922800.0
2007-05-30,33.49,33.49,33.58,33.08,33.26,950500.0
2007-05-31,33.55,33.55,33.75,33.32,33.55,915000.0
2007-06-01,34.0,34.0,34.07,33.7,33.71,886700.0
2007-06-04,34.02,34.02,34.13,33.7,34.0,631400.0
2007-06-05,33.77,33.77,34.09,33.73,33.85,1036600.0
2007-06-06,33.61,33.61,33.85,33.47,33.7,1183000.0
2007-06-07,32.88,32.88,33.94,32.88,32.95,1266500.0
2007-06-08,33.32,33.32,33.35,32.6,32.72,1039900.0
2007-06-11,33.36,33.36,33.6,33.19,33.37,846400.0
2007-06-12,33.08,33.08,33.41,33.02,33.22,877100.0
2007-06-13,33.4,33.4,33.5,32.92,33.11,434000.0
2007-06-14,33.22,33.22,33.62,33.21,33.37,770600.0
2007-06-15,33.28,33.28,33.76,33.21,33.47,832200.0
2007-06-18,33.74,33.74,33.74,33.26,33.3,412400.0
2007-06-19,33.86,33.86,34.04,33.85,33.85,677500.0
2007-06-20,33.29,33.29,34.03,33.23,33.87,702400.0
2007-06-21,32.95,32.95,33.15,32.63,33.14,1090600.0
2007-06-22,32.74,32.74,33.49,32.69,32.9,1074600.0
2007-06-25,32.18,32.18,32.99,32.13,32.72,992400.0
2007-06-26,31.96,31.96,32.35,31.57,32.35,1012600.0
2007-06-27,32.18,32.18,32.23,31.35,31.7,885600.0
2007-06-28,32.47,32.47,33.14,32.2,32.2,1194500.0
2007-06-29,32.54,32.54,32.81,32.3,32.6,927600.0
2007-07-02,33.0,33.0,33.13,32.51,32.61,957500.0
2007-07-03,33.03,33.03,33.1,32.91,33.04,379200.0
2007-07-05,32.9,32.9,33.1,32.41,33.0,885800.0
2007-07-06,33.35,33.35,33.39,32.61,32.98,632400.0
2007-07-09,34.02,34.02,34.51,33.2,33.4,1211600.0
2007-07-10,32.98,32.98,33.86,32.92,33.85,1222500.0
2007-07-11,32.89,32.89,33.35,32.53,33.07,1234500.0
2007-07-12,34.07,34.07,34.74,33.2,33.25,4005500.0
2007-07-13,34.63,34.63,34.98,33.75,33.9,2613800.0
2007-07-16,34.18,34.18,34.51,34.0,34.51,1130600.0
2007-07-17,34.3,34.3,34.59,33.78,34.17,849400.0
2007-07-18,33.9,33.9,34.32,33.66,34.21,1346000.0
2007-07-19,33.52,33.52,34.36,33.4,34.15,888400.0
2007-07-20,32.37,32.37,33.4,32.07,33.33,2099900.0
2007-07-23,32.98,32.98,33.18,32.74,33.15,9758800.0
2007-07-24,32.42,32.42,32.93,32.26,32.86,3945300.0
2007-07-25,32.5,32.5,32.6,32.03,32.42,3174200.0
2007-07-26,32.12,32.12,32.5,31.28,32.1,3008800.0
2007-07-27,32.25,32.25,32.76,31.58,32.0,3545300.0
2007-07-30,32.38,32.38,32.66,32.2,32.3,2247200.0
2007-07-31,32.14,32.14,32.65,31.92,32.49,1955900.0
2007-08-01,31.8,31.8,32.4,31.77,31.98,3257100.0
2007-08-02,31.87,31.87,31.95,31.4,31.5,4103800.0
2007-08-03,31.59,31.59,31.96,31.4,31.67,3467100.0
2007-08-06,31.03,31.03,31.9,30.74,31.7,2604100.0
2007-08-07,31.58,31.58,32.02,30.68,31.16,1343400.0
2007-08-08,31.74,31.74,32.1,31.6,31.7,1303200.0
2007-08-09,31.1,31.1,32.48,30.95,31.53,2103400.0
2007-08-10,31.16,31.16,31.38,28.55,30.8,2112800.0
2007-08-13,31.09,31.09,31.79,31.0,31.47,639900.0
2007-08-14,30.5,30.5,31.16,30.31,31.03,1198700.0
2007-08-15,30.4,30.4,30.75,29.97,30.41,1176500.0
