,Adj Close,Close,High,Low,Open,Volume
2007-01-03,75.66,89.95,91.85,89.17,90.23,550400.0
2007-01-04,75.44,89.69,90.63,89.2,90.04,383700.0
2007-01-05,74.23,88.26,89.39,87.7,89.35,680300.0
2007-01-08,74.74,88.86,88.94,87.27,88.26,734000.0
2007-01-09,75.49,89.75,90.1,88.85,88.89,488800.0
2007-01-10,75.76,90.07,90.23,88.59,89.5,418300.0
2007-01-11,77.09,91.65,92.12,90.05,90.32,511200.0
2007-01-12,78.32,93.12,93.12,91.02,91.35,516700.0
2007-01-16,79.58,94.62,94.63,92.75,93.05,615300.0
2007-01-17,80.54,95.76,95.88,94.11,94.62,808200.0
2007-01-18,80.37,95.56,96.39,94.98,95.8,735000.0
2007-01-19,81.41,96.79,97.12,95.6,96.0,1003700.0
2007-01-22,80.74,96.0,97.1,95.74,96.8,566200.0
2007-01-23,84.19,100.1,100.23,96.0,96.15,1087200.0
2007-01-24,85.58,101.75,102.83,99.3,100.0,1256900.0
2007-01-25,84.75,100.76,102.06,99.79,101.5,833100.0
2007-01-26,84.65,100.65,101.19,99.97,100.83,422200.0
2007-01-29,84.6,100.59,100.95,100.28,100.89,483700.0
2007-01-30,85.04,101.11,101.29,100.09,100.62,621100.0
2007-01-31,85.66,101.84,102.46,100.5,100.72,779700.0
2007-02-01,86.81,103.21,104.9,103.0,103.75,1279100.0
2007-02-02,86.66,103.03,103.79,102.33,103.21,707700.0
2007-02-05,88.68,105.43,106.21,103.2,103.55,1036500.0
2007-02-06,89.93,106.92,107.09,105.45,105.6,735700.0
2007-02-07,90.08,107.1,107.4,106.39,107.3,425000.0
2007-02-08,91.85,109.2,110.13,106.51,107.1,1083100.0
2007-02-09,91.84,109.19,110.97,108.46,109.25,1351900.0
2007-02-12,90.98,108.17,109.23,107.35,108.35,830600.0
2007-02-13,93.7,111.41,111.87,108.83,108.85,792300.0
2007-02-14,94.03,111.8,113.38,111.5,111.66,661900.0
2007-02-15,94.46,112.31,112.5,111.2,111.95,477800.0
2007-02-16,94.04,111.81,112.38,110.19,112.26,507300.0
2007-02-20,93.48,111.14,112.68,109.09,109.55,1925600.0
2007-02-21,103.03,121.99,125.79,109.77,110.68,5744300.0
2007-02-22,100.93,119.5,124.0,118.68,122.0,2748300.0
2007-02-23,101.21,119.84,120.21,118.8,119.5,1146300.0
2007-02-26,101.13,119.74,121.39,118.63,120.02,1311400.0
2007-02-27,96.7,114.5,118.78,103.55,116.41,3062300.0
2007-02-28,98.52,116.65,116.87,113.0,114.04,2271400.0
2007-03-01,99.86,118.24,119.8,110.0,114.8,1951200.0
2007-03-02,98.89,117.09,119.1,116.27,118.24,1185500.0
2007-03-05,95.83,113.46,116.6,113.29,116.6,1210300.0
2007-03-06,96.99,114.84,115.74,113.77,114.9,894700.0
2007-03-07,98.95,117.16,118.81,114.09,114.42,1134300.0
2007-03-08,101.29,119.93,120.45,118.6,119.38,832200.0
2007-03-09,100.19,118.63,120.53,118.17,120.21,1054600.0
2007-03-12,100.77,119.31,120.19,118.44,118.73,1000000.0
2007-03-13,97.98,116.01,119.31,115.43,119.31,1460500.0
2007-03-14,97.43,115.36,117.58,114.08,116.55,1659900.0
2007-03-15,99.04,117.26,118.21,115.52,115.77,1096200.0
2007-03-16,97.12,114.99,118.17,114.52,118.17,1430300.0
2007-03-19,97.53,115.48,115.9,114.71,115.24,853200.0
2007-03-20,99.16,117.41,117.63,114.88,116.0,881600.0
2007-03-21,101.17,119.79,120.47,117.02,117.21,1279500.0
2007-03-22,101.02,119.61,121.26,118.32,120.59,597600.0
2007-03-23,100.59,119.1,120.73,118.5,119.86,456700.0
2007-03-26,100.06,118.47,119.35,116.68,119.22,542100.0
2007-03-27,98.81,116.99,118.52,115.85,117.78,529100.0
2007-03-28,98.01,116.05,117.41,115.06,116.99,916800.0
2007-03-29,98.71,116.87,117.57,114.93,116.3,794000.0
2007-03-30,98.38,116.48,117.97,114.76,116.88,578200.0
2007-04-02,97.94,115.96,117.25,115.5,116.43,620200.0
2007-04-03,100.35,118.82,119.09,115.96,115.96,834600.0
2007-04-04,99.68,118.02,119.45,117.72,118.97,422200.0
2007-04-05,100.05,118.46,118.8,117.58,118.07,372500.0
2007-04-09,99.76,118.12,118.95,117.22,118.5,335900.0
2007-04-10,100.45,118.93,121.57,118.23,118.23,1051400.0
2007-04-11,98.09,116.14,119.0,115.71,118.84,821200.0
2007-04-12,97.97,116.0,116.26,114.6,116.2,1215300.0
2007-04-13,96.56,114.33,116.08,113.54,116.0,846500.0
2007-04-16,98.72,116.89,117.3,112.63,112.63,1156300.0
2007-04-17,97.18,115.06,116.9,113.86,116.9,991400.0
2007-04-18,95.9,113.55,115.06,111.87,115.06,1293200.0
2007-04-19,96.07,113.75,115.25,111.8,115.25,1223900.0
2007-04-20,98.81,116.99,117.37,115.47,115.51,1183400.0
2007-04-23,99.48,117.79,118.28,116.55,116.99,612700.0
2007-04-24,99.2,117.46,117.84,115.09,117.79,959000.0
2007-04-25,101.16,119.77,120.14,117.5,118.22,888500.0
2007-04-26,102.65,121.54,121.75,119.07,119.5,979400.0
2007-04-27,103.17,122.16,122.94,120.0,121.5,1132200.0
2007-04-30,104.45,123.67,128.62,123.67,123.75,1971700.0
2007-05-01,97.35,115.27,121.73,114.78,116.0,4140100.0
2007-05-02,98.55,116.69,119.7,115.0,115.92,1487200.0
2007-05-03,100.18,118.61,119.84,116.02,117.17,1435500.0
2007-05-04,100.05,118.46,119.77,118.13,119.18,794900.0
2007-05-07,100.29,118.74,119.69,118.01,118.4,666300.0
2007-05-08,99.9,118.28,118.41,116.54,117.74,760900.0
2007-05-09,98.72,116.89,118.26,115.84,118.25,1056500.0
2007-05-10,96.13,113.82,116.75,113.62,116.09,1056000.0
2007-05-11,97.01,114.86,115.17,112.88,114.64,999500.0
2007-05-14,94.39,111.76,114.9,111.46,114.86,1385700.0
2007-05-15,94.88,112.34,113.19,111.51,112.0,1049600.0
2007-05-16,96.92,114.76,114.96,112.75,113.17,850600.0
