,Adj Close,Close,High,Low,Open,Volume
2007-01-03,20.44,24.07,24.55,23.84,24.24,5399400.0
2007-01-04,20.87,24.58,24.63,23.84,24.23,4156800.0
2007-01-05,20.88,24.59,24.62,24.2,24.59,3667800.0
2007-01-08,20.74,24.42,24.7,24.29,24.43,2969800.0
2007-01-09,20.74,24.42,24.63,24.27,24.45,2767400.0
2007-01-10,20.77,24.46,24.56,23.93,24.18,2803000.0
2007-01-11,20.9,24.61,24.7,24.31,24.56,3136600.0
2007-01-12,20.82,24.52,24.79,24.34,24.6,2360700.0
2007-01-16,20.89,24.6,24.71,24.27,24.52,2729400.0
2007-01-17,20.61,24.27,24.64,24.19,24.57,3821100.0
2007-01-18,20.05,23.61,24.25,23.56,24.15,3436600.0
2007-01-19,19.86,23.39,23.6,23.21,23.42,3556100.0
2007-01-22,19.64,23.13,24.5,22.98,24.5,3430800.0
2007-01-23,19.47,22.93,23.33,22.92,23.13,2340900.0
2007-01-24,19.98,23.53,23.73,23.03,23.1,3271000.0
2007-01-25,19.73,23.24,23.88,23.12,23.28,3040500.0
2007-01-26,20.34,23.95,24.14,23.3,23.36,4441800.0
2007-01-29,20.29,23.9,24.25,23.63,23.98,4036400.0
2007-01-30,20.57,24.22,24.63,23.77,23.89,3042200.0
2007-01-31,20.29,23.9,24.23,23.22,24.23,4322000.0
2007-02-01,22.07,25.99,26.01,24.82,24.85,10097600.0
2007-02-02,21.7,25.55,26.09,25.46,25.88,4550300.0
2007-02-05,21.82,25.7,25.86,25.49,25.49,2512700.0
2007-02-06,21.88,25.77,25.84,25.15,25.7,2552600.0
2007-02-07,22.2,26.14,26.3,25.64,25.71,2645000.0
2007-02-08,22.11,26.04,26.28,25.87,26.01,1981500.0
2007-02-09,21.85,25.73,26.78,25.6,26.12,3362100.0
2007-02-12,21.85,25.73,26.0,25.62,25.76,1883800.0
2007-02-13,21.67,25.52,26.04,25.49,25.71,1959100.0
2007-02-14,22.2,26.14,26.58,25.56,25.7,3127500.0
2007-02-15,22.24,26.19,26.25,25.94,26.25,1878900.0
2007-02-16,22.18,26.12,26.52,26.08,26.15,2523200.0
2007-02-20,22.29,26.25,26.51,25.59,25.97,1702100.0
2007-02-21,22.32,26.29,26.35,26.03,26.16,1333100.0
2007-02-22,22.37,26.34,26.43,26.2,26.27,2059700.0
2007-02-23,22.23,26.18,26.55,26.07,26.43,3472000.0
2007-02-26,22.14,26.07,26.42,25.81,26.29,1874700.0
2007-02-27,21.33,25.12,26.09,25.07,25.93,3479800.0
2007-02-28,21.48,25.3,25.45,24.72,24.78,3763000.0
2007-03-01,20.97,24.69,25.15,24.16,24.32,3409100.0
2007-03-02,20.73,24.41,25.02,24.4,24.73,2302400.0
2007-03-05,20.52,24.16,24.58,24.08,24.18,2233200.0
2007-03-06,20.82,24.52,24.7,24.15,24.23,1888500.0
2007-03-07,20.8,24.5,24.68,24.25,24.36,2684800.0
2007-03-08,20.9,24.61,24.8,24.47,24.68,2127600.0
2007-03-09,20.87,24.58,24.95,24.35,24.92,2207200.0
2007-03-12,20.58,24.24,24.62,24.19,24.45,2149300.0
2007-03-13,20.24,23.84,24.33,23.79,24.06,2534500.0
2007-03-14,20.98,24.71,24.88,23.78,23.81,4070700.0
2007-03-15,21.05,24.79,25.17,24.68,24.71,2908300.0
2007-03-16,20.84,24.54,24.89,24.52,24.74,2846700.0
2007-03-19,21.11,24.86,25.03,24.55,24.55,1958100.0
2007-03-20,21.25,25.03,25.15,24.76,24.94,1460200.0
2007-03-21,21.71,25.57,25.58,24.83,24.89,2039700.0
