,Adj Close,Close,High,Low,Open,Volume
2007-01-03,35.37,46.07,46.69,45.6,45.89,6294500.0
2007-01-04,35.43,46.16,46.28,45.72,45.78,3681800.0
2007-01-05,34.93,45.5,46.31,45.39,46.01,3680900.0
2007-01-08,35.07,45.69,45.74,44.93,45.37,4720800.0
2007-01-09,35.26,45.93,46.08,45.6,45.75,3792500.0
2007-01-10,34.99,45.58,45.94,45.45,45.59,3663400.0
2007-01-11,35.36,46.06,46.1,45.47,45.58,4501600.0
2007-01-12,35.47,46.2,46.39,45.6,46.06,3305300.0
2007-01-16,35.38,46.09,46.4,45.9,46.01,2725900.0
2007-01-17,35.7,46.51,46.55,45.8,45.99,3922900.0
2007-01-18,35.62,46.4,46.6,46.03,46.52,3236900.0
2007-01-19,35.32,46.01,46.5,46.01,46.49,3092400.0
2007-01-22,35.16,45.8,46.21,45.49,46.21,3933400.0
2007-01-23,34.99,45.58,45.92,45.31,45.77,3020600.0
2007-01-24,34.94,45.51,45.94,45.15,45.53,4264300.0
2007-01-25,34.65,45.14,45.54,45.05,45.27,4029200.0
2007-01-26,34.69,45.19,45.34,44.8,45.2,3438600.0
2007-01-29,34.85,45.4,45.58,44.93,45.23,3658100.0
2007-01-30,34.73,45.24,45.84,45.05,45.53,3762100.0
2007-01-31,34.77,45.3,45.5,44.81,45.29,4550300.0
2007-02-01,35.11,45.74,45.88,45.28,45.32,5131100.0
2007-02-02,34.79,45.32,45.99,45.3,45.74,3692700.0
2007-02-05,34.47,44.9,45.38,44.83,45.32,3681200.0
2007-02-06,34.82,45.36,45.44,44.74,44.9,3606900.0
2007-02-07,34.87,45.43,45.75,45.07,45.37,3534300.0
2007-02-08,35.13,45.76,45.78,45.16,45.43,3994800.0
2007-02-09,34.87,45.43,45.85,45.37,45.71,2676200.0
2007-02-12,34.62,45.1,45.5,45.08,45.41,4630200.0
2007-02-13,34.58,45.05,45.26,44.83,45.11,3620600.0
2007-02-14,34.55,44.93,45.2,44.81,44.94,3354000.0
2007-02-15,35.45,46.1,46.31,44.93,44.93,6269500.0
2007-02-16,35.38,46.01,46.14,45.55,46.06,3913700.0
2007-02-20,35.62,46.32,46.49,45.8,45.83,3462700.0
2007-02-21,35.28,45.88,46.42,45.79,46.3,3649600.0
2007-02-22,35.07,45.61,45.83,45.13,45.79,4137500.0
2007-02-23,34.85,45.32,45.75,45.21,45.64,3661200.0
2007-02-26,35.0,45.52,45.57,45.13,45.33,3486600.0
2007-02-27,34.31,44.62,45.39,43.39,45.17,5873800.0
2007-02-28,34.37,44.7,45.18,44.41,45.05,5491200.0
2007-03-01,34.32,44.63,44.85,43.32,44.02,4655500.0
2007-03-02,33.96,44.16,44.61,43.82,44.24,6861300.0
2007-03-05,33.77,43.91,44.75,43.23,43.47,5495000.0
2007-03-06,34.18,44.45,44.61,43.8,44.2,4921400.0
2007-03-07,33.87,44.05,44.5,43.91,44.22,4115800.0
2007-03-08,34.31,44.62,45.18,44.06,44.2,5775600.0
2007-03-09,34.29,44.59,44.91,44.35,44.62,3947800.0
2007-03-12,34.44,44.79,44.95,44.42,44.52,3340800.0
2007-03-13,33.94,44.14,45.42,44.11,44.46,6790100.0
2007-03-14,34.3,44.6,45.05,43.91,44.28,7327400.0
2007-03-15,35.16,45.72,46.21,44.35,44.5,9551100.0
2007-03-16,35.57,46.26,46.7,45.44,45.74,9581800.0
2007-03-19,35.78,46.53,46.95,46.43,46.74,6307900.0
2007-03-20,35.66,46.37,46.82,46.15,46.52,5361700.0
2007-03-21,36.2,47.07,47.18,46.05,46.37,8700800.0
2007-03-22,36.43,47.37,47.41,46.51,47.25,4215500.0
2007-03-23,36.73,47.77,47.86,47.01,47.34,4247600.0
2007-03-26,36.37,47.3,49.1,46.68,48.95,9782800.0
2007-03-27,36.1,46.94,47.32,46.83,47.11,5416000.0
2007-03-28,35.64,46.35,46.7,45.88,46.68,6319000.0
2007-03-29,35.53,46.2,46.61,45.92,46.36,4047700.0
2007-03-30,35.29,45.89,46.36,45.52,46.2,4593700.0
2007-04-02,35.23,45.81,46.01,45.56,45.74,3400800.0
2007-04-03,35.53,46.2,46.47,45.86,45.91,4259100.0
2007-04-04,35.37,46.0,46.37,45.83,46.3,3658500.0
2007-04-05,35.56,46.24,46.44,45.95,46.0,2889600.0
2007-04-09,35.83,46.6,46.72,45.97,46.3,4394600.0
2007-04-10,35.89,46.67,46.77,46.3,46.52,5542300.0
2007-04-11,35.37,45.99,46.67,45.69,46.67,5061200.0
2007-04-12,35.32,45.93,46.08,45.52,46.03,3060000.0
2007-04-13,35.31,45.92,46.61,45.65,46.61,2810900.0
