,Adj Close,Close,High,Low,Open,Volume
2007-01-03,16.05,21.29,21.99,21.26,21.8,103800.0
2007-01-04,15.83,21.0,21.29,20.98,21.28,95600.0
2007-01-05,16.18,21.47,21.59,21.0,21.0,446600.0
2007-01-08,16.36,21.71,21.75,20.98,21.48,95100.0
2007-01-09,16.39,21.75,21.75,21.41,21.64,54700.0
2007-01-10,16.13,21.4,21.75,21.36,21.75,74500.0
2007-01-11,16.51,21.9,21.94,21.4,21.4,218500.0
2007-01-12,16.47,21.85,21.93,21.75,21.93,132200.0
2007-01-16,16.35,21.69,21.95,21.57,21.74,38800.0
2007-01-17,16.27,21.58,21.81,21.5,21.58,37700.0
2007-01-18,16.39,21.74,21.74,21.43,21.52,52200.0
2007-01-19,16.37,21.72,21.79,21.45,21.79,81700.0
2007-01-22,16.06,21.3,21.76,21.01,21.62,51300.0
2007-01-23,15.96,21.18,21.34,21.15,21.21,48800.0
2007-01-24,16.11,21.37,21.54,21.2,21.26,56400.0
2007-01-25,15.97,21.19,21.4,20.97,21.37,57600.0
2007-01-26,15.94,21.15,21.15,20.75,21.12,42600.0
2007-01-29,15.8,20.96,21.33,20.86,21.11,58500.0
2007-01-30,15.93,21.13,21.21,20.94,21.06,40600.0
2007-01-31,16.01,21.24,21.24,20.96,21.18,69700.0
2007-02-01,15.95,21.16,21.24,21.08,21.24,74800.0
2007-02-02,16.03,21.26,21.28,21.09,21.18,99800.0
2007-02-05,15.92,21.12,21.4,21.06,21.28,21200.0
2007-02-06,15.9,21.09,21.2,20.5,21.12,44100.0
2007-02-07,15.94,21.15,21.38,21.08,21.1,44400.0
2007-02-08,15.93,21.14,21.39,21.06,21.2,50300.0
2007-02-09,15.78,20.93,21.23,20.67,21.2,55900.0
2007-02-12,15.84,21.01,21.08,20.9,21.0,26600.0
2007-02-13,16.02,21.25,21.37,21.03,21.11,40500.0
2007-02-14,15.88,21.07,21.45,21.06,21.34,41100.0
2007-02-15,15.9,21.1,21.22,20.96,20.96,22700.0
2007-02-16,15.78,20.93,21.1,20.75,21.1,28500.0
2007-02-20,15.81,20.98,21.05,20.85,20.95,52200.0
2007-02-21,15.82,20.99,21.01,20.93,20.96,51900.0
2007-02-22,15.84,21.01,21.18,20.82,20.93,39500.0
2007-02-23,15.71,20.84,21.06,20.78,21.01,33700.0
2007-02-26,15.44,20.48,20.84,20.32,20.84,31200.0
2007-02-27,14.83,19.6,20.34,19.58,20.15,41500.0
2007-02-28,14.77,19.52,19.78,19.44,19.73,57300.0
2007-03-01,14.62,19.32,19.59,19.1,19.5,92000.0
2007-03-02,14.68,19.4,19.99,19.4,19.72,242300.0
2007-03-05,13.81,18.25,19.3,18.13,19.3,141700.0
2007-03-06,13.94,18.42,18.54,18.15,18.27,213800.0
2007-03-07,13.75,18.17,18.48,18.17,18.47,154700.0
2007-03-08,14.42,19.06,19.29,18.19,18.19,248100.0
2007-03-09,14.23,18.81,19.19,18.71,19.16,118100.0
2007-03-12,14.4,19.03,19.19,18.75,18.75,41200.0
2007-03-13,14.17,18.72,19.04,18.58,19.0,43700.0
2007-03-14,14.23,18.81,19.01,18.52,18.72,62700.0
2007-03-15,14.35,18.97,19.08,18.82,18.82,22300.0
2007-03-16,14.34,18.95,19.14,18.88,19.04,23200.0
2007-03-19,14.53,19.2,19.29,18.93,18.96,44900.0
2007-03-20,14.58,19.27,19.45,19.09,19.23,37200.0
2007-03-21,14.61,19.31,19.45,19.01,19.23,98900.0
2007-03-22,14.39,19.02,19.5,18.89,19.42,98800.0
2007-03-23,14.6,19.3,19.35,19.0,19.08,34200.0
2007-03-26,14.54,19.22,19.37,19.03,19.3,42800.0
2007-03-27,14.44,19.08,19.29,19.0,19.12,61500.0
2007-03-28,14.17,18.73,19.1,18.58,19.1,79100.0
2007-03-29,14.07,18.6,18.82,18.38,18.72,113900.0
2007-03-30,14.17,18.73,18.98,18.5,18.57,172600.0
