,Adj Close,Close,High,Low,Open,Volume
2007-01-03,24.93,35.74,36.01,35.37,35.93,12447600.0
2007-01-04,24.97,35.8,36.02,35.54,35.74,11060500.0
2007-01-05,24.83,35.6,35.83,35.51,35.79,10329200.0
2007-01-08,24.76,35.5,35.89,35.39,35.61,11650400.0
2007-01-09,24.82,35.59,35.85,35.48,35.58,10159800.0
2007-01-10,24.74,35.48,35.65,35.37,35.42,9801800.0
2007-01-11,24.79,35.54,35.64,35.45,35.45,7089700.0
2007-01-12,24.77,35.51,35.72,35.4,35.54,10251800.0
2007-01-16,25.27,36.23,36.5,35.75,35.81,15186000.0
2007-01-17,25.3,36.27,36.48,36.05,36.31,11854100.0
2007-01-18,25.25,36.2,36.39,36.14,36.27,8292400.0
2007-01-19,25.14,36.04,36.33,35.87,36.29,10649900.0
2007-01-22,24.93,35.75,36.06,35.58,35.96,13683900.0
2007-01-23,25.11,36.01,36.05,35.56,35.8,8460900.0
2007-01-24,25.5,36.56,36.63,35.95,35.97,10893500.0
2007-01-25,25.16,36.08,36.64,36.02,36.46,8555000.0
2007-01-26,25.13,36.03,36.23,35.83,36.13,10103800.0
2007-01-29,25.07,35.95,36.12,35.85,35.91,13256200.0
2007-01-30,25.04,35.9,36.11,35.81,36.09,9689100.0
2007-01-31,25.25,35.92,36.0,35.47,35.48,8536500.0
2007-02-01,25.21,35.87,36.09,35.62,35.93,7875600.0
2007-02-02,25.21,35.86,36.05,35.77,35.87,6222200.0
2007-02-05,25.09,35.69,35.85,35.66,35.79,15495800.0
2007-02-06,25.23,35.9,36.02,35.75,35.79,9657100.0
2007-02-07,25.22,35.88,36.04,35.76,35.91,9411400.0
2007-02-08,25.0,35.56,35.81,35.36,35.81,11147500.0
2007-02-09,24.85,35.36,35.85,35.23,35.42,12378900.0
2007-02-12,25.02,35.6,35.63,35.37,35.48,8153500.0
2007-02-13,25.21,35.87,36.03,35.57,35.6,10409500.0
2007-02-14,25.31,36.01,36.2,35.82,35.88,10671900.0
2007-02-15,25.31,36.01,36.36,35.98,36.22,6591900.0
2007-02-16,25.14,35.76,36.28,35.55,36.27,11446000.0
2007-02-20,25.26,35.94,35.97,35.6,35.77,7986600.0
2007-02-21,25.43,36.18,36.28,35.82,35.94,12414900.0
2007-02-22,25.45,36.21,36.23,35.94,36.13,10513900.0
2007-02-23,25.04,35.63,36.21,35.54,36.17,15818200.0
2007-02-26,25.07,35.67,35.82,35.42,35.75,11862000.0
2007-02-27,24.17,34.39,35.5,33.8,35.15,15744000.0
2007-02-28,24.39,34.7,35.02,34.2,34.5,19013100.0
2007-03-01,24.36,34.66,34.91,34.21,34.5,18585400.0
2007-03-02,24.21,34.44,35.0,34.4,34.6,14720900.0
2007-03-05,23.92,34.03,34.65,33.98,34.0,15652700.0
2007-03-06,24.36,34.66,34.75,34.2,34.45,14467900.0
2007-03-07,24.12,34.32,34.73,34.29,34.52,10505800.0
2007-03-08,24.26,34.51,34.78,34.45,34.62,9772400.0
2007-03-09,24.25,34.5,34.84,34.48,34.78,10890000.0
2007-03-12,24.27,34.53,34.54,34.02,34.21,8307700.0
2007-03-13,23.53,33.47,34.44,33.42,34.26,21867900.0
2007-03-14,23.65,33.65,33.88,33.01,33.48,26108800.0
2007-03-15,23.97,34.1,34.55,33.52,33.62,20471200.0
2007-03-16,23.86,33.95,34.55,33.91,34.13,21731600.0
2007-03-19,24.07,34.25,34.44,34.09,34.09,12432400.0
2007-03-20,24.33,34.61,34.67,34.2,34.25,10092400.0
2007-03-21,24.94,35.48,35.56,34.33,34.66,16124700.0
2007-03-22,24.59,34.99,35.57,34.62,35.05,13373700.0
2007-03-23,24.57,34.96,35.17,34.81,35.02,9270700.0
2007-03-26,24.38,34.68,35.0,34.42,34.84,11924600.0
2007-03-27,24.18,34.4,34.95,34.39,34.5,14390400.0
2007-03-28,24.0,34.14,34.44,34.08,34.32,18239700.0
2007-03-29,24.28,34.54,34.68,34.23,34.5,10156800.0
2007-03-30,24.2,34.43,34.78,34.16,34.5,12506300.0
2007-04-02,23.91,34.01,34.45,33.93,34.42,19070700.0
2007-04-03,24.26,34.51,34.55,34.1,34.1,11247100.0
2007-04-04,24.14,34.34,34.55,34.3,34.55,8783800.0
2007-04-05,24.21,34.44,34.48,34.19,34.2,8935200.0
2007-04-09,24.16,34.37,34.43,34.22,34.41,10389300.0
2007-04-10,24.19,34.41,34.48,34.29,34.39,10856200.0
2007-04-11,24.02,34.17,34.54,34.17,34.43,16288300.0
2007-04-12,24.14,34.34,34.43,34.03,34.17,13058300.0
2007-04-13,24.34,34.63,34.74,34.1,34.15,11352900.0
2007-04-16,24.96,35.51,35.51,34.7,34.8,16418600.0
2007-04-17,24.78,35.25,35.85,35.09,35.69,15190100.0
2007-04-18,25.27,35.95,36.08,35.15,35.4,17211900.0
2007-04-19,25.4,36.14,36.22,35.6,35.85,11740400.0
2007-04-20,25.52,36.3,36.49,36.02,36.42,20674700.0
2007-04-23,25.32,36.02,36.42,36.01,36.37,9400400.0
2007-04-24,25.15,35.78,36.0,35.59,35.95,11667100.0
2007-04-25,25.5,36.28,36.33,35.83,35.83,17424400.0
2007-04-26,25.35,36.07,36.36,35.54,35.54,15068300.0
2007-04-27,25.26,35.94,36.08,35.8,35.97,8692500.0
2007-04-30,25.23,35.89,36.23,35.86,36.15,19273800.0
2007-05-01,25.33,36.04,36.15,35.72,36.03,10277400.0
2007-05-02,25.28,35.69,35.93,35.64,35.76,8231300.0
2007-05-03,25.39,35.84,35.98,35.7,35.72,6225100.0
2007-05-04,25.45,35.92,36.1,35.75,35.96,8103300.0
2007-05-07,25.55,36.07,36.17,35.91,35.92,8388900.0
2007-05-08,25.37,35.81,36.07,35.73,35.87,9384100.0
2007-05-09,25.58,36.11,36.22,35.72,35.75,11187600.0
2007-05-10,25.08,35.4,36.03,35.4,36.03,11804500.0
2007-05-11,25.16,35.52,35.8,35.42,35.52,13532500.0
2007-05-14,25.01,35.3,35.8,35.25,35.61,12078800.0
2007-05-15,25.08,35.41,35.84,35.3,35.45,11736100.0
2007-05-16,25.66,36.22,36.23,35.43,35.67,13810700.0
2007-05-17,25.67,36.24,36.3,36.0,36.05,9456600.0
2007-05-18,25.8,36.42,36.44,36.28,36.34,11731400.0
2007-05-21,25.72,36.31,36.49,36.13,36.45,15405800.0
2007-05-22,25.5,36.0,36.32,35.97,36.26,12812300.0
2007-05-23,25.57,36.09,36.19,35.9,36.06,14520200.0
2007-05-24,25.53,36.04,36.41,35.99,36.06,14604100.0
2007-05-25,25.59,36.13,36.14,35.9,36.07,7717100.0
2007-05-29,25.61,36.15,36.3,36.03,36.15,9657300.0
2007-05-30,25.67,36.23,36.25,35.95,36.06,9801600.0
2007-05-31,25.57,36.09,36.3,35.99,36.18,10211900.0
2007-06-01,25.79,36.4,36.47,36.05,36.09,9860900.0
2007-06-04,25.64,36.2,36.4,36.14,36.4,7486000.0
2007-06-05,25.44,35.91,36.16,35.75,36.11,13274400.0
2007-06-06,25.21,35.59,35.84,35.5,35.84,11550300.0
2007-06-07,24.84,35.06,35.73,35.04,35.56,12456600.0
2007-06-08,25.04,35.34,35.38,35.04,35.05,10598900.0
2007-06-11,25.13,35.48,35.69,35.21,35.27,7012700.0
2007-06-12,24.92,35.18,35.65,35.15,35.31,12201500.0
2007-06-13,25.46,35.94,35.98,35.21,35.3,10914500.0
2007-06-14,25.42,35.89,36.1,35.41,35.45,7805400.0
2007-06-15,25.48,35.97,36.47,35.95,36.0,13530400.0
2007-06-18,25.6,36.14,36.26,35.9,36.13,8271400.0
2007-06-19,25.77,36.38,36.44,36.03,36.15,10029000.0
2007-06-20,25.28,35.68,36.46,35.67,36.45,11947500.0
2007-06-21,25.24,35.63,35.78,35.33,35.68,9491900.0
2007-06-22,24.81,35.02,35.57,35.01,35.47,18177800.0
2007-06-25,24.85,35.08,35.41,34.97,35.0,14861400.0
2007-06-26,24.84,35.06,35.42,35.01,35.31,11361000.0
2007-06-27,25.03,35.33,35.37,34.69,34.81,13528900.0
2007-06-28,24.99,35.28,35.64,35.04,35.33,9297300.0
2007-06-29,24.91,35.17,36.15,34.95,35.5,14624700.0
2007-07-02,25.16,35.51,35.65,35.3,35.42,6758900.0
2007-07-03,25.28,35.68,35.9,35.53,35.74,3654400.0
2007-07-05,25.02,35.32,35.74,35.11,35.57,7500800.0
2007-07-06,25.03,35.33,35.4,35.14,35.24,8711000.0
2007-07-09,24.88,35.12,35.59,35.08,35.4,10523600.0
2007-07-10,24.4,34.44,35.0,34.33,35.0,21159600.0
2007-07-11,24.74,34.92,35.0,34.34,34.4,16253500.0
2007-07-12,25.11,35.44,35.48,34.92,35.15,18310100.0
2007-07-13,25.18,35.54,35.61,35.29,35.34,9719500.0
2007-07-16,25.11,35.45,36.01,35.45,35.65,10034300.0
2007-07-17,25.21,35.59,35.98,35.4,35.8,15446500.0
2007-07-18,25.07,35.39,35.49,34.99,35.45,19774000.0
2007-07-19,25.18,35.54,35.75,35.17,35.54,14956400.0
2007-07-20,24.6,34.72,35.66,34.65,35.18,21416100.0
2007-07-23,24.69,34.85,35.15,34.72,34.95,15077800.0
2007-07-24,24.04,33.93,34.69,33.83,34.45,23414300.0
2007-07-25,24.49,34.57,34.87,34.15,34.39,22049700.0
2007-07-26,23.84,33.65,34.37,33.41,33.85,30408300.0
2007-07-27,23.77,33.56,34.36,33.4,33.69,26603700.0
2007-07-30,24.52,34.61,34.72,33.34,33.77,23790300.0
2007-07-31,23.92,33.77,35.04,33.68,34.72,21447300.0
2007-08-01,24.43,34.48,34.56,33.53,33.76,29218200.0
2007-08-02,24.38,34.42,34.82,33.69,33.69,19716100.0
2007-08-03,23.24,32.81,34.49,32.66,34.11,34723700.0
2007-08-06,24.62,34.76,34.81,32.81,32.81,36005500.0
2007-08-07,24.72,34.89,35.3,34.25,34.25,29253000.0
2007-08-08,25.01,34.99,35.25,34.29,34.63,27057900.0
