,Adj Close,Close,High,Low,Open,Volume
2007-01-03,0.6,0.6,0.61,0.6,0.6,16230000.0
2007-01-04,0.6,0.6,0.6,0.59,0.6,5440000.0
2007-01-05,0.58,0.58,0.6,0.58,0.58,0.0
2007-01-08,0.61,0.61,0.61,0.6,0.6,100000.0
2007-01-09,0.61,0.61,0.62,0.61,0.61,590000.0
2007-01-10,0.61,0.61,0.62,0.61,0.61,470000.0
2007-01-11,0.59,0.59,0.61,0.59,0.61,1270000.0
2007-01-12,0.59,0.59,0.6,0.59,0.6,15370000.0
2007-01-16,0.61,0.61,0.61,0.59,0.59,1140000.0
2007-01-17,0.6,0.6,0.61,0.6,0.6,0.0
2007-01-18,0.59,0.59,0.6,0.59,0.6,780000.0
2007-01-19,0.6,0.6,0.61,0.59,0.59,2370000.0
2007-01-22,0.6,0.6,0.6,0.6,0.6,180000.0
2007-01-23,0.6,0.6,0.6,0.6,0.6,940000.0
2007-01-24,0.61,0.61,0.62,0.61,0.61,1440000.0
2007-01-25,0.62,0.62,0.62,0.61,0.61,310000.0
2007-01-26,0.61,0.61,0.61,0.6,0.61,1420000.0
2007-01-29,0.61,0.61,0.63,0.61,0.61,530000.0
2007-01-30,0.6,0.6,0.6,0.6,0.6,700000.0
2007-01-31,0.61,0.61,0.65,0.6,0.6,2240000.0
2007-02-01,0.62,0.62,0.63,0.62,0.62,1900000.0
2007-02-02,0.65,0.65,0.66,0.64,0.64,3510000.0
2007-02-05,0.65,0.65,0.67,0.65,0.65,1690000.0
2007-02-06,0.7,0.7,0.75,0.67,0.67,7770000.0
2007-02-07,0.8,0.8,0.82,0.7,0.7,9080000.0
2007-02-08,0.76,0.76,0.81,0.76,0.8,4370000.0
2007-02-09,0.76,0.76,0.77,0.74,0.77,1250000.0
2007-02-12,0.81,0.81,0.81,0.77,0.77,2170000.0
2007-02-13,0.87,0.87,0.87,0.82,0.83,2590000.0
2007-02-14,0.86,0.86,0.9,0.85,0.88,2440000.0
2007-02-15,0.85,0.85,0.88,0.85,0.87,3530000.0
2007-02-16,0.87,0.87,0.87,0.85,0.86,3790000.0
2007-02-20,0.89,0.89,0.89,0.87,0.87,2240000.0
2007-02-21,0.92,0.92,1.0,0.87,0.88,5660000.0
2007-02-22,1.02,1.02,1.04,0.95,0.98,9810000.0
2007-02-23,1.08,1.08,1.08,1.04,1.04,8542000.0
2007-02-26,1.14,1.14,1.2,1.1,1.1,10010000.0
2007-02-27,1.06,1.06,1.18,1.04,1.14,3392000.0
