,Adj Close,Close,High,Low,Open,Volume
2007-01-03,57.22,96.27,97.85,94.05,94.39,1899300.0
2007-01-04,57.24,96.31,96.76,94.45,96.48,1073300.0
2007-01-05,57.58,96.88,97.75,95.76,96.27,1676600.0
2007-01-08,58.67,98.71,100.0,96.73,97.52,1809700.0
2007-01-09,58.9,99.1,100.23,97.12,99.4,1372700.0
2007-01-10,60.89,102.45,102.93,96.7,98.59,2746500.0
2007-01-11,61.76,103.92,104.49,99.61,101.74,2998700.0
2007-01-12,62.1,104.49,105.0,102.52,103.92,1601200.0
2007-01-16,64.04,107.75,107.94,104.1,104.15,2427200.0
2007-01-17,62.86,105.76,107.64,105.38,107.33,2034300.0
2007-01-18,61.66,103.75,107.1,102.77,106.6,1695500.0
2007-01-19,62.78,105.62,106.25,102.27,103.54,2079400.0
2007-01-22,63.3,106.5,106.96,104.14,105.97,1467400.0
2007-01-23,63.48,106.81,108.16,105.45,106.6,1589300.0
2007-01-24,65.65,110.45,111.34,106.5,107.56,1865800.0
2007-01-25,63.59,106.99,110.8,106.66,110.35,1299300.0
2007-01-26,64.13,107.9,108.84,105.48,107.49,1303800.0
2007-01-29,64.52,108.56,109.98,107.18,109.36,1389000.0
2007-01-30,64.36,108.29,109.19,107.05,108.76,917000.0
2007-01-31,66.41,111.74,112.4,107.42,107.83,1983500.0
2007-02-01,66.67,112.17,113.25,110.85,112.54,1325500.0
2007-02-02,66.23,111.44,112.74,110.84,112.11,966500.0
2007-02-05,67.8,114.07,114.6,111.47,111.57,1344200.0
2007-02-06,67.0,112.73,113.4,109.69,113.3,2014600.0
2007-02-07,66.88,112.52,114.2,111.7,113.05,955500.0
2007-02-08,66.15,111.29,112.65,110.97,112.65,916500.0
2007-02-09,61.93,104.19,111.81,104.0,111.3,2623500.0
2007-02-12,60.91,102.49,105.2,101.0,104.7,2623000.0
2007-02-13,60.88,102.43,103.66,102.2,103.62,1371800.0
2007-02-14,61.43,103.36,104.33,102.49,102.86,1621400.0
2007-02-15,61.19,102.95,104.22,101.79,103.6,940300.0
2007-02-16,60.45,101.71,103.2,101.5,103.09,1114500.0
2007-02-20,60.8,102.29,102.85,99.83,102.65,1428800.0
2007-02-21,60.74,102.19,102.56,100.54,101.87,1367700.0
2007-02-22,63.06,106.1,106.24,102.06,102.6,2074100.0
2007-02-23,61.7,103.81,106.63,103.29,105.62,1274100.0
2007-02-26,59.66,100.38,104.99,99.27,104.7,2113800.0
2007-02-27,57.0,95.9,98.51,95.65,97.98,2840700.0
2007-02-28,58.26,98.02,99.63,96.05,97.05,2826900.0
2007-03-01,57.67,97.03,98.31,93.72,95.78,2334600.0
2007-03-02,55.65,93.63,97.3,93.47,96.69,1530600.0
2007-03-05,53.12,89.37,92.8,89.06,92.51,3088500.0
2007-03-06,54.93,92.42,93.18,91.35,91.49,2478500.0
2007-03-07,54.29,91.35,92.91,90.92,92.45,1508400.0
2007-03-08,55.98,94.18,95.11,92.24,92.89,1691300.0
2007-03-09,56.01,94.24,95.94,92.82,95.16,1527500.0
2007-03-12,54.93,92.42,94.2,90.83,93.28,1364500.0
2007-03-13,53.97,90.8,93.59,90.54,92.0,1475500.0
2007-03-14,55.05,92.62,92.93,89.5,90.85,1671300.0
2007-03-15,55.65,93.64,94.08,91.75,92.4,1572500.0
2007-03-16,55.12,92.74,94.02,91.95,93.13,1365100.0
2007-03-19,56.48,95.02,95.1,93.01,93.63,1078200.0
2007-03-20,58.06,97.68,98.33,94.52,95.19,2240700.0
2007-03-21,59.14,99.5,99.5,95.9,96.5,2288000.0
2007-03-22,59.38,99.9,100.47,99.19,100.05,1602200.0
2007-03-23,59.82,100.65,100.9,99.71,99.75,1053700.0
2007-03-26,59.99,100.93,101.0,99.01,100.8,1160300.0
2007-03-27,58.25,98.01,100.45,97.6,99.94,1293300.0
2007-03-28,56.94,95.8,97.86,95.5,97.51,1645400.0
2007-03-29,57.06,96.0,97.4,94.64,96.23,1156000.0
2007-03-30,56.38,94.86,96.33,94.1,95.99,959100.0
2007-04-02,57.09,96.06,96.55,95.0,95.0,796100.0
2007-04-03,58.44,98.32,99.49,96.96,96.98,1250100.0
2007-04-04,58.34,98.16,98.68,97.24,98.44,824600.0
2007-04-05,58.66,98.69,99.47,97.55,98.0,743400.0
2007-04-09,60.08,101.08,101.68,99.66,99.72,1550000.0
2007-04-10,59.52,100.15,101.43,99.48,101.08,844200.0
2007-04-11,58.71,98.78,100.24,98.25,100.0,764700.0
2007-04-12,59.54,100.17,100.64,97.63,98.27,850100.0
2007-04-13,60.89,102.44,103.0,99.09,99.86,1435800.0
2007-04-16,60.62,102.0,103.47,101.25,103.04,1079200.0
2007-04-17,59.9,100.79,101.99,100.28,101.8,843400.0
2007-04-18,61.42,103.34,104.12,100.5,100.5,1177500.0
2007-04-19,60.63,102.01,102.79,101.01,102.79,852300.0
2007-04-20,60.93,102.51,103.69,102.02,103.22,738100.0
2007-04-23,61.48,103.44,103.52,101.81,102.28,806800.0
2007-04-24,61.11,102.81,103.77,102.26,103.62,745200.0
2007-04-25,62.69,105.47,105.55,102.45,102.81,956900.0
2007-04-26,62.96,105.93,106.4,105.0,105.5,727500.0
2007-04-27,62.12,104.52,105.73,103.61,105.73,742900.0
2007-04-30,60.75,102.21,105.6,102.03,104.23,1464300.0
2007-05-01,60.72,102.17,102.87,100.7,102.11,2057500.0
2007-05-02,63.63,107.05,107.98,101.39,101.5,3658400.0
2007-05-03,61.59,103.63,105.98,102.59,104.2,2569600.0
