,Adj Close,Close,High,Low,Open,Volume
2007-01-03,14.12,23.43,23.62,23.01,23.18,2613000.0
2007-01-04,14.13,23.45,23.52,23.3,23.35,1503800.0
2007-01-05,13.85,22.98,23.45,22.86,23.45,7920200.0
2007-01-08,13.85,22.98,23.01,22.81,22.92,1337600.0
2007-01-09,13.84,22.97,23.13,22.8,23.04,1456900.0
2007-01-10,13.92,23.09,23.12,22.78,22.81,1886800.0
2007-01-11,13.9,23.06,23.24,23.03,23.09,1166800.0
2007-01-12,13.78,22.87,23.1,22.8,23.06,1394900.0
2007-01-16,13.87,23.01,23.14,22.91,22.91,1262800.0
2007-01-17,13.89,23.04,23.05,22.85,23.03,1376000.0
2007-01-18,13.78,22.87,23.15,22.82,23.08,1490800.0
2007-01-19,13.84,22.97,23.06,22.88,22.97,1706800.0
2007-01-22,13.86,22.99,23.04,22.82,22.97,1946500.0
2007-01-23,13.86,22.99,23.06,22.91,23.03,1239100.0
2007-01-24,14.06,23.32,23.36,22.95,22.96,1415100.0
2007-01-25,13.99,23.22,23.34,23.19,23.25,1265300.0
2007-01-26,13.96,23.17,23.23,22.91,23.13,1021100.0
2007-01-29,14.01,23.24,23.32,23.07,23.21,1007400.0
2007-01-30,14.05,23.31,23.35,23.07,23.22,921400.0
2007-01-31,14.06,23.33,23.52,23.11,23.17,1840200.0
2007-02-01,14.14,23.46,23.51,23.29,23.39,1537800.0
2007-02-02,14.19,23.55,23.58,23.36,23.45,1016200.0
2007-02-05,14.31,23.75,23.85,23.47,23.5,1569300.0
2007-02-06,14.48,24.03,24.05,23.73,23.84,1536800.0
2007-02-07,14.48,24.03,24.05,23.92,24.01,1766900.0
2007-02-08,14.57,24.18,24.3,23.99,24.03,1275700.0
2007-02-09,14.47,24.0,24.26,23.9,24.22,1137200.0
2007-02-12,14.46,23.99,24.13,23.96,24.04,744800.0
2007-02-13,14.59,24.21,24.24,24.0,24.1,1059800.0
2007-02-14,14.65,24.3,24.53,24.2,24.25,1413600.0
2007-02-15,14.62,24.26,24.37,24.13,24.32,1370300.0
2007-02-16,14.62,24.26,24.35,24.04,24.15,963100.0
2007-02-20,14.68,24.35,24.41,24.17,24.32,1556500.0
2007-02-21,14.65,24.3,24.35,24.19,24.3,2587300.0
2007-02-22,14.62,24.25,24.42,24.15,24.35,1162600.0
2007-02-23,14.57,24.18,24.37,24.16,24.2,1686300.0
2007-02-26,14.73,24.44,24.73,24.31,24.38,2566700.0
2007-02-27,14.29,23.71,24.47,23.51,24.45,2004300.0
2007-02-28,14.24,23.63,23.88,23.46,23.65,2485000.0
2007-03-01,14.19,23.54,23.69,22.75,23.5,2852200.0
2007-03-02,14.04,23.29,23.55,23.25,23.54,1416200.0
2007-03-05,13.75,22.81,23.17,22.81,23.09,1332000.0
2007-03-06,13.89,23.05,23.11,22.8,22.9,2519700.0
2007-03-07,13.93,23.11,23.29,22.99,23.02,1871200.0
2007-03-08,14.11,23.41,23.49,23.21,23.3,1420200.0
2007-03-09,14.12,23.43,23.6,23.28,23.48,823200.0
2007-03-12,14.19,23.54,23.59,23.3,23.4,1103800.0
2007-03-13,13.99,23.22,23.61,23.2,23.36,1412000.0
2007-03-14,14.06,23.32,23.49,23.03,23.24,1385700.0
2007-03-15,14.29,23.71,23.75,23.16,23.26,1367500.0
2007-03-16,14.17,23.51,23.78,23.47,23.76,1904100.0
2007-03-19,14.28,23.69,23.74,23.51,23.52,1799200.0
2007-03-20,14.54,24.13,24.16,23.59,23.64,1159300.0
2007-03-21,14.8,24.56,24.6,23.95,24.1,1930100.0
2007-03-22,14.77,24.5,24.63,24.34,24.5,1730300.0
2007-03-23,14.8,24.55,24.6,24.38,24.47,1022200.0
2007-03-26,14.93,24.77,24.78,24.4,24.56,1320300.0
2007-03-27,14.96,24.59,24.64,24.36,24.55,1976000.0
2007-03-28,14.94,24.57,24.69,24.5,24.53,1457500.0
