,Adj Close,Close,High,Low,Open,Volume
2007-01-03,50.57,74.11,76.27,73.51,76.26,30510700.0
2007-01-04,49.62,72.72,73.9,72.21,73.85,31046600.0
2007-01-05,49.98,73.24,73.38,72.22,72.45,24671500.0
2007-01-08,49.58,72.65,74.25,71.85,73.88,25981900.0
2007-01-09,49.19,72.09,72.84,71.44,71.85,27039900.0
2007-01-10,48.44,70.99,73.11,70.64,71.81,30572000.0
2007-01-11,48.44,70.98,72.85,70.77,70.99,29161700.0
2007-01-12,49.58,72.66,72.71,71.2,71.21,24438700.0
2007-01-16,48.88,71.63,72.65,71.25,72.5,25444400.0
2007-01-17,49.45,72.46,72.62,71.41,71.49,31292200.0
2007-01-18,49.11,71.96,73.13,71.19,72.67,23581900.0
2007-01-19,50.18,73.53,73.63,72.2,72.5,23912600.0
2007-01-22,49.75,72.9,73.75,72.5,73.65,21929300.0
2007-01-23,50.83,74.49,74.91,73.47,73.55,29016600.0
2007-01-24,51.11,74.9,74.99,73.75,74.5,19785400.0
2007-01-25,50.17,73.52,74.94,73.36,74.62,22630100.0
2007-01-26,50.23,73.61,74.49,73.45,73.89,20506200.0
2007-01-29,49.95,73.2,74.09,72.8,73.65,17370600.0
2007-01-30,50.76,74.39,74.59,73.33,73.45,21590500.0
2007-01-31,50.57,74.1,74.72,73.48,74.39,24249200.0
2007-02-01,51.24,75.08,75.28,73.81,74.58,25168000.0
2007-02-02,51.55,75.54,75.79,74.45,75.0,24299300.0
2007-02-05,51.64,75.67,75.88,75.06,75.65,18168800.0
2007-02-06,51.49,75.46,75.97,75.04,75.86,16222300.0
2007-02-07,51.25,74.79,75.88,74.53,75.4,18134700.0
2007-02-08,51.71,75.46,75.63,74.24,74.28,18742000.0
2007-02-09,51.55,75.22,75.73,74.91,75.46,17734200.0
2007-02-12,51.12,74.6,75.07,74.33,74.93,16564600.0
2007-02-13,51.71,75.45,75.5,74.59,74.8,15839600.0
2007-02-14,51.81,75.6,76.0,74.99,75.9,17648800.0
2007-02-15,51.63,75.34,75.49,74.72,75.19,17871900.0
2007-02-16,51.6,75.29,75.55,75.01,75.26,18329200.0
2007-02-20,51.31,74.87,75.05,74.29,74.9,15840500.0
2007-02-21,51.25,74.78,75.27,74.25,74.72,17886500.0
2007-02-22,51.45,75.08,75.21,74.2,74.62,17165300.0
2007-02-23,51.55,75.22,75.55,75.04,75.29,17687900.0
2007-02-26,51.67,75.4,76.1,75.26,75.52,17803600.0
2007-02-27,49.23,71.83,75.23,71.38,74.89,34588800.0
2007-02-28,49.12,71.68,73.6,71.18,72.23,55723000.0
2007-03-01,48.65,70.99,72.08,70.05,70.9,39472200.0
2007-03-02,47.98,70.01,71.25,69.31,70.95,27454600.0
2007-03-05,47.96,69.98,70.84,69.02,69.35,33039300.0
2007-03-06,48.66,71.0,71.02,70.2,70.7,26626400.0
2007-03-07,49.1,71.64,72.86,70.56,71.0,31564400.0
2007-03-08,49.24,71.85,72.18,71.2,72.15,27405800.0
2007-03-09,48.74,71.12,72.38,70.9,71.95,28671000.0
2007-03-12,48.57,70.87,71.4,70.7,70.8,20150800.0
2007-03-13,47.91,69.91,71.56,69.73,70.37,27378900.0
2007-03-14,48.67,71.02,71.02,69.64,70.1,30053700.0
2007-03-15,48.44,70.69,71.24,70.4,70.71,23538500.0
2007-03-16,47.88,69.86,70.87,69.52,70.77,46777100.0
2007-03-19,48.73,71.1,71.18,70.11,70.12,23184100.0
2007-03-20,49.34,72.0,72.0,71.02,71.12,23683300.0
2007-03-21,50.19,73.23,73.33,71.87,72.44,28800100.0
2007-03-22,50.96,74.36,74.92,73.47,73.53,27263800.0
2007-03-23,51.41,75.02,75.42,74.65,74.66,26377900.0
2007-03-26,51.72,75.47,75.69,74.51,75.44,27548800.0
2007-03-27,51.89,75.71,75.97,75.0,75.37,21797400.0
2007-03-28,51.78,75.56,76.25,75.21,76.16,24720100.0
2007-03-29,52.25,76.24,76.29,75.57,75.83,21695900.0
2007-03-30,51.71,75.45,76.35,74.94,76.24,24020300.0
2007-04-02,52.19,76.16,76.4,75.28,75.35,21474700.0
2007-04-03,52.63,76.8,76.97,75.63,76.1,22426100.0
2007-04-04,52.84,77.11,77.22,76.03,76.59,20873400.0
2007-04-05,52.92,77.22,77.31,76.88,77.1,20273100.0
2007-04-09,52.63,76.8,77.72,76.68,76.77,17668200.0
2007-04-10,53.16,77.57,77.85,76.75,76.8,18697700.0
2007-04-11,52.61,76.77,77.67,76.68,77.6,24990000.0
2007-04-12,53.04,77.39,77.49,76.46,76.97,24258000.0
2007-04-13,53.05,77.41,77.67,77.08,77.5,19044500.0
2007-04-16,53.57,78.17,78.22,77.04,77.64,20518400.0
2007-04-17,53.73,78.4,78.74,77.95,78.27,22772800.0
2007-04-18,53.59,78.2,78.4,77.76,78.17,17428800.0
2007-04-19,53.08,77.46,78.01,77.15,77.93,19090600.0
2007-04-20,54.66,79.76,79.8,78.0,78.38,41108500.0
2007-04-23,54.28,79.2,79.98,79.1,79.5,23617400.0
2007-04-24,53.87,78.6,79.35,78.5,79.0,24864200.0
2007-04-25,54.77,79.92,80.2,78.76,78.84,28126000.0
2007-04-26,55.2,80.55,80.86,79.57,80.03,25949800.0
2007-04-27,55.07,80.36,80.75,79.88,80.24,16462700.0
2007-04-30,54.4,79.38,80.88,79.38,80.3,21750000.0
2007-05-01,54.59,79.66,79.99,79.05,79.5,24303200.0
2007-05-02,54.7,79.82,80.19,79.37,79.83,17602400.0
2007-05-03,55.29,80.68,80.92,79.8,79.83,17854800.0
2007-05-04,55.2,80.55,81.76,80.22,81.0,19889200.0
2007-05-07,55.39,80.83,81.13,80.22,80.5,20896300.0
2007-05-08,55.77,81.38,81.41,80.26,80.57,17957200.0
2007-05-09,55.8,81.42,81.45,80.4,81.19,19709500.0
2007-05-10,54.64,79.39,81.06,79.31,81.06,20753700.0
2007-05-11,55.91,81.23,81.23,79.63,79.69,18837800.0
2007-05-14,55.92,81.25,81.62,80.73,81.21,17667200.0
2007-05-15,55.84,81.13,81.78,80.95,81.01,17169600.0
2007-05-16,56.06,81.45,81.49,80.31,80.84,16386200.0
2007-05-17,56.3,81.8,82.44,81.01,81.25,18843500.0
2007-05-18,57.31,83.26,83.33,82.08,82.14,25009900.0
2007-05-21,57.53,83.59,84.32,83.3,83.42,25096700.0
2007-05-22,56.97,82.77,84.14,82.73,83.4,19085700.0
2007-05-23,57.12,82.99,83.62,82.69,83.12,19886100.0
2007-05-24,56.63,82.28,83.84,81.89,83.18,21976500.0
2007-05-25,57.48,83.51,83.68,82.66,82.66,17840700.0
2007-05-29,56.87,82.62,83.29,81.91,83.27,19247900.0
2007-05-30,57.81,84.0,84.1,81.96,82.18,26464100.0
2007-05-31,57.24,83.17,84.25,83.12,83.9,21049000.0
2007-06-01,57.97,84.22,84.24,83.47,83.56,20384500.0
2007-06-04,57.97,84.22,84.44,83.8,83.96,16477200.0
